epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.3152998785177867,0.3005101680755615,0.3152998785177867,0.00011056801668019034,0.0,0.3005101680755615,0.00010556885172263719,0.0,,,,,,,,,,,1,1,1,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.31237783034642536,0.2984159588813782,0.31237783034642536,0.0001093299470085185,0.0,0.2984159588813782,0.00010480939999979455,0.0,0.9718623921610783,0.9950484197053323,20.0,0.9718623921610783,0.9718623921610783,0.9718623921610783,0.9718623921610783,0.9718623921610783,0.9718623921610783,0.9718623921610783,1,1,2,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.31369397540887195,0.29589325189590454,0.31369397540887195,0.00010988759216464435,0.0,0.29589325189590454,0.0001038930713548325,0.0,,,,,,,,,,,1,1,3,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.308963010708491,0.29274319112300873,0.308963010708491,0.00010804935057725136,0.0,0.29274319112300873,0.00010274894520989619,0.0,0.9726523255461823,0.9951456409994511,20.0,0.9726523255461823,0.9726523255461823,0.9726523255461823,0.9726523255461823,0.9726523255461823,0.9726523255461823,0.9726523255461823,1,1,4,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.3060053090254466,0.2887740209698677,0.3060053090254466,0.00010713804901267092,0.0,0.2887740209698677,0.00010130795453733299,0.0,,,,,,,,,,,1,1,5,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.30176634589831036,0.2837548926472664,0.30176634589831036,0.00010548874706728384,0.0,0.2837548926472664,9.94880247162655e-05,0.0,0.9740120514820276,0.9953076665009694,20.0,0.9740120514820276,0.9740120514820276,0.9740120514820276,0.9740120514820276,0.9740120514820276,0.9740120514820276,0.9740120514820276,1,1,6,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.29413286844889325,0.27741246670484543,0.29413286844889325,0.0001027333576833674,0.0,0.27741246670484543,9.719156514620408e-05,0.0,,,,,,,,,,,1,1,7,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.28942544261614483,0.2695060521364212,0.28942544261614483,0.00010105592203520548,0.0,0.2695060521364212,9.43350369198015e-05,0.0,0.9762953686912001,0.9955704307125566,20.0,0.9762953686912001,0.9762953686912001,0.9762953686912001,0.9762953686912001,0.9762953686912001,0.9762953686912001,0.9762953686912001,1,1,8,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.2793474594751994,0.2597433589398861,0.2793474594751994,9.729293014970608e-05,0.0,0.2597433589398861,9.081461939786095e-05,0.0,,,,,,,,,,,1,1,9,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.26949167251586914,0.24792620539665222,0.26949167251586914,9.35641740701006e-05,0.0,0.24792620539665222,8.65714955580188e-05,0.0,0.980006872869758,0.9959673876781587,20.0,0.980006872869758,0.980006872869758,0.980006872869758,0.980006872869758,0.980006872869758,0.980006872869758,0.980006872869758,1,1,10,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.2554222096999486,0.2339596301317215,0.2554222096999486,8.867448317081046e-05,0.0,0.2339596301317215,8.158602759067435e-05,0.0,,,,,,,,,,,1,1,11,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.24333087603251138,0.21804942563176155,0.24333087603251138,8.415453097162147e-05,0.0,0.21804942563176155,7.59555241529597e-05,0.0,0.9849145733888496,0.9964872965706022,20.0,0.9849145733888496,0.9849145733888496,0.9849145733888496,0.9849145733888496,0.9849145733888496,0.9849145733888496,0.9849145733888496,1,1,12,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.22332012404998144,0.2006692737340927,0.22332012404998144,7.738757873691308e-05,0.0,0.2006692737340927,6.98899839335354e-05,0.0,,,,,,,,,,,1,1,13,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.20700852572917938,0.18257469683885574,0.20700852572917938,7.14891296714389e-05,0.0,0.18257469683885574,6.370276059897151e-05,0.0,0.9892863407790596,0.9970055929817788,20.0,0.9892863407790596,0.9892863407790596,0.9892863407790596,0.9892863407790596,0.9892863407790596,0.9892863407790596,0.9892863407790596,1,1,14,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.19041764984528223,0.1645049899816513,0.19041764984528223,6.597513978097898e-05,0.0,0.1645049899816513,5.769400559074711e-05,0.0,,,,,,,,,,,1,1,15,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,0.17253228773673376,0.1467755250632763,0.17253228773673376,6.010901051922701e-05,0.0,0.1467755250632763,5.194293498789193e-05,0.0,0.9903087079969596,0.9973029684937641,20.0,0.9903087079969596,0.9903087079969596,0.9903087079969596,0.9903087079969596,0.9903087079969596,0.9903087079969596,0.9903087079969596,1,1,16,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,0.1555874745051066,0.12984518334269524,0.1555874745051066,5.487492004855691e-05,0.0,0.12984518334269524,4.652711686503608e-05,0.0,,,,,,,,,,,1,1,17,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,0.13987263292074203,0.11414364911615849,0.13987263292074203,5.0082914943535194e-05,0.0,0.11414364911615849,4.137706036999589e-05,0.0,0.9895862019135552,0.9973366392678288,20.0,0.9895862019135552,0.9895862019135552,0.9895862019135552,0.9895862019135552,0.9895862019135552,0.9895862019135552,0.9895862019135552,1,1,18,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,0.1235552007953326,0.10052837990224361,0.1235552007953326,4.4782020874360264e-05,0.0,0.10052837990224361,3.6664869185187854e-05,0.0,,,,,,,,,,,1,1,19,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,0.11047670245170593,0.08991342224180698,0.11047670245170593,4.020815201026077e-05,0.0,0.08991342224180698,3.275574454164598e-05,0.0,0.9903788269166585,0.9972580691750177,20.0,0.9903788269166585,0.9903788269166585,0.9903788269166585,0.9903788269166585,0.9903788269166585,0.9903788269166585,0.9903788269166585,1,1,20,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
21,0.10130264858404796,0.08250859379768372,0.10130264858404796,3.700316483445931e-05,0.0,0.08250859379768372,2.9868464025639696e-05,0.0,,,,,,,,,,,1,1,21,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
22,0.09254328534007072,0.0781187517568469,0.09254328534007072,3.377773585574081e-05,0.0,0.0781187517568469,2.814062872857903e-05,0.0,0.9929052990205834,0.9972523186930047,20.0,0.9929052990205834,0.9929052990205834,0.9929052990205834,0.9929052990205834,0.9929052990205834,0.9929052990205834,0.9929052990205834,1,1,22,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
23,0.08703453217943509,0.07503473106771708,0.08703453217943509,3.1711991747821834e-05,0.0,0.07503473106771708,2.697873696888564e-05,0.0,,,,,,,,,,,1,1,23,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
24,0.08175205066800117,0.0721796378493309,0.08175205066800117,2.967953150800895e-05,0.0,0.0721796378493309,2.5944442313630134e-05,0.0,0.9939801245855737,0.9973013976423174,20.0,0.9939801245855737,0.9939801245855737,0.9939801245855737,0.9939801245855737,0.9939801245855737,0.9939801245855737,0.9939801245855737,1,1,24,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
