split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,reid,0,0,0.4463581442832947,0.82805997133255,0.4094720482826233,-1.227687120437622,0.3441489338874817,0.7711381316184998
train,reid,0,10,0.09458150714635849,0.39827364683151245,0.27291786670684814,-0.4484609365463257,0.26945409178733826,0.22114968299865723
train,reid,0,20,-0.25976431369781494,-0.12949249148368835,0.08329211175441742,0.38271263241767883,0.1585872322320938,-0.3649487793445587
train,reid,0,30,-0.6228580474853516,-0.6516565680503845,-0.10112468898296356,1.2244279384613037,0.05242414027452469,-0.9578461647033691
train,reid,0,40,-1.0007680654525757,-1.1602270603179932,-0.2742796838283539,2.0824027061462402,-0.04447191208600998,-1.5615226030349731
train,reid,0,50,-1.4005578756332397,-1.6493723392486572,-0.430988073348999,2.9650473594665527,-0.12806187570095062,-2.1819140911102295
train,reid,0,60,-1.8288905620574951,-2.112748622894287,-0.5659016370773315,3.879880905151367,-0.19422826170921326,-2.8243205547332764
train,reid,0,70,-2.292710304260254,-2.546233892440796,-0.6748223900794983,4.835958957672119,-0.23961475491523743,-3.4951109886169434
train,reid,0,80,-2.79890513420105,-2.94584321975708,-0.7536769509315491,5.842297554016113,-0.2609482407569885,-4.200586795806885
train,reid,0,90,-3.353893518447876,-3.3081140518188477,-0.7988070249557495,6.907431602478027,-0.2553267180919647,-4.946717739105225
train,reid,0,100,-3.964495897293091,-3.629809856414795,-0.8065868616104126,8.040633201599121,-0.21984465420246124,-5.7399749755859375
train,reid,1,0,0.4238456189632416,1.2987539768218994,0.6704002618789673,-1.429271936416626,0.5282164812088013,0.9107815027236938
train,reid,1,10,0.09622741490602493,0.7874385714530945,0.483392596244812,-0.6486121416091919,0.416127473115921,0.3601059019565582
train,reid,1,20,-0.2104109227657318,0.2138131707906723,0.25641971826553345,0.12885500490665436,0.2755577564239502,-0.187879279255867
train,reid,1,30,-0.5032744407653809,-0.33462071418762207,0.039287760853767395,0.8713762760162354,0.14172682166099548,-0.7109200954437256
train,reid,1,40,-0.7863335609436035,-0.8534414172172546,-0.1644684225320816,1.5831949710845947,0.01734524592757225,-1.2120263576507568
train,reid,1,50,-1.0637176036834717,-1.3405439853668213,-0.35253602266311646,2.269963026046753,-0.09573140740394592,-1.6951894760131836
train,reid,1,60,-1.3402507305145264,-1.7932965755462646,-0.5221094489097595,2.938180923461914,-0.1952849179506302,-2.1650147438049316
train,reid,1,70,-1.6204222440719604,-2.208491802215576,-0.670176088809967,3.5935170650482178,-0.2790062129497528,-2.6255059242248535
train,reid,1,80,-1.9081547260284424,-2.5830674171447754,-0.7939635515213013,4.240789890289307,-0.34478193521499634,-3.080068588256836
train,reid,1,90,-2.207179307937622,-2.9145572185516357,-0.8910934925079346,4.884771823883057,-0.3908006250858307,-3.5320658683776855
train,reid,1,100,-2.520782947540283,-3.2019975185394287,-0.9601351022720337,5.530289173126221,-0.41593319177627563,-3.984889030456543
train,reid,2,0,0.2563643753528595,4.432541370391846,2.480013370513916,-2.820324420928955,1.7072020769119263,1.831805944442749
train,reid,2,10,-0.09894858300685883,4.733373641967773,2.744060516357422,-2.398787498474121,1.911956787109375,1.5323994159698486
