source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
depablo_low_temp,5,20,20,20,0.5282767288336236,0.1221504228151776,0.0635535199374179,5.007583450566954e-07,0.0014458297111559,0.0002627711452078,near08,3456456
depablo_low_temp,10,20,20,20,0.7033652264827849,0.1207849600375406,0.0890919672458267,3.8334856968802453e-07,0.0012184403487481,0.0002163389835914,near08,3456456
depablo_low_temp,25,20,20,20,0.8456833468668502,0.1005910452782999,0.1113451632350467,3.652112329888269e-07,0.0009846785338595,0.0002330613293452,near08,3456456
depablo_low_temp,50,20,20,20,0.910264689081524,0.0812006187527331,0.121923909291221,8.374490391815926e-07,0.0009289735928177,0.0004418573764269,near08,3456456
depablo_low_temp,75,20,20,20,0.9316914414693984,0.0715464622339852,0.1271388104990921,1.6667162974215444e-06,0.000886955531314,0.0006230705039342,near08,3456456
depablo_low_temp,100,20,20,20,0.9469072473245724,0.0631057365710139,0.1309363081666797,2.8446394694015e-06,0.0009561163838952,0.0007853639166569,near08,3456456
depablo_low_temp,125,20,20,20,0.9610036002453144,0.0516586080503495,0.1341610869454215,4.4620291490105045e-06,0.0011348465457558,0.0009439897723495,near08,3456456
depablo_low_temp,149,20,20,20,0.9673882239552544,0.0461154488575863,0.1369949813213765,6.880758579086432e-06,0.0017842116765677,0.0012075146602001,near08,3456456
depablo_low_temp,150,20,20,20,0.967412839655752,0.046068271791886,0.137105677594105,7.010573219190519e-06,0.0018252607434988,0.0012221566168591,near08,3456456
depablo_mixed_temp,5,20,20,20,-0.4827236042823188,0.5003470169029608,0.2267994575756468,1.5338252583774193e-05,0.0019158681403496,0.0006181084754643,near08,3456456
depablo_mixed_temp,10,20,20,20,-0.1659266890286281,0.3054954823563012,0.1792210970466572,1.8212054715149865e-05,0.0023019566055154,0.0005020941696784,near08,3456456
depablo_mixed_temp,25,20,20,20,0.5363644891168292,0.2025608852575472,0.1814265265332104,1.783066973644054e-05,0.0022729314980097,0.0004923998945741,near08,3456456
depablo_mixed_temp,50,20,20,20,0.786471214027491,0.1311233081778131,0.1290510646927359,2.118756207494244e-05,0.0028125262353569,0.0009513108685496,near08,3456456
depablo_mixed_temp,75,20,20,20,0.8143501462010722,0.1153189182447388,0.1721180025747532,2.1853701849749995e-05,0.0025866570416837,0.001002349225746,near08,3456456
depablo_mixed_temp,100,20,20,20,0.8859257611325408,0.0912413169676532,0.1264354805514444,2.469227292181131e-05,0.0023660164326429,0.0009300134493969,near08,3456456
depablo_mixed_temp,125,20,20,20,0.8544433765980758,0.089152899215467,0.1548213597822952,2.5548213710635536e-05,0.0025039231404662,0.0014446429908275,near08,3456456
depablo_mixed_temp,149,20,20,20,0.8338104155185269,0.0987265152164008,0.1320205212672846,2.5389903817085725e-05,0.0021476850844919,0.0018263337027747,near08,3456456
depablo_mixed_temp,150,20,20,20,0.8592286689243954,0.0906999425290766,0.1378886511040539,2.587073139466156e-05,0.0027204141020774,0.0015798969077877,near08,3456456
lj_noisy,5,20,20,20,-43.93296287342787,0.1575111195206016,0.0012192600578043,1.1967324677897296e-07,0.0006285723386099,0.0002534566221584,near08,3456456
lj_noisy,10,20,20,20,-3.504449097585919,0.0744775303027269,0.0021538442446725,1.292381317519187e-07,0.0005448573356261,0.0002460657706251,near08,3456456
lj_noisy,25,20,20,20,-0.37922477023217,0.0569613451087648,0.0041168599721615,4.013912423772581e-07,0.0005579954362474,0.0003078364767134,near08,3456456
lj_noisy,50,20,20,20,-0.0250436045694257,0.0518715207127498,0.0047651600463273,1.583658863069104e-06,0.0004598560975864,0.0003754035511519,near08,3456456
lj_noisy,75,20,20,20,0.0795638410959131,0.0512929306073784,0.0050961142073924,4.017635080799664e-06,0.0006583159323781,0.0004495534696616,near08,3456456
