variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
dim2,depablo_low_temp,5,5,0.543672127754242,0.1980007494105925,0.2487274231682523,5.394604071184972e-07,0.00163756283291146,0.00032603979641858004,0.13812872345848493,20,20
dim2,depablo_low_temp,10,5,0.6872552702435838,0.15907243293900286,0.4584255662858019,3.8885522918974407e-07,0.00127835016814056,0.00028776979546816,0.1355677164688039,20,20
dim2,depablo_low_temp,25,5,0.8687885070301528,0.04629079964553542,0.8349210564915592,3.272466377524097e-07,0.0008056930289603202,0.00030561235005728,0.09739245359880487,20,20
dim2,depablo_low_temp,50,5,0.9381190923364613,0.01943841809335894,0.9122937338732442,7.893178928952693e-07,0.0008528651529922601,0.00043221105384868,0.06864312275261786,20,20
dim2,depablo_low_temp,75,5,0.9636788067263191,0.01249777819370246,0.943538613703235,1.5963695639698016e-06,0.00088480332866306,0.0005338566526187801,0.05339910507696945,20,20
dim2,depablo_low_temp,100,5,0.971797402113251,0.010837456578046729,0.9559215008113892,2.840630285447787e-06,0.0009992036875337,0.0006785686279180599,0.0467638659232474,20,20
dim2,depablo_low_temp,125,5,0.9717567772761655,0.009493143471871714,0.9608235879910072,4.667001953180261e-06,0.0013270803634076798,0.0009088432969292199,0.04644747828278534,20,20
dim2,depablo_low_temp,149,5,0.9628575935748964,0.015098864154877946,0.9378226284727088,7.442245245101731e-06,0.00216315202414984,0.00128806941793296,0.051417310163550944,20,20
dim2,depablo_low_temp,150,5,0.9621457408042831,0.015755769634194117,0.935875890083173,7.591433093807609e-06,0.00221070099622006,0.00130943508702326,0.051782884247010386,20,20
dim2,depablo_mixed_temp,5,5,0.1461390822501513,0.2626282113574769,-0.1879222161703475,1.9669138574869293e-05,0.0037349322403314998,0.00085483138733248,0.3489824245291308,20,20
dim2,depablo_mixed_temp,10,5,0.2980385261903903,0.21569659029328722,0.0005679233203962,2.3652394463766765e-05,0.0040485629549948,0.00098526451376524,0.2650441170956964,20,20
dim2,depablo_mixed_temp,25,5,0.5270969989118509,0.10998810468540865,0.3637401130150544,2.5231797949061274e-05,0.00414590146858242,0.00089268673837062,0.21821358023782889,20,20
dim2,depablo_mixed_temp,50,5,0.7491673962005748,0.07130443210037912,0.6508281956539808,2.3769273804532533e-05,0.0036339741665869603,0.00116916722719902,0.13642759305453855,20,20
dim2,depablo_mixed_temp,75,5,0.7819241920492053,0.06629337015457687,0.7065599343411317,2.364968472591045e-05,0.0032408064464106803,0.0011745562446594002,0.12313612363634976,20,20
dim2,depablo_mixed_temp,100,5,0.783361239204634,0.14475611412831435,0.573423975724745,2.8216041099540237e-05,0.0030797880515455603,0.0015777756320312,0.10022733493935017,20,20
