source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,-0.7574324304444677,-0.831578947368421
depablo_low_temp,z0_1,20,-0.8664329287276837,-0.8766917293233082
depablo_low_temp,pc1,20,0.8632164144425429,0.8796992481203006
depablo_mixed_temp,z0_0,20,-0.8474895408782257,-0.8120300751879698
depablo_mixed_temp,z0_1,20,-0.8401179723971439,-0.8075187969924811
depablo_mixed_temp,pc1,20,0.8476070627985883,0.8120300751879698
lj_noisy,z0_0,20,0.30090852341219226,0.2045112781954887
lj_noisy,z0_1,20,0.27705468202747147,0.14736842105263157
lj_noisy,pc1,20,-0.28149121702714336,-0.19097744360902258
reid,z0_0,20,-0.7154452505743394,-0.7428571428571428
reid,z0_1,20,-0.29653810799948305,-0.17142857142857143
reid,pc1,20,0.37379502721077407,0.3533834586466165
