split,source,sim_idx,frame,z0,z1,z2,z3
train,reid,0,0,1.3110861778259277,-2.29941725730896,1.9630098342895508,-1.900711178779602
train,reid,0,10,1.2725872993469238,-2.8231449127197266,2.071167469024658,-2.0701982975006104
train,reid,0,20,1.2522754669189453,-3.3909106254577637,2.2080435752868652,-2.272167921066284
train,reid,0,30,1.229254961013794,-3.977069854736328,2.350919008255005,-2.4818003177642822
train,reid,0,40,1.201936960220337,-4.579012870788574,2.4985270500183105,-2.6974942684173584
train,reid,0,50,1.1699153184890747,-5.196366310119629,2.6508114337921143,-2.9191038608551025
train,reid,0,60,1.132922649383545,-5.829186916351318,2.8078813552856445,-3.146697521209717
train,reid,0,70,1.091195821762085,-6.477397918701172,2.97011137008667,-3.3805947303771973
train,reid,0,80,1.0452139377593994,-7.1414313316345215,3.1382174491882324,-3.6214826107025146
train,reid,0,90,0.9954692721366882,-7.820757865905762,3.312561273574829,-3.869600772857666
train,reid,0,100,0.9425977468490601,-8.515806198120117,3.493933916091919,-4.12571382522583
train,reid,1,0,1.4648951292037964,-1.3214874267578125,1.8789398670196533,-1.7144405841827393
train,reid,1,10,1.4382824897766113,-1.9045734405517578,2.0110855102539062,-1.9109045267105103
train,reid,1,20,1.4180461168289185,-2.5331568717956543,2.1651220321655273,-2.1325478553771973
train,reid,1,30,1.3889591693878174,-3.182492733001709,2.322869300842285,-2.359450340270996
train,reid,1,40,1.3503432273864746,-3.8471481800079346,2.482565402984619,-2.589357614517212
train,reid,1,50,1.3027043342590332,-4.522093772888184,2.6432571411132812,-2.820826530456543
train,reid,1,60,1.2466139793395996,-5.202521324157715,2.804007053375244,-3.0524444580078125
train,reid,1,70,1.1826202869415283,-5.883598327636719,2.9636788368225098,-3.282628059387207
train,reid,1,80,1.1113886833190918,-6.560811519622803,3.12125301361084,-3.5099358558654785
train,reid,1,90,1.0335843563079834,-7.230395317077637,3.2759311199188232,-3.7332167625427246
train,reid,1,100,0.9501272439956665,-7.888464450836182,3.4268639087677,-3.9512834548950195
train,reid,2,0,1.4916715621948242,-1.5102362632751465,1.965725302696228,-1.784965991973877
train,reid,2,10,1.327873945236206,-1.8700900077819824,1.9270235300064087,-1.7950724363327026
train,reid,2,20,1.1571590900421143,-2.2492620944976807,1.8918384313583374,-1.8105027675628662
train,reid,2,30,0.9811668395996094,-2.646920919418335,1.8611600399017334,-1.8321515321731567
train,reid,2,40,0.8005744218826294,-3.061746597290039,1.8351857662200928,-1.860040307044983
train,reid,2,50,0.6162386536598206,-3.492278575897217,1.8141196966171265,-1.894216537475586
train,reid,2,60,0.42843639850616455,-3.9368724822998047,1.7977118492126465,-1.9342496395111084
train,reid,2,70,0.2379535436630249,-4.393942832946777,1.7860209941864014,-1.9800320863723755
train,reid,2,80,0.04549775645136833,-4.861459732055664,1.7789428234100342,-2.0312283039093018
train,reid,2,90,-0.14828917384147644,-5.337883472442627,1.7764084339141846,-2.0876147747039795
train,reid,2,100,-0.34320661425590515,-5.820625305175781,1.7776905298233032,-2.1482133865356445
train,reid,3,0,1.4503873586654663,-1.6007578372955322,1.9646573066711426,-1.7952978610992432
