epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.7424148021037118,0.5719605214501682,0.7199471760214421,0.2707020064789644,1.7140557745046783,0.2421274157077597,0.7422950655638009,1.7140557745046783,0.665013449913577,0.23664074559745035,0.159721086331104,1.3195197303044168,0.5719605207443238,1.3195197303044168,shared3,4,normalized_delta,128
2,0.6255339941434693,0.5236626799953611,0.6004153757503158,0.15562007329623465,1.5761162507952304,0.14509874626732708,0.6256116901195974,1.5761162507952304,0.6103990332076424,0.16769509362547022,0.1532656884311061,1.2500272626939573,0.5236626815835111,1.2500272626939573,shared3,4,normalized_delta,128
3,0.5793007386881008,0.5028257347251239,0.5578670272178817,0.1231928130769184,1.4798578152531072,0.13028989696973248,0.5777801750999193,1.4798578152531072,0.5879654623175922,0.14288485905057505,0.14196081202673286,1.22363153562734,0.502825735568216,1.22363153562734,shared3,4,normalized_delta,128
4,0.5489731257421928,0.47145021314683716,0.5286121146197904,0.09689216402319956,1.4184844377793764,0.125948806564536,0.547108469455704,1.4184844377793764,0.5543530672004349,0.09871067485134853,0.14604836800380758,1.1695915988401362,0.4714502138984307,1.1695915988401362,shared3,4,normalized_delta,128
5,0.5096481008487835,0.44655913341986503,0.4886333634455999,0.06584097046903531,1.3416043235544572,0.1200658455491066,0.509170379857533,1.3416043235544572,0.5271656433218403,0.07350764513800019,0.13212355385093313,1.1340462014079093,0.44655913346561427,1.1340462014079093,shared3,4,normalized_delta,128
6,0.48183197159516183,0.43463532756033696,0.46437929094883434,0.05476670998187972,1.3014718045268143,0.08816619513458328,0.48146823654775917,1.3014718045268143,0.5159471250678364,0.06327462413985478,0.10878310121203724,1.1318482613092975,0.4346353288870632,1.1318482613092975,shared3,4,normalized_delta,128
7,0.47527544770324437,0.42646858617663386,0.45898242851621224,0.050278554257320265,1.2947500321425889,0.07602312110299081,0.4736839025009667,1.2947500321425889,0.5082174096844698,0.06295885209386286,0.10100110754566757,1.1154457931455812,0.4264685842617039,1.1154457931455812,shared3,4,normalized_delta,128
8,0.46787154576496076,0.4301396713052925,0.4506084483182221,0.04956531675506226,1.2795020249329114,0.074512984204972,0.46786010863098193,1.2795020249329114,0.5128294601252205,0.06206713652140216,0.10077773247306285,1.1275741492054965,0.4301396727333205,1.1275741492054965,shared3,4,normalized_delta,128
9,0.4664532104343699,0.431955531670859,0.4511433716667326,0.04852866245315633,1.274761212290379,0.07377294233036145,0.4656876056912989,1.274761212290379,0.5156550623868641,0.05891642987630085,0.09740812018709748,1.13954204489526,0.4319555316528861,1.13954204489526,shared3,4,normalized_delta,128
10,0.46901590740471555,0.4293627110358916,0.4525258820307882,0.04861715102148518,1.2794583943852207,0.07281896953650734,0.46696483831440444,1.2794583943852207,0.5110921452704229,0.06171513024325433,0.10103872538985391,1.125334278454906,0.42936271136267146,1.125334278454906,shared3,4,normalized_delta,128
11,0.4594767576050863,0.43162187255526846,0.4440301537644445,0.048217041060512125,1.2586916317705783,0.07160043278218885,0.4595030352044264,1.2586916317705783,0.515613270198044,0.05694152365291589,0.09924222094644057,1.1386818714047733,0.4316218720013765,1.1386818714047733,shared3,4,normalized_delta,128
12,0.46009023482339423,0.43202920595282,0.44678304650281603,0.048702989452400466,1.2566165538210619,0.07147561954170989,0.45893172093839074,1.2566165538210619,0.51622179672122,0.05811449544210183,0.09980519416889078,1.138167929570926,0.43202920639397285,1.138167929570926,shared3,4,normalized_delta,128
13,0.45461179765039367,0.4343734501615951,0.4400701633213382,0.04855310388276694,1.2441938508759465,0.0711767488992528,0.45464123455265537,1.2441938508759465,0.519431539664143,0.05919828517362476,0.1002613356925155,1.143660726829579,0.43437344923190646,1.143660726829579,shared3,4,normalized_delta,128
14,0.45575988313608,0.43032695858886366,0.44348652038657876,0.04882722158430958,1.2439583378925658,0.07131102318107559,0.45469886088598366,1.2439583378925658,0.5128116167297488,0.06281284786956876,0.10235782350952688,1.1258102026817045,0.4303269580202667,1.1258102026817045,shared3,4,normalized_delta,128
15,0.4505065090823592,0.4445279683721693,0.4365023453507507,0.04796349882594192,1.2321681687706396,0.0704430832445883,0.4501915836137233,1.2321681687706396,0.534576218496812,0.05742392581642458,0.09762447097975957,1.178535514089622,0.44452797029526875,1.178535514089622,shared3,4,normalized_delta,128
