epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_depablo_mixed_temp_p_ratio_r2_step_100,val_ae_source_depablo_mixed_temp_position_mse_step_100,val_ae_source_depablo_mixed_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.7515027479456348,0.5810315774113175,0.7515027479456348,0.3434147976132721,1.9793292067267678,0.4676046079326524,0.2984788525010286,0.7722068661934303,1.9793292067267678,0.5810315774113175,0.18204967254132498,0.3000550394644961,1.4228476457647048,0.4050406630849466,0.5774982552138681,1.4228476457647048,-0.007706182530835326,-0.12017402720833137,1.2681473151587852e-05,-0.12017402720833137,-0.06341394418875912,2.898212021591462e-05,-0.06341394418875912,-26.930712862166068,2.16305059439037e-05,-26.930712862166068,-0.005196462882773645,1.0042211522431899e-05,-0.005196462882773645,-6.779874324111484,-26.930712862166068,06b 4D reconstruction,4,normalized_delta,96
2,0.6253410759179489,0.5276569447815124,0.6253410759179489,0.199621085165871,1.8388062219610328,0.36967811636302783,0.19094873366973145,0.6497635392899158,1.8388062219610328,0.5276569447815124,0.1688879053981509,0.2307317627564771,1.3526733873877674,0.3458114702370949,0.5245261314448726,1.3526733873877674,0.04855168447599301,0.02630491153066883,8.158427863236285e-06,0.02630491153066883,0.05209592553091469,2.650058249855647e-05,0.05209592553091469,-28.69502973746267,1.4444940961766407e-05,-28.69502973746267,0.03969630644146316,8.793196599299336e-06,0.03969630644146316,-7.1442331484899055,-28.69502973746267,06b 4D reconstruction,4,normalized_delta,96
3,0.5878132764294214,0.5072429497862463,0.5878132764294214,0.15975085011289525,1.7816749977264479,0.33870602896797797,0.17580946688006518,0.6139853359218466,1.7816749977264479,0.5072429497862463,0.1762038826564094,0.18980814385577105,1.3188144651066978,0.33359578100498766,0.5046055681559665,1.3188144651066978,0.16519735080509967,0.3164608585995353,6.7495721282284645e-06,0.3164608585995353,0.28766426343275975,2.5663375038220692e-05,0.28766426343275975,-32.36290215097825,1.4606896684199455e-05,-32.36290215097825,0.19195650116935614,8.184235935004835e-06,0.19195650116935614,-7.89170513194415,-32.36290215097825,06b 4D reconstruction,4,normalized_delta,96
4,0.552659711053249,0.4877324619297336,0.552659711053249,0.13517050294890234,1.6739958449314705,0.31991478815498087,0.174523283694337,0.5759011049324227,1.6739958449314705,0.4877324619297336,0.18172283002058975,0.16237078902486246,1.3026488496689126,0.2935380020644516,0.4850701176947041,1.3026488496689126,0.5112291826642648,0.8069422525724095,6.335047930861037e-06,0.8069422525724095,0.6625103556538139,2.584321646281751e-05,0.6625103556538139,-25.5118957428494,1.5813916024853825e-05,-25.5118957428494,0.5235800668811152,8.798080551741805e-06,0.5235800668811152,-5.879715766935515,-25.5118957428494,06b 4D reconstruction,4,normalized_delta,96
5,0.5093341474476539,0.4478991559463675,0.5093341474476539,0.11448160335127072,1.554922097520866,0.268722555986624,0.17308762528208405,0.5278034705352111,1.554922097520866,0.4478991559463675,0.1859906369354576,0.11506281488254899,1.2408628935809247,0.23888577650359366,0.44520053047563124,1.2408628935809247,0.6789577262685935,0.8852581400660328,3.944870826444458e-06,0.8852581400660328,0.76627796519796,2.32644659035941e-05,0.76627796519796,-14.70765927109975,1.1879172689077677e-05,-14.70765927109975,0.4548526213880666,7.781039664678247e-06,0.4548526213880666,-3.1503176361119225,-14.70765927109975,06b 4D reconstruction,4,normalized_delta,96
6,0.45985888866450003,0.4175724008952529,0.45985888866450003,0.0774321580165813,1.4717502889072471,0.2027935523525057,0.16091471646908714,0.47822267893635534,1.4717502889072471,0.4175724008952529,0.15246941101213451,0.08355597733316245,1.229321880149655,0.19233272098063026,0.41441999736889557,1.229321880149655,0.8559246323200638,0.9601590007022074,3.927509862933221e-06,0.9601590007022074,0.8699124988625113,2.348579974977838e-05,0.8699124988625113,-5.4861080700449385,1.0039790163318685e-05,-5.4861080700449385,0.7214869861684428,8.127571766181063e-06,0.7214869861684428,-0.7336373960779443,-5.4861080700449385,06b 4D reconstruction,4,normalized_delta,96
7,0.43573844571240805,0.4065293863511427,0.43573844571240805,0.06398858851477092,1.4523382858914349,0.16672918166626582,0.12877134173342833,0.452956849451475,1.4523382858914349,0.4065293863511427,0.12922626522777136,0.07495254186505917,1.2217498723475728,0.18634481755725574,0.4030683742494148,1.2217498723475728,0.8621850567186534,0.9634575001153906,3.590671047959404e-06,0.9634575001153906,0.866493263688097,2.3571841290959127e-05,0.866493263688097,-5.205779283743957,9.912753989738122e-06,-5.205779283743957,0.7577803109537755,7.758437664051599e-06,0.7577803109537755,-0.6545120522466735,-5.205779283743957,06b 4D reconstruction,4,normalized_delta,96
8,0.4250553731802895,0.40804617794547154,0.4250553731802895,0.05681111550569652,1.4396893821745052,0.16001597435578055,0.1094762245009068,0.44149817413422227,1.4396893821745052,0.40804617794547154,0.11823975076549686,0.07641884539407329,1.2292861683527008,0.1940409853705205,0.40449643747069786,1.2292861683527008,0.8347199144884958,0.9590995151842031,3.838488316887378e-06,0.9590995151842031,0.8794026368300827,2.3447183826874608e-05,0.8794026368300827,-8.57214975655448,1.0508639320505608e-05,-8.57214975655448,0.8605277147437425,7.321204830645911e-06,0.8605277147437425,-1.4682799724491131,-8.57214975655448,06b 4D reconstruction,4,normalized_delta,96
9,0.4219153847383416,0.40037074717306514,0.4219153847383416,0.054653510852558575,1.431809018251924,0.15809154198339334,0.10451082270518829,0.43726622344826604,1.431809018251924,0.40037074717306514,0.12035100663342746,0.07691756486019585,1.2054962708207313,0.18481041936320253,0.3968938154193893,1.2054962708207313,0.8744569079603884,0.9553986182796114,3.7658794269646023e-06,0.9553986182796114,0.8670857662089738,2.2907833414365087e-05,0.8670857662089738,-4.8129002309986095,9.862155275186524e-06,-4.8129002309986095,0.8750540791429424,7.162730761933745e-06,0.8750540791429424,-0.5288404418417705,-4.8129002309986095,06b 4D reconstruction,4,normalized_delta,96
10,0.4186032895631941,0.39641870171376486,0.4186032895631941,0.053582226555691406,1.427454927575447,0.1578593369897293,0.10158836421935925,0.4351212138350567,1.427454927575447,0.39641870171376486,0.11612753622466698,0.07501558090734761,1.2010830637591425,0.18010899490036536,0.3930837939478806,1.2010830637591425,0.9125181153692149,0.9589418654024862,3.5844411996777127e-06,0.9589418654024862,0.9069680855298923,2.2805642913681368e-05,0.9069680855298923,-2.927399217836375,9.492109234088275e-06,-2.927399217836375,0.9308833588996654,6.9086279097518855e-06,0.9308833588996654,-0.032651477001082785,-2.927399217836375,06b 4D reconstruction,4,normalized_delta,96
