epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4608684172730962,0.38137887869716475,0.4608684172730962,0.47404836220445606,0.5078111118329861,0.3537990895633175,0.44521952120025327,0.5078111118329861,0.38137887869716475,0.3108791431004647,0.5339940791600384,0.3255782939377241,0.39015050539940904,0.5339940791600384,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.29750065812177584,0.2574189125805309,0.29750065812177584,0.26179067292164687,0.3595476022732289,0.2437591947969,0.2883658233305919,0.3595476022732289,0.2574189125805309,0.30276555026648566,0.1697689434804488,0.31966578992432915,0.26406676122375455,0.31966578992432915,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.2253219303441551,0.2097286871095237,0.2253219303441551,0.11525816040354385,0.33925896529157434,0.17072788452469106,0.2084150034066031,0.33925896529157434,0.2097286871095237,0.20196341991686495,0.12928713257133495,0.30827886499173474,0.21317647249331154,0.30827886499173474,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.20639145228825018,0.20995805560317088,0.20639145228825018,0.10578488120391454,0.31996239993062686,0.13738653556711597,0.18771127223388576,0.31996239993062686,0.20995805560317088,0.20655138705478748,0.1273113078859751,0.3071523730905028,0.21367168934375513,0.3071523730905028,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.20250728209367844,0.2066313047672769,0.20250728209367844,0.10419073837531588,0.3145868542523057,0.13326877929604464,0.18401545730788874,0.3145868542523057,0.2066313047672769,0.19950794908072567,0.12236809133901261,0.30898605787660927,0.2102873660987825,0.30898605787660927,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.20027186986953413,0.20667992283124476,0.20027186986953413,0.10324806647773312,0.31179177157561194,0.13078210500651347,0.18194064768661952,0.31179177157561194,0.20667992283124476,0.20075182456639595,0.12620210196473636,0.3039540330937598,0.21030265320829736,0.3039540330937598,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.19853832696547294,0.20559333479644631,0.19853832696547294,0.10160596350252156,0.3096274140838897,0.12877673114401764,0.18000336957680965,0.3096274140838897,0.20559333479644631,0.1981831865850836,0.12596792235854082,0.3034387127700029,0.20919660723787578,0.3034387127700029,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.1973002453710599,0.20740095105414327,0.1973002453710599,0.10127171936216407,0.308183208658387,0.12763971587185965,0.1790315479641369,0.308183208658387,0.20740095105414327,0.20122234680093243,0.12665158571326174,0.3048452517396072,0.21090639475126713,0.3048452517396072,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.19571102736886384,0.20515133360106694,0.19571102736886384,0.10003403377151583,0.3061304665453201,0.12618399468203884,0.17744949833295828,0.3061304665453201,0.20515133360106694,0.19711067475873278,0.12150313729944173,0.30762485378363635,0.2087462219472703,0.30762485378363635,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.19477498142102778,0.2083805910287131,0.19477498142102778,0.09941574745371662,0.30469666690735203,0.1258322907007228,0.17664823502059715,0.30469666690735203,0.2083805910287131,0.20346552208138746,0.1265449718994205,0.30636835109908134,0.21212628169329642,0.30636835109908134,2D AE mixed-T exclusion,6,normalized_delta,192
