epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.43722548069793,0.40289899557564696,0.43722548069793,0.35297691394603065,0.47993756728792697,0.44600832941371216,0.42630760354922326,0.47993756728792697,0.40289899557564696,0.31852599975474655,0.5284853332136806,0.35587132320200143,0.4009608853901429,0.5284853332136806,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.2969451265717273,0.2409063225796988,0.2969451265717273,0.22574125313188478,0.36974228500367057,0.2571001156939601,0.2841945512765051,0.36974228500367057,0.2409063225796988,0.20610382054199247,0.17169367934724217,0.34054125326832657,0.23944625105252038,0.34054125326832657,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.21869757066135084,0.2315648355858123,0.21869757066135084,0.14452644576836332,0.3404303428520106,0.11141838238873977,0.19879172366970457,0.3404303428520106,0.2315648355858123,0.20090717627131877,0.1538640616584177,0.33522611024152293,0.22999911605708645,0.33522611024152293,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.21385270092457692,0.2332709417199544,0.21385270092457692,0.13989346240834064,0.33556569529098473,0.1053626182063964,0.19360725863524061,0.33556569529098473,0.2332709417199544,0.21482500296452658,0.14196524309778685,0.3391864635589484,0.23199223654042064,0.3391864635589484,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.2101881827226117,0.23179485593882806,0.2101881827226117,0.135770779792848,0.33094821351565434,0.1030272730604661,0.18991542212298948,0.33094821351565434,0.23179485593882806,0.21763351705281975,0.13450538015336191,0.33994837636863323,0.23069575785827165,0.33994837636863323,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.20588763747662042,0.22983831343577898,0.20588763747662042,0.13234610346577677,0.3249977016771877,0.1009409835886336,0.18609492957719934,0.3249977016771877,0.22983831343577898,0.21217428284023512,0.13150226562774103,0.34215982354148045,0.2286121240031522,0.34215982354148045,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.20198342844605657,0.2299585415538341,0.20198342844605657,0.12947753139773174,0.31947846726562373,0.09824303613039359,0.182399678264583,0.31947846726562373,0.2299585415538341,0.22204184353084086,0.12529218801125688,0.33901645342182174,0.22878349498797315,0.33901645342182174,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.19827788577251282,0.2267994887582753,0.19827788577251282,0.12626139975614437,0.3142868175202746,0.0951202889510677,0.17855616874249555,0.3142868175202746,0.2267994887582753,0.2187106093178761,0.12033425927113153,0.33750695226665,0.22551727361855253,0.33750695226665,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.1953574125233171,0.23138807382573315,0.1953574125233171,0.12439206607108787,0.31043694344337625,0.09249741504494875,0.17577547485313763,0.31043694344337625,0.23138807382573315,0.2290889703039516,0.12061725793602435,0.3407747091431367,0.23016031246103755,0.3407747091431367,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.19226057862542026,0.2346614744449827,0.19226057862542026,0.12259026643940865,0.3058689759372606,0.0904761823175432,0.1729784748980708,0.3058689759372606,0.2346614744449827,0.23905565384577246,0.12123271717175253,0.34001201171133866,0.23343346090962122,0.34001201171133866,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.18943922637199212,0.224310353115954,0.18943922637199212,0.12107675350444858,0.301018526019995,0.08952349715338453,0.17053959222594273,0.301018526019995,0.224310353115954,0.212103646818271,0.12161791870909694,0.33529491172858367,0.22300549241865056,0.33529491172858367,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.18554014469071772,0.22495724562661235,0.18554014469071772,0.11856423452956401,0.29469819605138753,0.08789150423798743,0.167051311606313,0.29469819605138753,0.22495724562661235,0.2111124861985445,0.12072760126749543,0.3392333077536406,0.22369113173989352,0.3392333077536406,2D AE mixed-T exclusion,6,normalized_delta,192
13,0.18271107081039337,0.22513744930475818,0.18271107081039337,0.11599859162225498,0.29012074694699125,0.08667708340152225,0.16426547399025615,0.29012074694699125,0.22513744930475818,0.21012682659165102,0.12122148347062696,0.340105864876195,0.22381805831282434,0.340105864876195,2D AE mixed-T exclusion,6,normalized_delta,192
14,0.1796432032281298,0.22858280318265728,0.1796432032281298,0.11408830553104647,0.28477882498587426,0.08556622614154384,0.16147778555282152,0.28477882498587426,0.22858280318265728,0.2135321483749183,0.12162054843931018,0.3464846521615982,0.2272124496586089,0.3464846521615982,2D AE mixed-T exclusion,6,normalized_delta,192
15,0.17653288939706385,0.23406323290129477,0.17653288939706385,0.11120397455288927,0.27974510352999027,0.08438859255835546,0.158445890213745,0.27974510352999027,0.23406323290129477,0.22838061866647702,0.12437162080436553,0.345339826288584,0.23269735525314217,0.345339826288584,2D AE mixed-T exclusion,6,normalized_delta,192
16,0.17260688188656184,0.23720631436015485,0.17260688188656184,0.1087868906479812,0.27325992527058873,0.0828718392006378,0.1549728850397359,0.27325992527058873,0.23720631436015485,0.23417116857896697,0.1264830639904463,0.34653295019371927,0.23572906092104418,0.34653295019371927,2D AE mixed-T exclusion,6,normalized_delta,192
17,0.16924850696939348,0.2435351002660864,0.16924850696939348,0.10692268774429499,0.2673953282870154,0.08140945241192676,0.15190915614774572,0.2673953282870154,0.2435351002660864,0.24128483511022034,0.1305528502960346,0.3541294992509249,0.24198906155239328,0.3541294992509249,2D AE mixed-T exclusion,6,normalized_delta,192
18,0.16613741233600815,0.24659035791864237,0.16613741233600815,0.10445840419543044,0.26229426779554327,0.08039275016867246,0.1490484740532154,0.26229426779554327,0.24659035791864237,0.2512994001005241,0.13087647376018333,0.3529863356637131,0.24505406984147352,0.3529863356637131,2D AE mixed-T exclusion,6,normalized_delta,192
19,0.16284614211183246,0.251069792373773,0.16284614211183246,0.10212705232414745,0.256570021977539,0.0792362794981439,0.14597778459994343,0.256570021977539,0.251069792373773,0.2525811874173938,0.1310139583595293,0.3647634023016221,0.24945284935951506,0.3647634023016221,2D AE mixed-T exclusion,6,normalized_delta,192
