epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7654853066407055,0.8451396957522326,0.7654853066407055,0.0005054728114106936,0.5783906669082891,0.9525799443683471,0.8451396957522326,0.0006949581318313579,1.5401602781489492,0.17392422942444682,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.28104505212192077,0.44448211561747264,0.28104505212192077,0.00021415300251241402,0.07257541778486178,0.4895146860475521,0.44448211561747264,0.0003478453580792157,0.783414424482733,0.10986763977678493,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.14551563420329228,0.34804387520680796,0.14551563420329228,9.810197767058208e-05,0.051034762183705486,0.2399965063276061,0.34804387520680796,0.000264446096394292,0.5903763399980962,0.10728384393639863,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.11831727010538301,0.3160594107408308,0.11831727010538301,7.768891642246971e-05,0.045630410051788674,0.19100413052552195,0.3160594107408308,0.00024369887887861483,0.5401571431271732,0.09380163860041649,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.10586155053362789,0.30919710356563546,0.10586155053362789,6.794341479178684e-05,0.042836995780408144,0.16888610453131686,0.30919710356563546,0.0002395838963391599,0.5103521690238267,0.1098032918968238,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.09808243154342394,0.3164761729199948,0.09808243154342394,6.176844850912115e-05,0.041317990917458115,0.15484687259577842,0.3164761729199948,0.00024756780541713535,0.5419775065071881,0.09390245292522013,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
7,0.09311307903872915,0.30136336483006143,0.09311307903872915,5.7876412591644016e-05,0.03960391723113247,0.14662224034887242,0.30136336483006143,0.0002344866181477713,0.5174207795318216,0.08794819368468597,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
8,0.08919229177406514,0.3109345699959233,0.08919229177406514,5.492805392708373e-05,0.038256451509982706,0.140128131821213,0.3109345699959233,0.0002428101037764005,0.5312733229231089,0.09363306523067877,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
9,0.08567401481021839,0.3126224017333628,0.08567401481021839,5.242363891943478e-05,0.03678500786962279,0.134563021780736,0.3126224017333628,0.0002459384199716763,0.5421168143302202,0.08663722048141062,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
10,0.08273931595695067,0.3157253851591615,0.08273931595695067,5.0377308253521926e-05,0.03583296861903495,0.12964566291336074,0.3157253851591615,0.0002487681943889867,0.5445182259604335,0.09067893151962199,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
11,0.07947890888375929,0.3213025614816553,0.07947890888375929,4.813139682837171e-05,0.03432082209032942,0.12463699587916274,0.3213025614816553,0.0002532207622705693,0.5501946358159184,0.09642151905503124,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
12,0.07670426263986342,0.3249206565620647,0.07670426263986342,4.627518253354753e-05,0.03326907302496065,0.12013945269237561,0.3249206565620647,0.00025623375853307926,0.567782849766314,0.08658540225494653,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
13,0.07363872038552081,0.312747314984697,0.07363872038552081,4.419175031698724e-05,0.03251464826888947,0.11476279256573643,0.312747314984697,0.0002462030931869904,0.5329751589521766,0.09649656035937369,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
14,0.0707098576932188,0.3187660157816563,0.0707098576932188,4.227534700695254e-05,0.031443723926253345,0.10997599162849557,0.3187660157816563,0.0002538999499835834,0.5507004263754934,0.09151988371973857,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
15,0.06777880397666411,0.31135301347426886,0.06777880397666411,4.0450582008885524e-05,0.030498603276579255,0.10505900442241187,0.31135301347426886,0.00024746021330824066,0.5390580395108554,0.0881239918251522,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
