epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6885206635061063,0.5546325079067365,0.7001975274399708,0.6839876314134974,0.8446637928485871,0.536910570059952,0.6885206647740122,0.8446637928485871,0.549820068434469,0.38266224597464316,0.6859732793382136,0.5990249589958694,0.5558868281029087,0.6859732793382136,2D AE mixed-T exclusion,8,normalized_delta,96
2,0.44251660979107804,0.38568458620850976,0.45594020164326615,0.4834231155483346,0.4789305062670457,0.36519620696965016,0.44251660959501016,0.4834231155483346,0.38236397708717146,0.3088336572982371,0.43345531055820175,0.41909886174835265,0.3871292765349305,0.43345531055820175,2D AE mixed-T exclusion,8,normalized_delta,96
3,0.2577799970382138,0.2198425189224317,0.25182163676148966,0.19283627152050797,0.37234250926657725,0.20816120948446423,0.25777999675718316,0.37234250926657725,0.2171341983650468,0.21030849713861244,0.11952220903913258,0.33282640314428136,0.22088570310734212,0.33282640314428136,2D AE mixed-T exclusion,8,normalized_delta,96
4,0.1884625597611854,0.21045366717551492,0.1748547528527285,0.08644355235523299,0.3170479128627401,0.16189621096771015,0.18846255872856107,0.3170479128627401,0.20789241886722218,0.19929081190639408,0.10685744517104467,0.32840174750890583,0.2115166681954482,0.32840174750890583,2D AE mixed-T exclusion,8,normalized_delta,96
5,0.18227064819320252,0.20777986059823123,0.16864906343582428,0.08185950356878732,0.3069197247687139,0.15803271874687388,0.18227064902812504,0.3069197247687139,0.20525465420398273,0.19933942554416717,0.10186539642018033,0.32557968061883,0.20892816752772583,0.32557968061883,2D AE mixed-T exclusion,8,normalized_delta,96
6,0.17974824932845015,0.20697670551384553,0.16606663249825176,0.07975627928972244,0.3036876779637839,0.15580079073184414,0.17974824932845015,0.3036876779637839,0.20453894813422505,0.19562851601585862,0.1002165017707739,0.328381483850535,0.20807550054572252,0.328381483850535,2D AE mixed-T exclusion,8,normalized_delta,96
7,0.17750420629193908,0.20559920395577425,0.1639590767653365,0.07797091312118266,0.3006441252404138,0.15389758003385443,0.17750420613181694,0.3006441252404138,0.20315645814652702,0.19685805711196736,0.098945103938604,0.32453720094054006,0.2067801206637038,0.32453720094054006,2D AE mixed-T exclusion,8,normalized_delta,96
8,0.17644521013686532,0.20569554454597988,0.1629564180578056,0.07724444594626365,0.3002301032605924,0.1518610838359516,0.17644521101426922,0.3002301032605924,0.2032258537879802,0.19725108260536217,0.09766465815482661,0.32598652120213956,0.20696742065410945,0.32598652120213956,2D AE mixed-T exclusion,8,normalized_delta,96
9,0.17507393842465,0.2045716018795869,0.16135841541384396,0.07674849405884743,0.2975999199638241,0.15087340165321764,0.17507393855862974,0.2975999199638241,0.20210643445974902,0.19236235749121988,0.0976786743667617,0.32711711172305513,0.2057193811936789,0.32711711172305513,2D AE mixed-T exclusion,8,normalized_delta,96
10,0.17432253913659798,0.20577795208970967,0.1605894665184774,0.07611007017916754,0.29732145306311153,0.14953609629485168,0.17432253984571025,0.29732145306311153,0.20322297833810904,0.19709629930002848,0.09690440681879409,0.3273408487730194,0.207113851630614,0.3273408487730194,2D AE mixed-T exclusion,8,normalized_delta,96
11,0.17330044147215393,0.20416809258933521,0.16003244170232822,0.07552818782921684,0.29547726351179576,0.14889587309015426,0.17330044147705562,0.29547726351179576,0.20168936409693408,0.19399980622984003,0.09690122726533446,0.32517658777942415,0.20535920709153288,0.32517658777942415,2D AE mixed-T exclusion,8,normalized_delta,96
12,0.17271515197659792,0.2040306827727411,0.15948153738128512,0.07537880004628708,0.2950217464252522,0.1477449090465119,0.1727151518393504,0.2950217464252522,0.20143495007957282,0.19506571090096259,0.09591820379137062,0.32510995904158335,0.2053646245779722,0.32510995904158335,2D AE mixed-T exclusion,8,normalized_delta,96
13,0.17193292159783213,0.20731070360573206,0.1589526451731983,0.0748317882639209,0.2935262862789004,0.14744068832675877,0.17193292095652668,0.2935262862789004,0.20472194367872648,0.20019169331681042,0.09858883159904508,0.3273983998224139,0.20872630824608981,0.3273983998224139,2D AE mixed-T exclusion,8,normalized_delta,96
14,0.17198691791609713,0.20581738817640335,0.15896603014124067,0.07469875814001027,0.2945019043982029,0.1467600895582061,0.17198691736547309,0.2945019043982029,0.2032467576736388,0.19866697925863264,0.09676885806402424,0.3261607248277869,0.20719885405014793,0.3261607248277869,2D AE mixed-T exclusion,8,normalized_delta,96
15,0.171497454768733,0.20609736522831218,0.15832439559070688,0.07438128610190592,0.2930530311637803,0.14705805066776903,0.1714974559778184,0.2930530311637803,0.2035572992263999,0.196442669195676,0.09646926575078396,0.32938126949738944,0.2074310681479498,0.32938126949738944,2D AE mixed-T exclusion,8,normalized_delta,96
