epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7775678336620331,0.914728194475174,0.7775678336620331,0.0001075143178847308,0.0,0.914728194475174,0.00012258479910087772,0.0,,,,,,,,,,,1,1,1,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.7713554004828135,0.9094610810279846,0.7713554004828135,0.00010661730872622381,0.0,0.9094610810279846,0.00012180538033135235,0.0,0.9397379579645325,0.9712661903253421,20.0,0.9397379579645325,0.9397379579645325,0.9397379579645325,0.9397379579645325,0.9397379579645325,0.9397379579645325,0.9397379579645325,1,1,2,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.7682481606801351,0.9027696847915649,0.7682481606801351,0.00010613556878524832,0.0,0.9027696847915649,0.00012081094791938085,0.0,,,,,,,,,,,1,1,3,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.762653261423111,0.8941025733947754,0.762653261423111,0.00010528646453167312,0.0,0.8941025733947754,0.00011951849955949001,0.0,0.9403245422177593,0.9714076695862334,20.0,0.9403245422177593,0.9403245422177593,0.9403245422177593,0.9403245422177593,0.9403245422177593,0.9403245422177593,0.9403245422177593,1,1,4,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.747207760810852,0.8828239291906357,0.747207760810852,0.00010304106884480764,0.0,0.8828239291906357,0.00011783463560277596,0.0,,,,,,,,,,,1,1,5,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.7356635133425394,0.8682403415441513,0.7356635133425394,0.00010120656224898994,0.0,0.8682403415441513,0.0001156564503617119,0.0,0.9412765884899685,0.9716453895857814,20.0,0.9412765884899685,0.9412765884899685,0.9412765884899685,0.9412765884899685,0.9412765884899685,0.9412765884899685,0.9412765884899685,1,1,6,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.7220721443494161,0.8495114594697952,0.7220721443494161,9.913709800457582e-05,0.0,0.8495114594697952,0.0001128579333453672,0.0,,,,,,,,,,,1,1,7,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.704452763001124,0.825808584690094,0.704452763001124,9.637498199784507e-05,0.0,0.825808584690094,0.00010931451106444001,0.0,0.9426341884405388,0.9720224724913029,20.0,0.9426341884405388,0.9426341884405388,0.9426341884405388,0.9426341884405388,0.9426341884405388,0.9426341884405388,0.9426341884405388,1,1,8,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.6754023730754852,0.7965082675218582,0.6754023730754852,9.214912643074058e-05,0.0,0.7965082675218582,0.00010493882655282505,0.0,,,,,,,,,,,1,1,9,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.6471411287784576,0.7614711374044418,0.6471411287784576,8.768929546931759e-05,0.0,0.7614711374044418,9.972151019610465e-05,0.0,0.944173421121397,0.9725596370478694,20.0,0.944173421121397,0.944173421121397,0.944173421121397,0.944173421121397,0.944173421121397,0.944173421121397,0.944173421121397,1,1,10,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.6158443590005239,0.7207471281290054,0.6158443590005239,8.297450040117837e-05,0.0,0.7207471281290054,9.368992505187634e-05,0.0,,,,,,,,,,,1,1,11,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
