epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5504386818061272,0.6906749745011329,0.5506132454574109,0.5504386818061272,0.5504386818061272,0.5504386818061272,0.6669631365537644,0.6906749745011329,0.6906749745011329,0.6906749745011329,noisy-LJ only,4,normalized_delta,96
2,0.4340874286517501,0.612665727198124,0.4321197220509251,0.4340874286517501,0.4340874286517501,0.4340874286517501,0.597720900118351,0.612665727198124,0.612665727198124,0.612665727198124,noisy-LJ only,4,normalized_delta,96
3,0.3433195798347394,0.5360254681706429,0.34255275289465986,0.3433195798347394,0.3433195798347394,0.3433195798347394,0.5276764230430127,0.5360254681706429,0.5360254681706429,0.5360254681706429,noisy-LJ only,4,normalized_delta,96
4,0.33365025917689006,0.4909692552983761,0.3330737653672695,0.33365025917689006,0.33365025917689006,0.33365025917689006,0.4843204400241375,0.4909692552983761,0.4909692552983761,0.4909692552983761,noisy-LJ only,4,normalized_delta,96
5,0.3299189319734772,0.46300790333747865,0.32938133070617914,0.3299189319734772,0.3299189319734772,0.3299189319734772,0.45705989527702334,0.46300790333747865,0.46300790333747865,0.46300790333747865,noisy-LJ only,4,normalized_delta,96
6,0.3269669908483823,0.4433601535260677,0.326449091317753,0.3269669908483823,0.3269669908483823,0.3269669908483823,0.43781048876047135,0.4433601535260677,0.4433601535260677,0.4433601535260677,noisy-LJ only,4,normalized_delta,96
7,0.3243881978442272,0.4283380282223225,0.3238867786178986,0.3243881978442272,0.3243881978442272,0.3243881978442272,0.42308399149775505,0.4283380282223225,0.4283380282223225,0.4283380282223225,noisy-LJ only,4,normalized_delta,96
8,0.3220219967712959,0.41594238409399986,0.321537050396204,0.3220219967712959,0.3220219967712959,0.3220219967712959,0.41094206523895266,0.41594238409399986,0.41594238409399986,0.41594238409399986,noisy-LJ only,4,normalized_delta,96
9,0.31975113036235175,0.4051629935503006,0.31927954287578664,0.31975113036235175,0.31975113036235175,0.31975113036235175,0.40039452034235,0.4051629935503006,0.4051629935503006,0.4051629935503006,noisy-LJ only,4,normalized_delta,96
10,0.31751990303521355,0.39523522682487966,0.31705762950951855,0.31751990303521355,0.31751990303521355,0.31751990303521355,0.3906913271546364,0.39523522682487966,0.39523522682487966,0.39523522682487966,noisy-LJ only,4,normalized_delta,96
11,0.3152575358239313,0.3853833519071341,0.31479899779583015,0.3152575358239313,0.3152575358239313,0.3152575358239313,0.38109885242581365,0.3853833519071341,0.3853833519071341,0.3853833519071341,noisy-LJ only,4,normalized_delta,96
12,0.3130036644823849,0.3735165749490261,0.31252774844070275,0.3130036644823849,0.3130036644823849,0.3130036644823849,0.3696839907318354,0.3735165749490261,0.3735165749490261,0.3735165749490261,noisy-LJ only,4,normalized_delta,96
