source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
reid,calibration,1,45,-0.232251246533386,-1.4384939670562744,0.5412071943283081,-1.514420747756958,0.5649644136428833,-1.892852783203125,0.6833680868148804
reid,calibration,2,43,0.34530588309025634,-1.8240785598754883,0.659511148929596,-1.8877516984939575,0.6794297099113464,-2.130570411682129,0.7553905844688416
reid,calibration,3,73,0.3546914498807752,-1.7025585174560547,0.6203285455703735,-1.764373540878296,0.6396632194519043,-2.0014355182647705,0.7138102650642395
reid,calibration,4,85,-0.04034466635495291,-1.5610777139663696,0.5792500376701355,-1.6359699964523315,0.6026875376701355,-1.9644248485565186,0.7054710388183594
reid,calibration,5,22,-0.41202700293673356,-1.436030387878418,0.5403110384941101,-1.5219812393188477,0.5671953558921814,-1.9807827472686768,0.7106929421424866
reid,calibration,6,47,-0.2000712201151801,-1.5057743787765503,0.56267911195755,-1.5853643417358398,0.5875821709632874,-1.9619851112365723,0.7054243087768555
reid,calibration,7,27,-0.16419202194022636,-1.5166141986846924,0.5658938884735107,-1.6030218601226807,0.5929211378097534,-2.005387783050537,0.7187783122062683
reid,calibration,8,87,0.27845350203017877,-1.5045465230941772,0.5591982007026672,-1.5694822072982788,0.5795175433158875,-1.8159890174865723,0.6566530466079712
reid,calibration,9,67,0.2827574554363437,-1.7777290344238281,0.6461658477783203,-1.8455266952514648,0.6673739552497864,-2.103658676147461,0.7481145262718201
reid,calibration,10,71,0.3225968972047046,-1.8031452894210815,0.6531682014465332,-1.865309476852417,0.6726183891296387,-2.103496551513672,0.7471404075622559
reid,calibration,11,36,-0.19027884597049458,-1.364979863166809,0.5170875191688538,-1.4398800134658813,0.540523886680603,-1.8105454444885254,0.6564885377883911
reid,calibration,12,65,0.38860791826309066,-1.8194514513015747,0.6583034992218018,-1.8805947303771973,0.6774295568466187,-2.105975389480591,0.7479251623153687
reid,calibration,13,9,-0.058598285749740735,-1.4558576345443726,0.5473366379737854,-1.541761040687561,0.5742084383964539,-1.9326986074447632,0.6964919567108154
reid,calibration,14,81,-0.10988731840817481,-1.4847583770751953,0.5557057857513428,-1.5606664419174194,0.5794568657875061,-1.9112565517425537,0.6891501545906067
reid,calibration,15,90,0.0028081485416824783,-1.6166077852249146,0.5960823893547058,-1.692403793334961,0.6197904944419861,-2.0142927169799805,0.720473051071167
reid,calibration,16,68,0.21534159724725252,-1.7700605392456055,0.6438696384429932,-1.8425793647766113,0.6665617823600769,-2.1183929443359375,0.7528699040412903
reid,calibration,17,21,-0.14768180964121552,-1.4757028818130493,0.5536669492721558,-1.5544776916503906,0.5783144235610962,-1.927900791168213,0.6951528191566467
reid,calibration,18,24,-0.1309780478243826,-1.5531799793243408,0.5766329765319824,-1.6315425634384155,0.6011471748352051,-1.985461711883545,0.711868166923523
reid,calibration,19,48,-0.17123836165231263,-1.5245620012283325,0.5695170164108276,-1.6086845397949219,0.5958282351493835,-2.009209156036377,0.7211019396781921
reid,calibration,20,1,0.3378457170934105,-1.7084529399871826,0.6226571798324585,-1.771043062210083,0.6422334313392639,-2.0079779624938965,0.7163363695144653
reid,calibration,21,76,0.18335712828880277,-1.653031349182129,0.605457603931427,-1.7235372066497803,0.6275184750556946,-1.9969327449798584,0.7130634784698486
reid,calibration,22,78,0.1293664497277195,-1.5898406505584717,0.5871438980102539,-1.6598163843154907,0.6090391278266907,-1.9405336380004883,0.6968730092048645
reid,calibration,23,72,-0.037977481086243575,-1.5115400552749634,0.5648630261421204,-1.5884522199630737,0.5889278054237366,-1.9221820831298828,0.6933473944664001
reid,calibration,24,55,0.27125756726885086,-1.7042570114135742,0.6228540539741516,-1.7771008014678955,0.6456503868103027,-2.060218095779419,0.7342520952224731
reid,calibration,25,82,-0.07218477062664293,-1.52207612991333,0.5663484334945679,-1.5964012145996094,0.5896084904670715,-1.929912805557251,0.6939792633056641
reid,calibration,26,34,0.2423286065533074,-1.6967474222183228,0.6203718185424805,-1.7628333568572998,0.6410502791404724,-2.0171353816986084,0.7206201553344727
reid,calibration,27,23,-0.31124485724577994,-1.5077615976333618,0.5631896257400513,-1.5877162218093872,0.5882056951522827,-2.004528760910034,0.718613862991333
reid,calibration,28,94,0.16401048126396411,-1.5592776536941528,0.5777876973152161,-1.6251803636550903,0.5984121561050415,-1.8826473951339722,0.6789845824241638
reid,calibration,29,75,0.1204822732587641,-1.4798564910888672,0.5523887872695923,-1.5534077882766724,0.5754040479660034,-1.8506865501403809,0.668422520160675
depablo_low_temp,calibration,1,145,-0.4569532518665687,-1.5607904195785522,0.5751826167106628,-1.6110222339630127,0.5908972024917603,-1.7284908294677734,0.6276153922080994
depablo_low_temp,calibration,2,7,-0.09727260084400499,-1.4176080226898193,0.5339872241020203,-1.480069637298584,0.5535239577293396,-1.6643716096878052,0.6111466288566589
depablo_low_temp,calibration,3,133,0.3439682334342666,-1.0702160596847534,0.42899253964424133,-1.1234500408172607,0.4456508457660675,-1.3283599615097046,0.5097727179527283
depablo_low_temp,calibration,4,198,-0.3206296495113327,-1.534255027770996,0.5679710507392883,-1.5892033576965332,0.5851612091064453,-1.7254124879837036,0.6277466416358948
depablo_low_temp,calibration,5,13,0.3636117579426061,-1.1507515907287598,0.45548853278160095,-1.2149572372436523,0.4755779802799225,-1.46449613571167,0.5536550283432007
depablo_low_temp,calibration,6,21,-0.11422681948022362,-1.3468937873840332,0.5122011303901672,-1.4013152122497559,0.529231607913971,-1.5725504159927368,0.5828077793121338
depablo_low_temp,calibration,7,107,-0.4553419205041738,-1.5739609003067017,0.5783523917198181,-1.6220993995666504,0.5934094190597534,-1.7309162616729736,0.627417802810669
depablo_low_temp,calibration,8,14,-0.020264705234645113,-1.1078704595565796,0.4366189241409302,-1.162727952003479,0.4537831246852875,-1.3443588018417358,0.5105945467948914
depablo_low_temp,calibration,9,77,0.1607695438424218,-1.138176441192627,0.4490395784378052,-1.1987935304641724,0.46800824999809265,-1.4280049800872803,0.5397310853004456
depablo_low_temp,calibration,10,130,0.13037281540664314,-1.3279274702072144,0.509768545627594,-1.3933600187301636,0.530238687992096,-1.6334974765777588,0.6053602695465088
depablo_low_temp,calibration,11,50,0.3691857783976515,-1.2192673683166504,0.4770486354827881,-1.2770174741744995,0.49511492252349854,-1.493597149848938,0.5628687739372253
depablo_low_temp,calibration,12,85,-0.5044309215854138,-1.5517256259918213,0.5707511901855469,-1.596439003944397,0.5847402215003967,-1.6980077028274536,0.6164816617965698
depablo_low_temp,calibration,13,104,-0.2084327188950511,-1.374523639678955,0.5184674263000488,-1.4305304288864136,0.5359858870506287,-1.5959503650665283,0.5877050757408142
depablo_low_temp,calibration,14,55,0.23776199413847313,-1.054519772529602,0.4228860139846802,-1.1109035015106201,0.4405275583267212,-1.3237175941467285,0.507109522819519
depablo_low_temp,calibration,15,54,-0.4149092808456947,-1.4906545877456665,0.5543196797370911,-1.5425467491149902,0.5705487132072449,-1.6722967624664307,0.6111028790473938
depablo_low_temp,calibration,16,147,-0.45508805028712523,-1.4431079626083374,0.5379886031150818,-1.4928784370422363,0.5535596013069153,-1.6114462614059448,0.5906192660331726
depablo_low_temp,calibration,17,117,0.1594724535638284,-1.251556396484375,0.4845789074897766,-1.3074781894683838,0.502077043056488,-1.5152894258499146,0.5670977830886841
depablo_low_temp,calibration,18,3,-0.5089574496506146,-1.5930218696594238,0.5843952298164368,-1.6394082307815552,0.5989050269126892,-1.7407536506652832,0.6305707693099976
depablo_low_temp,calibration,19,67,-0.0018257140201558828,-1.1717637777328491,0.45754727721214294,-1.2289519309997559,0.4754432737827301,-1.425000548362732,0.5367796421051025
depablo_low_temp,calibration,20,151,-0.43250460298528204,-1.284568190574646,0.488273561000824,-1.3334892988204956,0.5035769939422607,-1.4566147327423096,0.5420381426811218
depablo_low_temp,calibration,21,79,0.16588096190370036,-1.0436601638793945,0.41868120431900024,-1.1038602590560913,0.4375152885913849,-1.3217116594314575,0.5056635141372681
depablo_low_temp,calibration,22,160,0.13098382595067665,-1.2528966665267944,0.48595109581947327,-1.3159489631652832,0.5056765675544739,-1.5466355085372925,0.5778417587280273
depablo_low_temp,calibration,23,12,0.20621044042079262,-1.1484651565551758,0.4519818425178528,-1.20402193069458,0.46936559677124023,-1.4115358591079712,0.5342941880226135
depablo_low_temp,calibration,24,157,0.3456222726247795,-1.1045981645584106,0.4402223229408264,-1.1608387231826782,0.457819402217865,-1.3722394704818726,0.5239605903625488
depablo_low_temp,calibration,25,171,0.13090063946846645,-1.2760143280029297,0.4924065172672272,-1.3417978286743164,0.5129884481430054,-1.5820060968399048,0.5881373882293701
depablo_low_temp,calibration,26,153,-0.02841312250886952,-1.200956106185913,0.4662666916847229,-1.2551229000091553,0.48321837186813354,-1.4351003170013428,0.5395288467407227
depablo_low_temp,calibration,27,59,-0.24449245701211883,-1.4511488676071167,0.5452159643173218,-1.5122319459915161,0.5643165707588196,-1.6792359352111816,0.616518497467041
depablo_low_temp,calibration,28,102,-0.3849155395146667,-1.420548439025879,0.5321455001831055,-1.4693726301193237,0.5474191308021545,-1.593668818473816,0.5862739086151123
depablo_low_temp,calibration,29,69,0.3421232945503728,-1.1211477518081665,0.44581863284111023,-1.178149700164795,0.4636594355106354,-1.3994084596633911,0.5329095721244812
depablo_mixed_temp,calibration,1,229,-0.2598863321319656,-1.33454430103302,0.5072805285453796,-0.8919548988342285,0.36824795603752136,-0.9566264152526855,0.38785964250564575
depablo_mixed_temp,calibration,2,145,-0.6224878167104015,-1.5578969717025757,0.5742949843406677,0.0666746199131012,0.06512945890426636,-0.45894742012023926,0.23038998246192932
depablo_mixed_temp,calibration,3,265,-0.8210172915377447,-1.5041183233261108,0.5597243309020996,1.2672749757766724,-0.30995190143585205,-0.26858454942703247,0.17291846871376038
depablo_mixed_temp,calibration,4,234,0.2543584606623625,-1.273337960243225,0.4917861223220825,-0.8063436150550842,0.34421306848526,-0.9247472882270813,0.38202181458473206
depablo_mixed_temp,calibration,5,231,-0.333676506988695,-1.4527802467346191,0.5440322160720825,-0.7437322735786438,0.32058683037757874,-0.4995473027229309,0.24476169049739838
depablo_mixed_temp,calibration,6,290,0.05570942435230156,-1.1548595428466797,0.45557495951652527,0.26647499203681946,0.007935715839266777,-0.19983744621276855,0.1554681658744812
depablo_mixed_temp,calibration,7,133,0.2650048017088054,-1.0427026748657227,0.4201483130455017,-0.8819008469581604,0.3696441650390625,-0.9486510753631592,0.39073941111564636
depablo_mixed_temp,calibration,8,198,-0.08896035999214302,-1.5462772846221924,0.5719079971313477,-1.3634001016616821,0.5141592025756836,-1.8864046335220337,0.677669882774353
depablo_mixed_temp,calibration,9,13,0.3587197549224782,-1.1507046222686768,0.45547324419021606,-1.2447746992111206,0.4849461019039154,-1.4333535432815552,0.5439046025276184
depablo_mixed_temp,calibration,10,21,-0.122155591678499,-1.346718668937683,0.5121476054191589,-1.3260771036148071,0.5056805610656738,-1.5060292482376099,0.5619878172874451
depablo_mixed_temp,calibration,11,107,-0.6031623761001267,-1.5719221830368042,0.5777300000190735,-0.9399847388267517,0.3796086013317108,-1.2802143096923828,0.4859742224216461
depablo_mixed_temp,calibration,12,14,-0.026450600229392638,-1.108011245727539,0.436662495136261,-1.1877192258834839,0.46161025762557983,-1.3633273839950562,0.5165771842002869
depablo_mixed_temp,calibration,13,77,0.17076206702616867,-1.1381356716156006,0.44902849197387695,-1.048648715019226,0.4208775758743286,-1.1715854406356812,0.4593777358531952
depablo_mixed_temp,calibration,14,130,0.22021860740893506,-1.3280035257339478,0.5097959041595459,-1.0436569452285767,0.4205557405948639,-1.3251959085464478,0.5084866285324097
depablo_mixed_temp,calibration,15,50,0.36259260088180656,-1.2191821336746216,0.4770248830318451,-1.1388434171676636,0.4518001973628998,-1.2949447631835938,0.5007030963897705
depablo_mixed_temp,calibration,16,232,0.16853957039658546,-1.2564830780029297,0.4853925406932831,-0.31086012721061707,0.18871574103832245,-1.9352710247039795,0.6966596841812134
depablo_mixed_temp,calibration,17,85,-0.5067330332554019,-1.5518823862075806,0.5708015561103821,-1.3153151273727417,0.4967206120491028,-1.5888491868972778,0.5823182463645935
depablo_mixed_temp,calibration,18,283,-0.9331785773503565,-1.7298390865325928,0.6260334849357605,-1.8670316934585571,0.6674421429634094,-2.776625156402588,0.9539481997489929
depablo_mixed_temp,calibration,19,55,0.23430945733151606,-1.0546343326568604,0.42291945219039917,-1.1066815853118896,0.4391786456108093,-1.2754355669021606,0.49185457825660706
depablo_mixed_temp,calibration,20,235,-0.6151185397036968,-1.5620745420455933,0.5778605341911316,0.20591066777706146,0.023354392498731613,-0.5526293516159058,0.2604111433029175
depablo_mixed_temp,calibration,21,54,-0.3576020510457859,-1.490411639213562,0.5542491674423218,-1.296525478363037,0.49346500635147095,-1.839759349822998,0.6636220812797546
