source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,-0.6572920328508807,0.2346962384053614,0.0635535199374179,1.0482701640057712e-07,0.0006405658408766612,0.00030929388158256187
depablo_low_temp,10,20,20,20,0.40468073670796567,0.1622304292867363,0.08909196724582674,8.472219903410405e-08,0.00042617189465090635,0.0002884270295908209
depablo_low_temp,25,20,20,20,0.9358530539943197,0.06666164107881167,0.1113451632350467,2.5006651931391844e-07,0.0005360403913073242,0.0003416610154090449
depablo_low_temp,50,20,20,20,0.9482036455602146,0.05794051888895548,0.12192390929122102,8.608724577641169e-07,0.0007300889352336526,0.0005306675084284507
depablo_low_temp,75,20,20,20,0.9461737025708121,0.05378546876180179,0.1271388104990921,1.8996807739313227e-06,0.0011247481219470502,0.0007389020291157066
depablo_low_temp,100,20,20,20,0.9273468760891057,0.07153859982334373,0.1309363081666797,3.995623876562604e-06,0.002053926093503833,0.0009890051180263982
depablo_mixed_temp,5,20,20,20,-0.3220088206943881,0.45767148412049297,0.22679945757564682,5.4867831558169655e-05,0.01007535167154856,0.00301740091163083
depablo_mixed_temp,10,20,20,20,-0.2882255198056023,0.3444268734980961,0.17922109704665723,7.694081312621392e-05,0.010237186588346959,0.0031445865286514165
depablo_mixed_temp,25,20,20,20,-0.3606493291327688,0.3345350147789729,0.18142652653321048,4.748728851708961e-05,0.008613683073781431,0.002252071523980703
depablo_mixed_temp,50,20,20,20,0.24115529120818346,0.2445805090143974,0.12905106469273595,5.26834758815653e-05,0.0077319898875430225,0.0029738888224528637
depablo_mixed_temp,75,20,20,20,0.4065909573016103,0.2148190914231214,0.1721180025747532,4.68742701229985e-05,0.006574423843994736,0.0022247022774536163
depablo_mixed_temp,100,20,20,20,0.3863825201925145,0.18364881641847994,0.12643548055144446,3.874527211564782e-05,0.0048815350048244,0.0028547134395921605
lj_noisy,5,20,20,20,-81.39173056271859,0.23460559579790954,0.0012192600578043978,3.346203798493264e-08,0.00022008701344020665,0.00023435349721694364
lj_noisy,10,20,20,20,-18.193564929648048,0.15831163618622793,0.002153844244672589,6.308397866305882e-08,0.00021845654991921039,0.00024212968710344285
lj_noisy,25,20,20,20,-0.6746586343867409,0.07114985504959309,0.004116859972161529,4.0771198399625065e-07,0.0006195298861712218,0.00027305200637783855
lj_noisy,50,20,20,20,0.018328116756413104,0.06126235630003356,0.004765160046327359,1.7862412335034606e-06,0.0007971948245540262,0.00032393206492997706
lj_noisy,75,20,20,20,-0.00039113947075541944,0.05963414225991417,0.005096114207392416,4.531877584668109e-06,0.0010630245320498942,0.00045237118611112236
lj_noisy,100,20,20,20,-1.159586144368213,0.07687005396982798,0.005310082358180217,9.19230717499886e-06,0.0014693771488964557,0.0008176483679562807
reid,5,20,20,20,-1.6449698920209799,0.20096119633540982,0.02154076783415691,1.9082062086006602e-08,0.0001371476668282412,0.00015117215480131563
reid,10,20,20,20,-0.028535180403975957,0.1433590916764593,0.028346618455362994,6.077129155457328e-08,0.00026696287386585027,0.0002078982346574776
reid,25,20,20,20,0.7569803980668459,0.07467654126552065,0.034074291474254684,3.748644171963633e-07,0.0005608110805042088,0.00024759911684668623
reid,50,20,20,20,0.8838921859384099,0.04722063679272813,0.03674579830514,1.7038964145399405e-06,0.0010041682049632072,0.00035023616219405086
reid,75,20,20,20,0.8735996658998617,0.05367329913562159,0.03814548712888468,4.3354853588084555e-06,0.0011466776486486197,0.0005835337797179818
reid,100,20,20,20,0.7705976040496958,0.06761031057612663,0.039261933802947645,9.372743460289711e-06,0.0017716057132929563,0.0009210214804625139
