epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
16,0.164451835056146,0.13671410456299782,0.164451835056146,5.653241047790895e-05,0.0,0.13671410456299782,4.7830146286287345e-05,0.0,0.9909932615604335,0.9968977888953083,20.0,0.9909932615604335,0.9909932615604335,0.9909932615604335,0.9909932615604335,0.9909932615604335,0.9909932615604335,0.9909932615604335,1,1,16,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,0.14776311566432318,0.11949471570551395,0.14776311566432318,5.133174757550781e-05,0.0,0.11949471570551395,4.237366829329403e-05,0.0,,,,,,,,,,,1,1,17,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,0.12987650682528815,0.10354468785226345,0.12987650682528815,4.5757561868716344e-05,0.0,0.10354468785226345,3.726068644027691e-05,0.0,0.9904571105402601,0.9968404319329772,20.0,0.9904571105402601,0.9904571105402601,0.9904571105402601,0.9904571105402601,0.9904571105402601,0.9904571105402601,0.9904571105402601,1,1,18,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,0.11240489780902863,0.08919447846710682,0.11240489780902863,4.0291690917608015e-05,0.0,0.08919447846710682,3.245499829063192e-05,0.0,,,,,,,,,,,1,1,19,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,0.09841475387414296,0.07740038074553013,0.09841475387414296,3.558794196578674e-05,0.0,0.07740038074553013,2.827378557412885e-05,0.0,0.9909497003130502,0.9968275195794518,20.0,0.9909497003130502,0.9909497003130502,0.9909497003130502,0.9909497003130502,0.9909497003130502,0.9909497003130502,0.9909497003130502,1,1,20,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
21,0.08631674200296402,0.06884251162409782,0.08631674200296402,3.15413008138421e-05,0.0,0.06884251162409782,2.510310059733456e-05,0.0,,,,,,,,,,,1,1,21,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
22,0.0769385335346063,0.06322862673550844,0.0769385335346063,2.82182015022651e-05,0.0,0.06322862673550844,2.2933343643671833e-05,0.0,0.9923064044683341,0.9969469685744223,20.0,0.9923064044683341,0.9923064044683341,0.9923064044683341,0.9923064044683341,0.9923064044683341,0.9923064044683341,0.9923064044683341,1,1,22,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
23,0.07044025138020515,0.0596384946256876,0.07044025138020515,2.5864113316250343e-05,0.0,0.0596384946256876,2.1489949176611844e-05,0.0,,,,,,,,,,,1,1,23,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
24,0.06454657452801864,0.05674914363771677,0.06454657452801864,2.3600456794762675e-05,0.0,0.05674914363771677,2.0353294303276925e-05,0.0,0.9932026308558085,0.9971123136985585,20.0,0.9932026308558085,0.9932026308558085,0.9932026308558085,0.9932026308558085,0.9932026308558085,0.9932026308558085,0.9932026308558085,1,1,24,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
25,0.06039973286290964,0.05375981889665127,0.06039973286290964,2.2153305205089662e-05,0.0,0.05375981889665127,1.9215370002712007e-05,0.0,,,,,,,,,,,1,1,25,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
26,0.05650858456889788,0.05076216161251068,0.05650858456889788,2.0708116608147975e-05,0.0,0.05076216161251068,1.808678007364506e-05,0.0,0.9924491243608998,0.9972266768219082,20.0,0.9924491243608998,0.9924491243608998,0.9924491243608998,0.9924491243608998,0.9924491243608998,0.9924491243608998,0.9924491243608998,1,1,26,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
27,0.05278263924022516,0.0478978268802166,0.05278263924022516,1.9334626207031153e-05,0.0,0.0478978268802166,1.7015673620335292e-05,0.0,,,,,,,,,,,1,1,27,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
28,0.04908109332124392,0.045322698540985584,0.04908109332124392,1.791330275106399e-05,0.0,0.045322698540985584,1.6054443221946713e-05,0.0,0.9921016170247032,0.9973030269968497,20.0,0.9921016170247032,0.9921016170247032,0.9921016170247032,0.9921016170247032,0.9921016170247032,0.9921016170247032,0.9921016170247032,1,1,28,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
29,0.04605761915445328,0.04301932128146291,0.04605761915445328,1.685150012538846e-05,0.0,0.04301932128146291,1.520885712125164e-05,0.0,,,,,,,,,,,1,1,29,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
30,0.043181873857975006,0.04112901585176587,0.043181873857975006,1.5693066870881012e-05,0.0,0.04112901585176587,1.4534511137753725e-05,0.0,0.9921381242327919,0.9973550366820064,20.0,0.9921381242327919,0.9921381242327919,0.9921381242327919,0.9921381242327919,0.9921381242327919,0.9921381242327919,0.9921381242327919,1,1,30,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
