variant,source,seeds,selection_epoch_mean,selection_epoch_sd,train_mean,train_sd,val_mean,val_sd,gap_mean,gap_sd
near08,depablo_low_temp,5,8.6,2.966479394838265,0.09849531389078117,0.002924046833266227,0.12399999542848054,0.00397868215812096,0.025504681537699376,0.0028045625229698398
near08,lj_noisy,5,8.6,2.966479394838265,0.3195889131690427,0.010666798493954993,0.3354254405523993,0.007506319951142045,0.01583652738335667,0.01731015733261866
near08,reid,5,8.6,2.966479394838265,0.1355617620911098,0.003665398901897028,0.19516959322388577,0.0021552111403554245,0.05960783113277598,0.004049706406476535
source_mean,depablo_low_temp,5,7.4,3.1304951684997055,0.0985150759116635,0.005879505023913823,0.12375991057653564,0.0065251735921050226,0.02524483466487214,0.006973097819835639
source_mean,lj_noisy,5,7.4,3.1304951684997055,0.32680869609329244,0.00864751091723462,0.3317938161107074,0.002868933327566499,0.004985120017415001,0.010433233832382208
source_mean,reid,5,7.4,3.1304951684997055,0.12970836481565798,0.0067448912950177934,0.1950368547987965,0.007385528039948173,0.06532848998313856,0.0076595522549484235
