source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,-0.7215537304826987,-0.6947368421052631
depablo_low_temp,z0_1,20,-0.8660271676334501,-0.8165413533834586
depablo_low_temp,pc1,20,-0.8372963072738262,-0.8105263157894737
depablo_mixed_temp,z0_0,20,-0.728345935153491,-0.6496240601503759
depablo_mixed_temp,z0_1,20,-0.8400753723444605,-0.7443609022556391
depablo_mixed_temp,pc1,20,-0.815841911418753,-0.7338345864661654
lj_noisy,z0_0,20,0.41636682187517854,0.45563909774436084
lj_noisy,z0_1,20,0.40210280275088467,0.45714285714285713
lj_noisy,pc1,20,0.40656049418334533,0.4796992481203006
reid,z0_0,20,0.9548310885380035,0.9067669172932331
reid,z0_1,20,0.9560963277970406,0.9172932330827066
reid,pc1,20,0.9558180680380896,0.9203007518796992
