split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,reid,0,0,-0.31651151180267334,-1.62179696559906,1.7235089540481567,0.6658890247344971,-2.1773407459259033,0.028166167438030243
train,reid,0,10,-0.5728698968887329,-1.250463843345642,2.188582420349121,0.975672721862793,-2.4472386837005615,0.6690818071365356
train,reid,0,20,-0.8629566431045532,-0.9431177377700806,2.8223416805267334,1.3491840362548828,-2.867403268814087,1.3635473251342773
train,reid,0,30,-1.1894630193710327,-0.6115392446517944,3.5459089279174805,1.7702364921569824,-3.352957248687744,2.1383488178253174
train,reid,0,40,-1.5527760982513428,-0.24693898856639862,4.351903915405273,2.237476348876953,-3.896026611328125,2.996537685394287
train,reid,0,50,-1.9528506994247437,0.15512444078922272,5.2359724044799805,2.7499446868896484,-4.492130756378174,3.9392635822296143
train,reid,0,60,-2.3889105319976807,0.5980693697929382,6.192440986633301,3.305821180343628,-5.135927677154541,4.965887546539307
train,reid,0,70,-2.8598785400390625,1.0831782817840576,7.216773509979248,3.903315305709839,-5.823484897613525,6.074619770050049
train,reid,0,80,-3.3638482093811035,1.6097077131271362,8.303793907165527,4.5398430824279785,-6.55085563659668,7.261414051055908
train,reid,0,90,-3.899937629699707,2.176801919937134,9.451656341552734,5.214361190795898,-7.31675386428833,8.52432632446289
train,reid,0,100,-4.465997219085693,2.783292531967163,10.654821395874023,5.924015522003174,-8.117008209228516,9.85869026184082
train,reid,1,0,-0.253176748752594,-1.8907275199890137,1.777575969696045,0.6299894452095032,-2.2933688163757324,-0.17373773455619812
train,reid,1,10,-0.4886637032032013,-1.616680383682251,2.276409387588501,0.9329462051391602,-2.6143314838409424,0.40148234367370605
train,reid,1,20,-0.7340796589851379,-1.444709300994873,2.9053263664245605,1.2727422714233398,-3.0646982192993164,0.9708764553070068
train,reid,1,30,-1.0008093118667603,-1.2808293104171753,3.607367992401123,1.6446466445922852,-3.575263500213623,1.5807849168777466
train,reid,1,40,-1.293859601020813,-1.1116663217544556,4.385087966918945,2.053039312362671,-4.144700050354004,2.244863271713257
train,reid,1,50,-1.6161562204360962,-0.9297463893890381,5.240339756011963,2.500584840774536,-4.772637367248535,2.971041440963745
train,reid,1,60,-1.970361590385437,-0.7271997928619385,6.1738386154174805,2.9895172119140625,-5.457708358764648,3.7668702602386475
train,reid,1,70,-2.3575315475463867,-0.49818456172943115,7.183251857757568,3.5201575756073,-6.196660995483398,4.636079788208008
