epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.0007715134639817724,0.000713309069064763,0.0007715134639817724,5.699518911730112e-07,0.0,0.0004811434214799479,0.001571213640194752,0.0002621833302706172,0.000713309069064763,5.282083061312429e-07,0.0,0.0012835521324354646,0.0006123509034008939,0.00024402417135793017,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.0006414829707763501,0.0006285251052699686,0.0006414829707763501,4.902019086597755e-07,0.0,0.00038831748554553325,0.0013121561705013033,0.00022397525628221367,0.0006285251052699686,4.769922483660594e-07,0.0,0.0010782453527561206,0.0005158198303432696,0.0002915101327105156,0.9498776773203044,0.9875235370464448,60.0,0.6971197774436476,0.248463487083604,0.6971197774436476,0.248463487083604,0.906511756794773,0.9363840884525658,0.248463487083604,0.906511756794773,0.9363840884525658,0.248463487083604,0.9498776773203044,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0006092141701253994,0.0006137091621122873,0.0006092141701253994,4.6809454842974337e-07,0.0,0.00037905922039659833,0.001207358247279843,0.00024122504269975684,0.0006137091621122873,4.671414070382222e-07,0.0,0.0010572229319295969,0.0005107572154504606,0.0002731473389568045,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0005951914853640931,0.000601241063296234,0.0005951914853640931,4.5903702945960345e-07,0.0,0.00036251603259038824,0.0012020998198589265,0.00022095860364296433,0.000601241063296234,4.584459508312951e-07,0.0,0.0010485411160523557,0.0005001972958920107,0.0002549847779443357,0.9604979280267378,0.9880357086341797,60.0,0.7392385224985084,0.33170801668948136,0.7392385224985084,0.33170801668948136,0.9359493008791052,0.9500582499269389,0.33170801668948136,0.9359493008791052,0.9500582499269389,0.33170801668948136,0.9604979280267378,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0005866585766683309,0.0005901800418247125,0.0005866585766683309,4.526102038519585e-07,0.0,0.0003492147184140262,0.0011950966452159942,0.0002156643663749722,0.0005901800418247125,4.5149499072749677e-07,0.0,0.0010422850317773006,0.0004812428294139325,0.0002470122642829041,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.0005803206130359818,0.0005776722258147266,0.0005803206130359818,4.522358280797455e-07,0.0,0.0003343883887387683,0.0011918715839505211,0.00021470186641865614,0.0005776722258147266,4.438562726249984e-07,0.0,0.0010351761557180488,0.00045325776785932104,0.0002445827538668099,0.9710570321207821,0.9880495516914442,60.0,0.7578501797254185,0.3595780270910668,0.7578501797254185,0.3595780270910668,0.9407584358859639,0.9732140761992248,0.3595780270910668,0.9407584358859639,0.9732140761992248,0.3595780270910668,0.9710570321207821,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.0005745127658112898,0.0005669636639090676,0.0005745127658112898,4.4627864781432436e-07,0.0,0.00032152650139262835,0.0011882322782158002,0.00021377951782544083,0.0005669636639090676,4.3727766770492355e-07,0.0,0.001027730795540377,0.00043185011021917993,0.00024131008596764571,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.0005698006806193467,0.0005587951694445942,0.0005698006806193467,4.432878530652113e-07,0.0,0.0003113095924125001,0.0011852932702343198,0.00021279917921122017,0.0005587951694445942,4.325283266363537e-07,0.0,0.0010207595733616945,0.0004187663688350085,0.00023685956613707945,0.9714279611944838,0.9867187968518183,60.0,0.7538805480501406,0.3545820393510951,0.7538805480501406,0.3545820393510951,0.9293046373296165,0.9777549674697105,0.3545820393510951,0.9293046373296165,0.9777549674697105,0.3545820393510951,0.9714279611944838,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.0005647404562473466,0.0005521109286885991,0.0005647404562473466,4.4250842948071404e-07,0.0,0.00030378343983553,0.0011805773532863309,0.00020986057562017896,0.0005521109286885991,4.284808644191192e-07,0.0,0.0010143519246413072,0.00040869062523329165,0.00023329023619119855,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.000560227234177787,0.0005444980653810853,0.000560227234177787,4.3752368964412785e-07,0.0,0.0002974285760563994,0.0011766287575336251,0.00020662436894333655,0.0005444980653810853,4.238539546008724e-07,0.0,0.0010072756641516447,0.00039531839000238284,0.00023090014198922854,0.9712460590308338,0.9860412595363515,60.0,0.7433685733970686,0.32080194927694583,0.7433685733970686,0.32080194927694583,0.9311863116067433,0.9781174593075166,0.32080194927694583,0.9311863116067433,0.9781174593075166,0.32080194927694583,0.9712460590308338,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
