source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.9043892746265945,0.062433385516659126,0.0635535199374179,2.568999042384945e-08,0.00026606018072925506,5.407090175140184e-05
depablo_low_temp,10,20,20,20,0.9621604250378394,0.050735334001066966,0.08909196724582674,2.10402024469758e-08,0.00013867204543203116,6.396778335329145e-05
depablo_low_temp,25,20,20,20,0.9937995236584364,0.02057468775376168,0.1113451632350467,1.0300450021816232e-07,0.00014092951314523817,9.009616842376999e-05
depablo_low_temp,50,20,20,20,0.9938558869497036,0.021327431113022155,0.12192390929122102,4.92517741790266e-07,0.0003351301420480013,0.00012398931867210194
depablo_low_temp,75,20,20,20,0.9910247475825533,0.025981613289924453,0.1271388104990921,1.251483404018927e-06,0.0004992612171918154,0.00019933298463001848
depablo_low_temp,100,20,20,20,0.9890840388128319,0.028397804190704628,0.1309363081666797,2.4000906080345885e-06,0.0006226723548024893,0.0003944900963688269
depablo_mixed_temp,5,20,20,20,-0.029449599964405104,0.3960074315904053,0.22679945757564682,4.454756412570759e-05,0.010152172527159564,0.00289663028306677
depablo_mixed_temp,10,20,20,20,-0.05322574368269395,0.33787406741056725,0.17922109704665723,4.501054630452472e-05,0.010096379625611007,0.002431510265887482
depablo_mixed_temp,25,20,20,20,0.22644810524312808,0.2921989458847659,0.18142652653321048,4.003950449629201e-05,0.00897195100551471,0.002054084779229015
depablo_mixed_temp,50,20,20,20,0.7043661587294253,0.15146250348632978,0.12905106469273595,3.202341071641968e-05,0.0065055668354034426,0.0016946551491855643
depablo_mixed_temp,75,20,20,20,0.7115610399031855,0.14198972579054184,0.1721180025747532,2.8050922216493747e-05,0.005046500451862812,0.0012962627777596935
depablo_mixed_temp,100,20,20,20,0.8939979860732459,0.08412537799407117,0.12643548055144446,2.6901517270516705e-05,0.0031394563615322114,0.0010380606603575871
lj_noisy,5,20,20,20,-5.913079658434983,0.06802702440488442,0.0012192600578043978,1.2796398340952919e-08,0.0001058955560438335,4.479490089579485e-05
lj_noisy,10,20,20,20,-6.190148991641881,0.09880092589938065,0.002153844244672589,4.806134006329898e-08,0.0002632853400427848,5.6645087897777555e-05
lj_noisy,25,20,20,20,-0.21016269079477978,0.05634359559602782,0.004116859972161529,3.2485054859421323e-07,0.0003513009054586291,0.00011055884533561766
lj_noisy,50,20,20,20,0.6125230669167621,0.03516018221059671,0.004765160046327359,1.6399469387806675e-06,0.00059175631031394,0.00017931636539287866
lj_noisy,75,20,20,20,0.6868190898511941,0.03105910687054821,0.005096114207392416,4.185583634352952e-06,0.0006738085765391588,0.00026072150794789197
lj_noisy,100,20,20,20,0.5355077698174862,0.03651339641886316,0.005310082358180217,8.092282268989947e-06,0.0006764738820493222,0.00041014205198735
reid,5,20,20,20,0.6265111847462557,0.07869453045359431,0.02154076783415691,8.926689532007259e-09,0.00011411312443669886,6.205298359418521e-05
reid,10,20,20,20,0.8759813980831588,0.05204179236062399,0.028346618455362994,3.443619414067456e-08,0.00016364175826311111,6.585732062376337e-05
reid,25,20,20,20,0.979241973234967,0.021090325671275695,0.034074291474254684,2.631923969431682e-07,0.00022198219085112214,5.8168549003312364e-05
reid,50,20,20,20,0.9801504374972355,0.02089240061044656,0.03674579830514,1.304309152061478e-06,0.0003958681132644415,0.0001339754853688646
reid,75,20,20,20,0.9790189693928767,0.02099609994540829,0.03814548712888468,3.2978582396481217e-06,0.0005842866376042366,0.00020878689247183502
reid,100,20,20,20,0.9776553526536711,0.022943143022462455,0.039261933802947645,6.363398210851301e-06,0.0009336106479167939,0.00027120598388137297
