epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7313073482140001,0.5866414869178916,0.7313073482140001,0.0003039683245709652,0.6549721560684074,0.8076425392824005,0.5866414869178916,0.0002742445635573793,0.9255018052672968,0.26480358745343985,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.2595214935610572,0.3320974448773389,0.2595214935610572,0.00011123114330050055,0.08633570622907107,0.4327072803095641,0.3320974448773389,0.00014621162547352623,0.531174975760281,0.13850416272040456,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.15424130294457017,0.24816384011001538,0.15424130294457017,6.045049797623403e-05,0.058597904753433655,0.24988469981165776,0.24816384011001538,0.00010811327542207809,0.3930203516446054,0.10455325961718336,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.12736610420437222,0.22717913431344539,0.12736610420437222,4.961894061183791e-05,0.05233314122451118,0.2023990666381566,0.22717913431344539,9.925453433311077e-05,0.3473330144342035,0.10789298971230164,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.1114647190524153,0.21538915951155596,0.1114647190524153,4.3153339774505865e-05,0.04763988949298619,0.1752895483500268,0.21538915951155596,9.445115202431022e-05,0.3225816224329174,0.10891275531379506,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.10016730349944777,0.2049030397613542,0.10016730349944777,3.8533281991863717e-05,0.04357423905253291,0.1567603676434023,0.2049030397613542,8.98436056944611e-05,0.30125665327114987,0.1089268750215415,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
7,0.09289571049671815,0.2048793064536018,0.09289571049671815,3.5607216214925006e-05,0.041342573318944635,0.14444884701246719,0.2048793064536018,9.014780413459251e-05,0.299854662835598,0.11021495962608606,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
8,0.08772107947572887,0.20853170247661534,0.08772107947572887,3.360854249792856e-05,0.03926557884458078,0.13617658051082407,0.20853170247661534,9.214472548170209e-05,0.29905948003195226,0.11816696574864909,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
9,0.08350321396916027,0.2080187560114065,0.08350321396916027,3.2030622485281016e-05,0.03769096679402044,0.12931546105827432,0.2080187560114065,9.192407926540195e-05,0.3054552045359742,0.110929163957946,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
10,0.07966176191546831,0.20382409833743795,0.07966176191546831,3.0645078574623433e-05,0.03612210188644478,0.12320142193701134,0.20382409833743795,9.068999856974798e-05,0.30162760929577054,0.10620545414183288,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
11,0.07608203331090839,0.2052316428316443,0.07608203331090839,2.939243169536956e-05,0.03496265433818461,0.11720141247064474,0.2052316428316443,9.126379395984505e-05,0.3035965548334643,0.10705929520912469,Reid + low-T 2D AE,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
