source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,0.8907562677680357,0.09645495924425682,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.8956911660624476,0.09431226482777312,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.8914100258406394,0.09698418880045517,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,0.886269005750265,0.09954181408493117,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.8858820563816462,0.10075163284121502,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.8989413468446468,0.09698141877097109,0.12643548055144446
lj_noisy,constant,20,20,20,-0.013843335966787329,0.06518608005387856,0.005310082358180217
lj_noisy,initial_pc1,20,20,20,-0.18895017435405603,0.07110153907284565,0.005310082358180217
lj_noisy,initial_z,20,20,20,-0.24991531844453307,0.0740223290683023,0.005310082358180217
lj_noisy,observed_prefix,20,20,20,-0.1654275472543847,0.07249399513829016,0.005310082358180217
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.8930011026345673,0.05764297048947449,0.039261933802947645
reid,initial_z,20,20,20,0.8996345914493933,0.05583520277493163,0.039261933802947645
reid,observed_prefix,20,20,20,0.9581920564663658,0.03291040877464206,0.039261933802947645
