source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,0.9449290209275807,0.8556390977443609
depablo_low_temp,z0_1,20,-0.9579399626490124,-0.8917293233082706
depablo_low_temp,pc1,20,-0.948922796991194,-0.8812030075187969
depablo_mixed_temp,z0_0,20,0.9419779937075207,0.875187969924812
depablo_mixed_temp,z0_1,20,-0.9349885679143317,-0.8616541353383457
depablo_mixed_temp,pc1,20,-0.9418830706193408,-0.8676691729323308
lj_noisy,z0_0,20,-0.3635679112450162,-0.3954887218045112
lj_noisy,z0_1,20,0.3642152593458974,0.38947368421052625
lj_noisy,pc1,20,0.3650704896307403,0.39999999999999997
reid,z0_0,20,-0.9536177340363836,-0.9428571428571428
reid,z0_1,20,0.9560338107121282,0.9428571428571428
reid,pc1,20,0.9542575323616757,0.9413533834586465
