epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.1102854842725007,1.0785789728164672,1.1102854842725007,0.11543697863817215,0.0,1.0785789728164672,0.11521918624639511,0.0,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.122948224129884,1.0760167439778645,1.122948224129884,0.11661622414122456,0.0,1.0760167439778645,0.11493117064237594,0.0,0.4811176504186766,0.8050454555577566,80.0,0.20718878324299778,-0.7895924603363176,0.20718878324299778,-0.7895924603363176,0.9090932669375613,0.9621511863554032,-0.7895924603363176,-0.2528968599846557,0.9090932669375613,0.9621511863554032,-0.7895924603363176,-0.2528968599846557,0.4811176504186766,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1530499147332234,1.0693639715512593,1.1530499147332234,0.12000733516786409,0.0,1.0693639715512593,0.11418488820393881,0.0,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.0925195865009143,1.0532033006350199,1.0925195865009143,0.11333587765693665,0.0,1.0532033006350199,0.1123669038216273,0.0,0.5921466843245251,0.820329275470298,80.0,0.18230498427165132,-0.677070600800523,0.18230498427165132,-0.677070600800523,0.7570477505102955,0.8768697046581506,-0.2276269172813179,-0.677070600800523,0.7570477505102955,0.8768697046581506,-0.2276269172813179,-0.677070600800523,0.5921466843245251,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.0810660512551018,1.0182883342107136,1.0810660512551018,0.11215625282215036,0.0,1.0182883342107136,0.10846275637547174,0.0,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.1146809912246207,0.9556480050086975,1.1146809912246207,0.11580866866785547,0.0,0.9556480050086975,0.10149414042631785,0.0,0.4240992546660153,0.730165832521825,80.0,-0.005319625417010976,-0.9528308832484742,-0.005319625417010976,-0.9528308832484742,0.9222270620912595,0.36399192977890993,-0.3546666102897391,-0.9528308832484742,0.9222270620912595,0.36399192977890993,-0.3546666102897391,-0.9528308832484742,0.4240992546660153,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0423516708871592,0.8751232981681824,1.0423516708871592,0.10768549063283464,0.0,0.8751232981681824,0.0925667867064476,0.0,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.0348824340364207,0.8185699701309204,1.0348824340364207,0.10687352198621501,0.0,0.8185699701309204,0.086286228398482,0.0,0.1948600080107582,0.6095750249226797,80.0,-0.449068861045299,-1.3334120967859113,-0.449068861045299,-1.3334120967859113,0.10504981796809898,0.4570583575860485,-1.024971522949432,-1.3334120967859113,0.10504981796809898,0.4570583575860485,-1.024971522949432,-1.3334120967859113,0.1948600080107582,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.0026054252748904,0.786685852209727,1.0026054252748904,0.10325518072299335,0.0,0.786685852209727,0.08274619802832603,0.0,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.0363751792389413,0.7758258620897929,1.0363751792389413,0.10688777753840321,0.0,0.7758258620897929,0.08154479389389356,0.0,0.37430731064403544,0.7438259679324226,80.0,-0.7566920497953122,-2.4208733701600664,-0.7566920497953122,-2.4208733701600664,-1.1061021461878808,0.8522363934494562,-0.3520290762827578,-2.4208733701600664,-1.1061021461878808,0.8522363934494562,-0.3520290762827578,-2.4208733701600664,0.37430731064403544,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
