source,frame,mode,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,latent_mse,normalized_latent_mse
depablo_low_temp,10,constant_acceleration,20,20,20,0.880821318969034,0.09080888570228414,0.08909196724582674,1.8956311453877106e-07,0.00071297159884125,6.852176920801867e-05,5.090643562084551e-05,2.721320518048742e-05
depablo_low_temp,10,constant_latent,20,20,20,0.6119240009259526,0.16783965541295062,0.08909196724582674,1.3801323834883305e-07,0.00046287616714835167,0.0002498305693734437,0.03222019588574767,0.01502724871970713
depablo_low_temp,10,constant_velocity,20,20,20,0.8450458266807723,0.1019842366412691,0.08909196724582674,1.8931048639814207e-07,0.0007152630074415356,8.658438964630477e-05,0.00040502993242625963,0.0002189682193829867
depablo_low_temp,10,constant_velocity_recent,20,20,20,0.8702191867163824,0.09548408587950138,0.08909196724582674,1.8863987563122465e-07,0.000711120298365131,7.420898364216555e-05,3.725650478827447e-05,1.9170479572494514e-05
depablo_low_temp,10,free_rollout,20,20,20,0.5166418874559657,0.1950789231372568,0.08909196724582674,2.1638163385517828e-07,0.0008133098424877971,0.00025120858736045194,0.010882990231039003,0.005628983920905739
depablo_low_temp,10,oracle_ae,20,20,20,0.8759258319693426,0.09387979688734108,0.08909196724582674,1.8962146874912378e-07,0.0007136222091503441,7.262182989506983e-05,0.0,0.0
depablo_low_temp,10,teacher_forced,20,20,20,0.8316085742532147,0.10848042655341747,0.08909196724582674,1.9228960539408036e-07,0.0007301089994143694,9.320925746578724e-05,0.00041828905959846453,0.00021676678206858924
depablo_low_temp,25,constant_acceleration,20,20,20,0.8478428148910682,0.09495739281900649,0.1113451632350467,3.4066902898644e-07,0.0008268774021416902,0.0002071149785479065,0.017254170823071034,0.009282672158497008
depablo_low_temp,25,constant_latent,20,20,20,0.529797462608565,0.20148859410753323,0.1113451632350467,1.2473635990772891e-06,0.0020465588138904424,0.0010189300155616365,0.5382429674267769,0.24968326091766357
depablo_low_temp,25,constant_velocity,20,20,20,0.9561606669048582,0.06263635394285387,0.1113451632350467,3.3375366434995615e-07,0.0007872359943576157,0.00023368880210909991,0.00970791807048954,0.005022774887038395
depablo_low_temp,25,constant_velocity_recent,20,20,20,0.9622308304131941,0.054438648309710305,0.1113451632350467,3.2398411420331286e-07,0.0007969791535288095,0.00014995084202382714,0.0024240483675384895,0.0010840637027285994
depablo_low_temp,25,free_rollout,20,20,20,0.2937107916298656,0.26653452845802994,0.1113451632350467,5.194060946678292e-07,0.0007359401904977858,0.0010176771167607513,0.17638996411114932,0.0925399732310325
depablo_low_temp,25,oracle_ae,20,20,20,0.9591294831389195,0.05630021034870046,0.1113451632350467,3.166228566442442e-07,0.0007983719697222114,0.00012379746331134812,0.0,0.0
depablo_low_temp,25,teacher_forced,20,20,20,0.9593783874995522,0.05550202911678699,0.1113451632350467,3.158599408692453e-07,0.000794681312981993,0.00014374489619513043,0.00030977160949987594,0.00016357480849364946
depablo_low_temp,50,constant_acceleration,20,20,20,0.6275380906465061,0.15893928987577086,0.12192390929122102,1.8546871920932517e-06,0.0010593772516585887,0.0012291446008021012,0.5304980626155157,0.28545816273835956
depablo_low_temp,50,constant_latent,20,20,20,0.4915808571469499,0.21625682987217204,0.12192390929122102,7.763420012452115e-06,0.005812970246188343,0.0023392351547954606,2.8419581711292268,1.301827922463417
depablo_low_temp,50,constant_velocity,20,20,20,0.9836942529303571,0.037807579264005256,0.12192390929122102,8.792815570757285e-07,0.0009516897378489375,0.00034885945788118986,0.07274480881169439,0.03336614486761391
depablo_low_temp,50,constant_velocity_recent,20,20,20,0.9768955640018231,0.04546624605910432,0.12192390929122102,8.479432167973755e-07,0.0009228459093719721,0.00016949694108916446,0.0369720749091357,0.014111850503832101
depablo_low_temp,50,free_rollout,20,20,20,0.2043683292590639,0.2969570669642909,0.12192390929122102,1.865828696168137e-06,0.0009215987287461757,0.0022805890170275235,0.8553082913160324,0.45642466926947234
depablo_low_temp,50,oracle_ae,20,20,20,0.9823999678167132,0.03769467148177365,0.12192390929122102,7.934832638056832e-07,0.0007862685713917017,0.00015460892318515108,0.0,0.0
depablo_low_temp,50,teacher_forced,20,20,20,0.9824815524795962,0.03778146528282934,0.12192390929122102,7.909537849570824e-07,0.0007853517541661859,0.0001697368032182567,0.00015823513053874193,8.525263260708015e-05
depablo_low_temp,75,constant_acceleration,20,20,20,0.5774776888126085,0.1789884675717533,0.1271388104990921,8.248390363974067e-06,0.0014533199369907378,0.0027573704050155357,3.3226360682630913,1.787112537038047
depablo_low_temp,75,constant_latent,20,20,20,0.472814191712034,0.22329181608113435,0.1271388104990921,2.0168348328297725e-05,0.009577407781034709,0.0036858381907222794,7.105490231513977,3.2114044189453126
depablo_low_temp,75,constant_velocity,20,20,20,0.9873053735481184,0.03357129085201358,0.1271388104990921,1.7923226437233097e-06,0.0011440033558756113,0.0003649303806014359,0.27059984132647513,0.1121996570378542
depablo_low_temp,75,constant_velocity_recent,20,20,20,0.9547371652812822,0.06414665909025241,0.1271388104990921,1.8508991630028504e-06,0.0011952083557844162,0.0003139633103273809,0.1932061415165663,0.07062920471653342
depablo_low_temp,75,free_rollout,20,20,20,0.21711159443097794,0.2999371151656354,0.1271388104990921,4.0221446283794645e-06,0.00098797339014709,0.0034423140954459087,1.9867498990148307,1.0709791651926934
depablo_low_temp,75,oracle_ae,20,20,20,0.9847444677956709,0.03360651975998493,0.1271388104990921,1.6726795053045862e-06,0.0007203751243650913,0.0002219608169980347,0.0,0.0
depablo_low_temp,75,teacher_forced,20,20,20,0.984818665237518,0.033884206241169994,0.1271388104990921,1.6691952552605472e-06,0.0007174596190452576,0.00022741732245776803,9.03303573068115e-05,4.5714299585597476e-05
depablo_low_temp,100,constant_acceleration,20,20,20,0.5900109402000839,0.17776325786683594,0.1309363081666797,2.0351665713747025e-05,0.002240774570964277,0.004118848498910666,11.648710638284683,6.262981003080495
