source,frame,mode,latent_mse,normalized_latent_mse
depablo_low_temp,6,free_rollout,0.0004218498692353023,0.0002170290365938854
depablo_low_temp,6,teacher_forced,0.0004218498692353023,0.0002170290365938854
depablo_low_temp,7,free_rollout,0.0017053463845513761,0.0008786219139437889
depablo_low_temp,7,teacher_forced,0.0004243653744197218,0.00021878751595068026
depablo_low_temp,8,free_rollout,0.0038712763314833866,0.0019973352158558556
depablo_low_temp,8,teacher_forced,0.00042464908656256737,0.00021937521269137504
depablo_low_temp,9,free_rollout,0.006926199898589403,0.0035781471742666326
depablo_low_temp,9,teacher_forced,0.0004212247768009547,0.00021798277703055646
depablo_low_temp,10,constant_acceleration,5.090643562084551e-05,2.721320518048742e-05
depablo_low_temp,10,constant_latent,0.03222019588574767,0.01502724871970713
depablo_low_temp,10,constant_velocity,0.00040502993242625963,0.0002189682193829867
depablo_low_temp,10,constant_velocity_recent,3.725650478827447e-05,1.9170479572494514e-05
depablo_low_temp,10,free_rollout,0.010882990231039003,0.005628983920905739
depablo_low_temp,10,oracle_ae,0.0,0.0
depablo_low_temp,10,teacher_forced,0.00041828905959846453,0.00021676678206858924
depablo_low_temp,11,free_rollout,0.01574219421017915,0.008151996578089894
depablo_low_temp,11,teacher_forced,0.00041346572361362633,0.00021464156379806808
depablo_low_temp,12,free_rollout,0.021503721142653375,0.011147697555134072
depablo_low_temp,12,teacher_forced,0.0004077856592630269,0.00021192269005041454
depablo_low_temp,13,free_rollout,0.028170444164425136,0.014619346644030884
depablo_low_temp,13,teacher_forced,0.00040200349430961067,0.00020921630484735943
depablo_low_temp,14,free_rollout,0.03572152645792812,0.01855715814162977
depablo_low_temp,14,teacher_forced,0.000393711615470238,0.000205164981798589
depablo_low_temp,15,free_rollout,0.04416923492681235,0.02296834773151204
depablo_low_temp,15,teacher_forced,0.0003870460594043834,0.00020191668381812632
depablo_low_temp,16,free_rollout,0.05350092644803226,0.02784768856363371
depablo_low_temp,16,teacher_forced,0.000379388450528495,0.00019816750045720255
depablo_low_temp,17,free_rollout,0.06372668636031449,0.03320184975164011
depablo_low_temp,17,teacher_forced,0.00037278881081874714,0.00019498094534355914
depablo_low_temp,18,free_rollout,0.07480975384823978,0.03901198582025245
depablo_low_temp,18,teacher_forced,0.0003636354882473825,0.00019039677408727584
depablo_low_temp,19,free_rollout,0.08677500206977129,0.045292885217349976
depablo_low_temp,19,teacher_forced,0.0003568169973732438,0.00018707944068410142
depablo_low_temp,20,free_rollout,0.09960412038490177,0.052035076450556515
depablo_low_temp,20,teacher_forced,0.0003489414028081228,0.00018313506520826195
depablo_low_temp,21,free_rollout,0.11327695832587778,0.05922988320235163
depablo_low_temp,21,teacher_forced,0.00034036910583381543,0.00017887530575535492
depablo_low_temp,22,free_rollout,0.12780365208163857,0.06688278310466558
depablo_low_temp,22,teacher_forced,0.0003328115577460267,0.0001750943328715948
depablo_low_temp,23,free_rollout,0.14316939050331712,0.07498736628331244
depablo_low_temp,23,teacher_forced,0.00032484824205312177,0.00017111445340560748
depablo_low_temp,24,free_rollout,0.1593536061234772,0.08353319559246301
depablo_low_temp,24,teacher_forced,0.0003163579716783715,0.00016682371342540135
depablo_low_temp,25,constant_acceleration,0.017254170823071034,0.009282672158497008
