variant,source,seeds,train_mse,val_mse,val_train_ratio
dimension4,depablo_low_temp,4,0.08616688240956705,0.11975289892507132,1.3898560416643502
dimension4,lj_noisy,4,0.3002658845072514,0.32748354588329676,1.0909963345681712
dimension4,reid,4,0.1497799870729642,0.20800300105292988,1.3892233284233078
equal_source,depablo_low_temp,4,0.11520889817344905,0.1309947405916318,1.2301329841596897
equal_source,lj_noisy,4,0.31001844455635075,0.3387518538074801,1.093844209780067
equal_source,reid,4,0.16672412817317403,0.2214343774758163,1.3459454497743137
lj_edges,depablo_low_temp,5,0.11624746163424689,0.14282709934923327,1.2286924568653075
lj_edges,lj_noisy,5,0.3030013281655939,0.3295897073374362,1.0877839598610286
lj_edges,reid,5,0.1602500431278818,0.19779166014704969,1.2345804008859198
longer,depablo_low_temp,4,0.08438592014319603,0.1139971092161431,1.3560727159786146
longer,lj_noisy,4,0.29726887097655746,0.3314781609224155,1.1156224333550506
longer,reid,4,0.1546664505768077,0.20446171678304376,1.3231611085118875
wider,depablo_low_temp,4,0.08604604261192048,0.1265631071073585,1.476061042134167
wider,lj_noisy,4,0.2949704894599946,0.336904189116467,1.1433984649570244
wider,reid,4,0.14622612527914736,0.23569714288714746,1.618961607554383
