epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.00044697008723669143,0.00037899693230030064,0.00044697008723669143,1.475382902907875e-07,0.0,0.00020405449451142262,0.0009461195703090453,0.00019073619688960637,0.00037899693230030064,1.2341006320563488e-07,0.0,0.0007666890084898401,0.00019916028829045803,0.0001711415001206038,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.0004073050455706154,0.00035683706427139527,0.0004073050455706154,1.3666001350162226e-07,0.0,0.0001651721062250401,0.0009087440430799657,0.00014799898740684033,0.00035683706427139527,1.1786433281220828e-07,0.0,0.0007518056805416731,0.0001733889176542011,0.00014531659461831145,0.977735493834517,0.9901944840030694,60.0,0.726916950628261,0.2415452970725449,0.726916950628261,0.2415452970725449,0.9467195412086729,0.9924860136035649,0.2415452970725449,0.9467195412086729,0.9924860136035649,0.2415452970725449,0.977735493834517,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0003935616117028954,0.0003532318026836228,0.0003935616117028954,1.3263122448680567e-07,0.0,0.0001459664045043546,0.0009037897693856553,0.00013092866121867605,0.0003532318026836228,1.1700437359725886e-07,0.0,0.00075371079784352,0.00016513817133530115,0.00014084643887204756,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0003917974244273061,0.0003512487939906649,0.0003917974244273061,1.3210913064152492e-07,0.0,0.00014287280048412804,0.0009039739426699718,0.00012854553012781858,0.0003512487939906649,1.1642826436286668e-07,0.0,0.00075037426146082,0.0001642648123855619,0.00013910730812561294,0.9808355593072373,0.9906237934590254,60.0,0.7528785174766607,0.3094334110860847,0.7528785174766607,0.3094334110860847,0.954141152609005,0.9950609887348923,0.3094334110860847,0.954141152609005,0.9950609887348923,0.3094334110860847,0.9808355593072373,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0003902541560044607,0.00035003436716189094,0.0003902541560044607,1.314777565773832e-07,0.0,0.00014195676852894298,0.0009010492903856079,0.00012775640909883112,0.00035003436716189094,1.1616850947859803e-07,0.0,0.0007488866275288705,0.00016296414887404496,0.00013825232508275732,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.0003888290260710635,0.0003490536956182242,0.0003888290260710635,1.3228946596989451e-07,0.0,0.00014049151918197423,0.0008993418026503214,0.00012665375638089483,0.0003490536956182242,1.159779371799156e-07,0.0,0.0007480436739391388,0.0001616698064014007,0.0001374476065141332,0.9798957650860713,0.9906933412358097,60.0,0.733614485791278,0.2551329684556892,0.733614485791278,0.2551329684556892,0.9492794380797461,0.9964310508383983,0.2551329684556892,0.9492794380797461,0.9964310508383983,0.2551329684556892,0.9798957650860713,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.0003875583260731928,0.0003483033738178009,0.0003875583260731928,1.3144317404446745e-07,0.0,0.00013887557985447872,0.0008982151446740685,0.00012558425369103103,0.0003483033738178009,1.158148847935081e-07,0.0,0.0007471588180886394,0.00016069154476142737,0.0001370597586033359,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.00038683609082253053,0.00034747539447382646,0.00038683609082253053,1.3122651702534474e-07,0.0,0.00013770703412294632,0.0008980354368808799,0.00012476580146376524,0.00034747539447382646,1.1558766862170462e-07,0.0,0.0007463705466718813,0.00016077306090207943,0.00013528257584751875,0.9810424835742687,0.9908946717978122,60.0,0.7620603326519318,0.33676784168996676,0.7620603326519318,0.33676784168996676,0.955305720859181,0.9941074354066481,0.33676784168996676,0.955305720859181,0.9941074354066481,0.33676784168996676,0.9810424835742687,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.00038618422284784757,0.0003471632453199154,0.00038618422284784757,1.3193389324830123e-07,0.0,0.00013712087081443227,0.0008971578778411676,0.00012427391988794305,0.0003471632453199154,1.1550850823975149e-07,0.0,0.0007460929580243727,0.0001609200365644139,0.0001344767413709597,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.00038561278939321965,0.00034724888493605573,0.00038561278939321965,1.308339455075678e-07,0.0,0.00013679884511463925,0.0008963859988592591,0.00012365352420576066,0.00034724888493605573,1.1559741371532557e-07,0.0,0.000745984187931082,0.0001607418016800466,0.00013502066519703848,0.9799019712330393,0.9908171654765343,60.0,0.7545845675212904,0.32305764311757135,0.7545845675212904,0.32305764311757135,0.9460302721109671,0.9946657873353327,0.32305764311757135,0.9460302721109671,0.9946657873353327,0.32305764311757135,0.9799019712330393,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,0.00038560580588263793,0.0003467815238750299,0.00038560580588263793,1.316916102964302e-07,0.0,0.00013658703655032537,0.0008964978774712874,0.00012373250362630091,0.0003467815238750299,1.154332185393514e-07,0.0,0.0007458272483011205,0.0001602517010599208,0.00013426562226404832,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.00038529829401307724,0.00034671049025056374,0.00038529829401307724,1.306271219819417e-07,0.0,0.000136144480973433,0.0008963936487020076,0.00012335675236379141,0.00034671049025056374,1.1538885225093054e-07,0.0,0.0007459323184932182,0.0001600664173284671,0.00013413273493000587,0.9807449430481414,0.9910866795736095,60.0,0.7714087867781791,0.365908541110764,0.7714087867781791,0.365908541110764,0.9564646772777877,0.9918531419459858,0.365908541110764,0.9564646772777877,0.9918531419459858,0.365908541110764,0.9807449430481414,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,0.0003849852044921006,0.00034668179460630295,0.0003849852044921006,1.3114966346914598e-07,0.0,0.00013623180065420464,0.0008955296185742132,0.00012319419424788416,0.00034668179460630295,1.154036066708386e-07,0.0,0.0007457128843084679,0.00016068182144042894,0.00013365067807001197,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
14,0.0003849047307747538,0.00034639647405661456,0.0003849047307747538,1.316574461477959e-07,0.0,0.00013588613070331784,0.0008957211973599617,0.00012310686426098184,0.00034639647405661456,1.1532502597333405e-07,0.0,0.0007455927831744858,0.00015990687925478286,0.00013368975974057513,0.980094521833087,0.99089234960271,60.0,0.7633079932285808,0.34577679326715605,0.7633079932285808,0.34577679326715605,0.951605304321727,0.992541882096859,0.34577679326715605,0.951605304321727,0.992541882096859,0.34577679326715605,0.980094521833087,1,1,14,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
15,0.00038467431814564616,0.0003461452268290662,0.00038467431814564616,1.309565634495116e-07,0.0,0.00013602180147419753,0.0008949717919223563,0.00012302936104038452,0.0003461452268290662,1.152353590327948e-07,0.0,0.0007456728218126105,0.00015975858787326938,0.00013300427080131864,,,,,,,,,,,,,,,1,1,15,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
