epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4447191364566485,0.395564030294617,0.4619612190922101,0.349199514011542,0.45735737450420855,0.5276005184253056,0.44471913564701876,0.5276005184253056,0.3938261592487494,0.3032105818539858,0.5086150026172399,0.3748665064126253,0.395564030294617,0.5086150026172399,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
2,0.2493367583056291,0.2428547847432395,0.2662688169082006,0.19227657683442037,0.18951714831590652,0.3662165495355924,0.24933675822863977,0.3662165495355924,0.24151956131495536,0.22307964501157404,0.142311459004879,0.3631732502132654,0.2428547847432395,0.3631732502132654,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
3,0.19897769549489022,0.2337399595702688,0.21945012192924818,0.15249450628459454,0.09396560050795476,0.3504729792873065,0.19897769535995194,0.3504729792873065,0.23247403184200327,0.21129094346798957,0.12975448725931346,0.36017444798350334,0.2337399595702688,0.36017444798350334,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
4,0.19400540820757547,0.2320083246494954,0.21460521975159644,0.14845376560588677,0.08743869511783123,0.3461237643162409,0.19400540834665295,0.3461237643162409,0.23072329955672224,0.21719564466644078,0.11880239647999406,0.3600269328020513,0.23200832464949536,0.3600269328020513,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
5,0.19176461187005042,0.23259263942514857,0.21260037993391354,0.14577437215298414,0.085454648707062,0.3440648132165273,0.1917646113588578,0.3440648132165273,0.23124319772422314,0.22152930741757154,0.11818142379447817,0.35806718706339596,0.23259263942514855,0.35806718706339596,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
6,0.18971628589431444,0.23208633810840548,0.2107469465136528,0.1436524807376166,0.08348395043611527,0.34201242687304817,0.18971628601559334,0.34201242687304817,0.23067197473409276,0.21977576060965656,0.11466422242112458,0.36181903129443527,0.23208633810840548,0.36181903129443527,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
7,0.18837810519337655,0.22986964225644865,0.2096262209713459,0.14194629200796285,0.08277547668665647,0.340412545700868,0.18837810479849573,0.340412545700868,0.22841831504181026,0.21486006895266474,0.11580810408107936,0.3589407537356019,0.22986964225644865,0.3589407537356019,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
8,0.1868897629181544,0.22821980064548553,0.20816247368852298,0.14001637918377915,0.08197748361776272,0.3386754262348016,0.1868897630121145,0.3386754262348016,0.22680214971055587,0.21507572048529983,0.1106958330925554,0.3588878483586013,0.22821980064548553,0.3588878483586013,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
9,0.1851356668770313,0.23143082148395477,0.20654750367005667,0.1378560000297924,0.08100157870476445,0.3365494213998318,0.18513566671146287,0.3365494213998318,0.22996385992815097,0.22525022430717945,0.10993318208865821,0.3591090580560267,0.2314308214839548,0.3591090580560267,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
10,0.18319957500696182,0.2302395999232928,0.20460527922709784,0.13615674209098022,0.07945045609027147,0.33399152676264443,0.1831995749812987,0.33399152676264443,0.22858159749085705,0.22395422660186887,0.10581501363962889,0.36094955952838065,0.23023959992329282,0.36094955952838065,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
