epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.932847318649292,1.036312491491437,0.932847318649292,0.0006046998451929539,0.8074282789230347,1.0582663564682007,1.036312491491437,0.0007020247038744856,1.4141161997048628,0.6807684155388011,0.2554961831853263,0.6747157474455163,40.0,0.16101896450151343,0.022722442291025935,0.16101896450151343,0.022722442291025935,0.022722442291025935,0.2993154867120009,0.022722442291025935,0.2993154867120009,0.2554961831853263,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.6217195813655854,0.6729973554089665,0.6217195813655854,0.0004789674546336755,0.3329923484325409,0.9104468145370483,0.6729973554089665,0.0005316296709042945,1.0208680326385158,0.3420784179683006,0.5351463796270187,0.7580839425607705,40.0,0.4018063616970521,0.17742153855035148,0.4018063616970521,0.17742153855035148,0.17742153855035148,0.6261911848437527,0.17742153855035148,0.6261911848437527,0.5351463796270187,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.37156267619132993,0.3540176798906177,0.37156267619132993,0.00029184871684992685,0.22300688022375106,0.5201184741258621,0.3540176798906177,0.0002561356738351606,0.47676998158059425,0.23473023727817077,0.7668397443418902,0.9089117561545391,40.0,0.7326799738090688,0.6808810642346659,0.7326799738090688,0.6808810642346659,0.6808810642346659,0.7844788833834718,0.6808810642346659,0.7844788833834718,0.7668397443418902,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.16434405463933946,0.22035497273039073,0.16434405463933946,0.0001092825494997669,0.09927869129180908,0.22940941804647447,0.22035497273039073,0.00015227971477133905,0.3128574597261225,0.12775155853864456,0.9302303603082054,0.9708570579627372,40.0,0.9087641073262555,0.8723881436468038,0.9087641073262555,0.8723881436468038,0.8723881436468038,0.9451400710057071,0.8723881436468038,0.9451400710057071,0.9302303603082054,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.12995396667718886,0.203740287928842,0.12995396667718886,8.392991300206631e-05,0.0636314898878336,0.19627644270658492,0.203740287928842,0.0001445299631677699,0.2992246062180678,0.10811084932795474,0.9367747372126733,0.9723678493855827,40.0,0.9149027070686115,0.8774472316138293,0.9149027070686115,0.8774472316138293,0.8774472316138293,0.9523581825233938,0.8774472316138293,0.9523581825233938,0.9367747372126733,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.1196790320277214,0.20367711097374558,0.1196790320277214,7.654304547759238e-05,0.05634827752411366,0.1830097862482071,0.20367711097374558,0.00014508999607096485,0.3027761178830313,0.10497801472979879,0.9370562754006404,0.9754324693531401,40.0,0.9156620243845508,0.87907953913021,0.9156620243845508,0.87907953913021,0.87907953913021,0.9522445096388916,0.87907953913021,0.9522445096388916,0.9370562754006404,2D AE mixed-T exclusion,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
