epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_mixed_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.9686888748485791,0.7089938535937108,0.9548214551453528,0.9686888748485791,0.9686888748485791,0.9686888748485791,0.7151493476121686,0.7089938535937108,0.7089938535937108,0.7089938535937108,depablo_mixed_temp,4,normalized_delta,128
2,0.877425873985416,0.7071410086937249,0.8645531458682135,0.877425873985416,0.877425873985416,0.877425873985416,0.7132182771456428,0.7071410086937249,0.7071410086937249,0.7071410086937249,depablo_mixed_temp,4,normalized_delta,128
3,0.8730448777346235,0.7062839238788001,0.8602898137741968,0.8730448777346235,0.8730448777346235,0.8730448777346235,0.7123640828649513,0.7062839238788001,0.7062839238788001,0.7062839238788001,depablo_mixed_temp,4,normalized_delta,128
4,0.8689248882234096,0.70379685156513,0.8562348590869653,0.8689248882234096,0.8689248882234096,0.8689248882234096,0.709942156332545,0.70379685156513,0.70379685156513,0.70379685156513,depablo_mixed_temp,4,normalized_delta,128
5,0.8608861920276755,0.6991224667290226,0.8482516426789133,0.8608861920276755,0.8608861920276755,0.8608861920276755,0.7055591653916053,0.6991224667290226,0.6991224667290226,0.6991224667290226,depablo_mixed_temp,4,normalized_delta,128
6,0.8487184991962031,0.6816516075050458,0.8360827258935101,0.8487184991962031,0.8487184991962031,0.8487184991962031,0.6884875784162432,0.6816516075050458,0.6816516075050458,0.6816516075050458,depablo_mixed_temp,4,normalized_delta,128
7,0.8378936996389377,0.6581019749282859,0.8250518726871202,0.8378936996389377,0.8378936996389377,0.8378936996389377,0.66460147628095,0.6581019749282859,0.6581019749282859,0.6581019749282859,depablo_mixed_temp,4,normalized_delta,128
8,0.8311896296904275,0.6480249157757498,0.8184234877362063,0.8311896296904275,0.8311896296904275,0.8311896296904275,0.654576538130641,0.6480249157757498,0.6480249157757498,0.6480249157757498,depablo_mixed_temp,4,normalized_delta,128
9,0.8288495725118801,0.6537814089679159,0.8159035282111482,0.8288495725118801,0.8288495725118801,0.8288495725118801,0.6601314142753836,0.6537814089679159,0.6537814089679159,0.6537814089679159,depablo_mixed_temp,4,normalized_delta,128
10,0.8249683505414348,0.6437546575034503,0.8122275270717708,0.8249683505414348,0.8249683505414348,0.8249683505414348,0.6502447295933962,0.6437546575034503,0.6437546575034503,0.6437546575034503,depablo_mixed_temp,4,normalized_delta,128
11,0.8213960334658623,0.647624027216807,0.8084863450966383,0.8213960334658623,0.8213960334658623,0.8213960334658623,0.6540301157219801,0.647624027216807,0.647624027216807,0.647624027216807,depablo_mixed_temp,4,normalized_delta,128
12,0.8183341453145994,0.6430657806049567,0.8055028246029428,0.8183341453145994,0.8183341453145994,0.8183341453145994,0.6495076182764024,0.6430657806049567,0.6430657806049567,0.6430657806049567,depablo_mixed_temp,4,normalized_delta,128
13,0.815433871491175,0.6436150415975135,0.8025360971689224,0.815433871491175,0.815433871491175,0.815433871491175,0.6500277364684734,0.6436150415975135,0.6436150415975135,0.6436150415975135,depablo_mixed_temp,4,normalized_delta,128
14,0.8128505539933317,0.6422519785410259,0.799914128725466,0.8128505539933317,0.8128505539933317,0.8128505539933317,0.6486561935744248,0.6422519785410259,0.6422519785410259,0.6422519785410259,depablo_mixed_temp,4,normalized_delta,128
15,0.8104752000421286,0.641208776505664,0.7974904806010032,0.8104752000421286,0.8104752000421286,0.8104752000421286,0.6475962739787064,0.641208776505664,0.641208776505664,0.641208776505664,depablo_mixed_temp,4,normalized_delta,128
16,0.8082475825359947,0.6393740446073934,0.7952356356343157,0.8082475825359947,0.8082475825359947,0.8082475825359947,0.6457481654069852,0.6393740446073934,0.6393740446073934,0.6393740446073934,depablo_mixed_temp,4,normalized_delta,128
17,0.8063049434243064,0.6382383090094663,0.793273927937997,0.8063049434243064,0.8063049434243064,0.8063049434243064,0.6445854986668564,0.6382383090094663,0.6382383090094663,0.6382383090094663,depablo_mixed_temp,4,normalized_delta,128
18,0.8045914737017531,0.6375573991972487,0.7915417355730345,0.8045914737017531,0.8045914737017531,0.8045914737017531,0.6438690795912407,0.6375573991972487,0.6375573991972487,0.6375573991972487,depablo_mixed_temp,4,normalized_delta,128
19,0.8030530616641045,0.6382036057766527,0.7899803123976055,0.8030530616641045,0.8030530616641045,0.8030530616641045,0.6444633478531614,0.6382036057766527,0.6382036057766527,0.6382036057766527,depablo_mixed_temp,4,normalized_delta,128
20,0.8019593872129918,0.6394470705999993,0.7888625188485572,0.8019593872129918,0.8019593872129918,0.8019593872129918,0.6456504813395441,0.6394470705999993,0.6394470705999993,0.6394470705999993,depablo_mixed_temp,4,normalized_delta,128
21,0.8010995807616335,0.6403775393846445,0.7879883491679242,0.8010995807616335,0.8010995807616335,0.8010995807616335,0.646534999657888,0.6403775393846445,0.6403775393846445,0.6403775393846445,depablo_mixed_temp,4,normalized_delta,128
22,0.8000707772609434,0.6392848797258921,0.7869562408641765,0.8000707772609434,0.8000707772609434,0.8000707772609434,0.645419993379619,0.6392848797258921,0.6392848797258921,0.6392848797258921,depablo_mixed_temp,4,normalized_delta,128
23,0.7985787814385013,0.6369380179094151,0.7854555033931606,0.7985787814385013,0.7985787814385013,0.7985787814385013,0.6430591936805286,0.6369380179094151,0.6369380179094151,0.6369380179094151,depablo_mixed_temp,4,normalized_delta,128
24,0.7968398795512162,0.6341626460198313,0.7837089462892005,0.7968398795512162,0.7968398795512162,0.7968398795512162,0.640272552263923,0.6341626460198313,0.6341626460198313,0.6341626460198313,depablo_mixed_temp,4,normalized_delta,128
25,0.7948812926678281,0.6311645800305996,0.7817464963582001,0.7948812926678281,0.7948812926678281,0.7948812926678281,0.6372653967118822,0.6311645800305996,0.6311645800305996,0.6311645800305996,depablo_mixed_temp,4,normalized_delta,128
26,0.7927428253191082,0.6282130217005033,0.7796076570098337,0.7927428253191082,0.7927428253191082,0.7927428253191082,0.6343036725884303,0.6282130217005033,0.6282130217005033,0.6282130217005033,depablo_mixed_temp,4,normalized_delta,128
27,0.7905548970950277,0.6254529060970526,0.7774236776326832,0.7905548970950277,0.7905548970950277,0.7905548970950277,0.6315305217576679,0.6254529060970526,0.6254529060970526,0.6254529060970526,depablo_mixed_temp,4,normalized_delta,128
28,0.7882842869938989,0.6227432157611474,0.7751623230545144,0.7882842869938989,0.7882842869938989,0.7882842869938989,0.6288047024572734,0.6227432157611474,0.6227432157611474,0.6227432157611474,depablo_mixed_temp,4,normalized_delta,128
29,0.7858675071479458,0.6200305591919459,0.7727641101926566,0.7858675071479458,0.7858675071479458,0.7858675071479458,0.626073190884199,0.6200305591919459,0.6200305591919459,0.6200305591919459,depablo_mixed_temp,4,normalized_delta,128
