epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4693148764475624,0.40065200223277014,0.4693148764475624,0.5296552801772714,0.4731536649471913,0.35197100179604063,0.45159331564016775,0.5296552801772714,0.40065200223277014,0.2954994532368839,0.54912190980425,0.35235108409665133,0.39899081571259504,0.54912190980425,2D AE mixed-T exclusion,6,normalized_delta,128
2,0.3185390966082551,0.3107863426347204,0.3185390966082551,0.38351437722069753,0.29825348344169966,0.24316274157690537,0.30831020074643417,0.38351437722069753,0.3107863426347204,0.2647400521871416,0.3243991503050845,0.3455510017511092,0.3115634014144451,0.3455510017511092,2D AE mixed-T exclusion,6,normalized_delta,128
3,0.2502789408444935,0.2254847096682176,0.2502789408444935,0.35186072429691706,0.16685419108182667,0.18535844414936606,0.23469111984270327,0.35186072429691706,0.2254847096682176,0.19752362569140153,0.14230398162709254,0.33270901293052657,0.2241788734163402,0.33270901293052657,2D AE mixed-T exclusion,6,normalized_delta,128
4,0.22033339213467407,0.2240689584336422,0.22033339213467407,0.3424593586322469,0.11096228735577679,0.1453028442668952,0.19957483008497298,0.3424593586322469,0.2240689584336422,0.19788397660855442,0.13829590370633493,0.3321653804055562,0.22278175357348184,0.3321653804055562,2D AE mixed-T exclusion,6,normalized_delta,128
5,0.21709430422865475,0.21958193474974325,0.21709430422865475,0.33962723268708794,0.1068686898632329,0.14170930519713285,0.19606840924915125,0.33962723268708794,0.21958193474974325,0.19533959668169312,0.12970610902595678,0.32964504055531796,0.21823024875432262,0.32964504055531796,2D AE mixed-T exclusion,6,normalized_delta,128
6,0.2145992281646542,0.2208460503016724,0.2145992281646542,0.3366353882883624,0.10459217065399377,0.1396353514434945,0.1936209701286169,0.3366353882883624,0.2208460503016724,0.19403095482452276,0.1349482620159458,0.3292317713843659,0.2194036627416115,0.3292317713843659,2D AE mixed-T exclusion,6,normalized_delta,128
7,0.213134652529686,0.21908794979957852,0.213134652529686,0.3345757937373107,0.10304579863301602,0.13857056681053517,0.1920640530602873,0.3345757937373107,0.21908794979957852,0.19629191224800147,0.12785350791619796,0.32873458777015147,0.21762666931145028,0.32873458777015147,2D AE mixed-T exclusion,6,normalized_delta,128
8,0.2114521373017008,0.2199403992086213,0.2114521373017008,0.3329350525648937,0.10151093099828723,0.13711938721691896,0.19052179026003327,0.3329350525648937,0.2199403992086213,0.1944125341301031,0.1304827361428914,0.33087174190257335,0.21858900405852263,0.33087174190257335,2D AE mixed-T exclusion,6,normalized_delta,128
9,0.20993534782587106,0.21901582675186773,0.20993534782587106,0.3310965330043864,0.09982840684250818,0.13606440177481774,0.18899644720723743,0.3310965330043864,0.21901582675186773,0.1925712663363269,0.13136121900752187,0.3288421039910693,0.217591529778306,0.3288421039910693,2D AE mixed-T exclusion,6,normalized_delta,128
10,0.20852947209963366,0.21790926059764143,0.20852947209963366,0.32918357187435426,0.09886255346364334,0.13487361441490442,0.18763991325096732,0.32918357187435426,0.21790926059764143,0.1921159565062361,0.12703790768588843,0.33024196803422745,0.216465277408784,0.33024196803422745,2D AE mixed-T exclusion,6,normalized_delta,128
11,0.20760161123944854,0.2201721305167963,0.20760161123944854,0.3277390715972145,0.0979071130420265,0.1342969564919494,0.1866477137103968,0.3277390715972145,0.2201721305167963,0.19575703376408746,0.1273915069398323,0.3332747717020347,0.2188077708019848,0.3332747717020347,2D AE mixed-T exclusion,6,normalized_delta,128
12,0.20634822274821266,0.21835027100660356,0.20634822274821266,0.326436368295291,0.09675359593780437,0.1336545768056601,0.1856148470129185,0.326436368295291,0.21835027100660356,0.19261117148995796,0.1260481103078315,0.33224541771372684,0.21696823317050543,0.33224541771372684,2D AE mixed-T exclusion,6,normalized_delta,128
13,0.20530150022165813,0.21807141270792335,0.20530150022165813,0.3249102754263641,0.09573208915688375,0.13259192357388974,0.18441142938571253,0.3249102754263641,0.21807141270792335,0.19375364182942964,0.12320199726688627,0.33338129226804564,0.21677897712145386,0.33338129226804564,2D AE mixed-T exclusion,6,normalized_delta,128
