split,source,frame,condition,start,total,position_mse,normalized_position_mse
train,lj_noisy,10,same_source_same_time_permuted,,3,1.1329171141956824e-07,0.025946500711143017
train,lj_noisy,10,training_source_time_mean,,3,6.643842868451581e-08,0.018699835365017254
train,lj_noisy,10,wrong_time,,3,1.6688756052947912e-05,4.174226681391398
train,lj_noisy,25,encoder,,3,2.7722977809692867e-07,0.13786812126636505
train,lj_noisy,25,optimized_code,encoder,3,2.6198761323333503e-07,0.1352029045422872
train,lj_noisy,25,optimized_code,normal_0,3,2.672616119525628e-06,2.534762144088745
train,lj_noisy,25,optimized_code,normal_1,3,1.178299536756337e-06,1.0264790256818135
train,lj_noisy,25,same_source_same_time_permuted,,3,4.6590604559545074e-07,0.19122037291526794
train,lj_noisy,25,training_source_time_mean,,3,3.063425234965204e-07,0.1499547710021337
train,lj_noisy,25,wrong_time,,3,2.322080096443339e-05,6.057168960571289
train,lj_noisy,50,encoder,,3,1.4228126398544798e-06,0.7737309535344442
train,lj_noisy,50,optimized_code,encoder,3,1.403103662293385e-06,0.7673550446828207
train,lj_noisy,50,optimized_code,normal_0,3,3.3855889493376403e-06,2.668598234653473
train,lj_noisy,50,optimized_code,normal_1,3,3.6461284859493994e-06,2.9072075684865317
train,lj_noisy,50,same_source_same_time_permuted,,3,2.029932223498084e-06,1.015396734078725
train,lj_noisy,50,training_source_time_mean,,3,1.5915666153887287e-06,0.8445437947909037
train,lj_noisy,50,wrong_time,,3,7.281311354745412e-06,2.4650235970815024
train,lj_noisy,75,encoder,,3,3.8061327813920798e-06,2.0606347719828286
train,lj_noisy,75,optimized_code,encoder,3,3.7013706635965113e-06,2.038809577624003
train,lj_noisy,75,optimized_code,normal_0,3,1.1935810410553435e-05,9.6512500445048
train,lj_noisy,75,optimized_code,normal_1,3,1.176709671805535e-05,9.399926821390787
train,lj_noisy,75,same_source_same_time_permuted,,3,4.731729707903772e-06,2.5054107904434204
train,lj_noisy,75,training_source_time_mean,,3,4.139414462163889e-06,2.216872294743856
train,lj_noisy,75,wrong_time,,3,1.7559680297078255e-05,5.934391975402832
train,lj_noisy,100,encoder,,3,7.807071445616506e-06,4.083242416381836
train,lj_noisy,100,optimized_code,encoder,3,7.298576898998969e-06,4.0063557624816895
train,lj_noisy,100,optimized_code,normal_0,3,2.6179376315364305e-05,19.690335273742676
train,lj_noisy,100,optimized_code,normal_1,3,2.5599169627336476e-05,18.93192704518636
