epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.8458499675055584,0.7619639753465013,0.8458499675055584,0.00041063867578793495,0.7071586316488833,0.9845413033023895,0.7619639753465013,0.000370381191811635,0.9565299407020211,0.5818387261629104,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.46861065995980455,0.47569836064823434,0.46861065995980455,0.00017685067482434315,0.21302567368530365,0.7241956462043835,0.47569836064823434,0.00018498951321972238,0.6538812288371846,0.30309601266123354,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.29237934345581446,0.32821672427258547,0.29237934345581446,8.740269440311815e-05,0.121370195594418,0.4633884909880688,0.32821672427258547,0.0001184196285269894,0.4586539540402591,0.19809111131168902,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.2281251319620504,0.2802025346308909,0.2281251319620504,6.361893922959906e-05,0.09460678593401449,0.36164347757117815,0.2802025346308909,9.934823617549772e-05,0.384483922239393,0.1754245755961165,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.1986822675030873,0.2585044251988646,0.1986822675030873,5.4787331194175975e-05,0.08596228953286347,0.31140224719382675,0.2585044251988646,9.156415200791855e-05,0.33996204638388006,0.1762937385244295,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.17760609452384543,0.24112202472756636,0.17760609452384543,4.866861105168586e-05,0.07983036900320685,0.27538181905705766,0.24112202472756636,8.504014047131583e-05,0.31416070035193117,0.16712139381561428,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
7,0.1623580893838262,0.2348143206212677,0.1623580893838262,4.4478933949242755e-05,0.07525196699163761,0.24946421188822232,0.2348143206212677,8.30189792485859e-05,0.3001107876142487,0.16843623758479953,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
8,0.1508376795544203,0.23319163910664026,0.1508376795544203,4.140073046270907e-05,0.07124015660470269,0.23043520292304606,0.23319163910664026,8.182440251745453e-05,0.2974325050613843,0.16770649875234814,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
9,0.140761765400808,0.2334178622555358,0.140761765400808,3.900658631469142e-05,0.06760264799956336,0.21392088268236462,0.2334178622555358,8.320012412337906e-05,0.29347706806240603,0.17210928938165307,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
10,0.13236093977428823,0.2386704425377272,0.13236093977428823,3.714009054752261e-05,0.06452399113002312,0.2001978880220867,0.2386704425377272,8.437865747653582e-05,0.3020296486876905,0.1740432977268938,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
11,0.12468817462045026,0.24072913758093903,0.12468817462045026,3.548046426665707e-05,0.06159314412219697,0.1877832046324709,0.24072913758093903,8.495795030506062e-05,0.3010944257983938,0.17899583960790186,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
12,0.11780503078038435,0.24776168888244016,0.11780503078038435,3.409447246638476e-05,0.05932783914438213,0.17628222295498275,0.24776168888244016,8.799968304309545e-05,0.30623948860540984,0.18789759610779583,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
13,0.1118295198852518,0.2548910182069456,0.1118295198852518,3.2837007527990476e-05,0.057205222524612784,0.16645381762739644,0.2548910182069456,8.968991156291897e-05,0.3201529968455434,0.1883205477213487,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
14,0.10684225738168242,0.25752854190185204,0.10684225738168242,3.182707248296753e-05,0.055202437302913056,0.15848207728840022,0.25752854190185204,8.845991138709778e-05,0.32372410790249706,0.1899437786238268,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
15,0.10182045792121007,0.2774919880204367,0.10182045792121007,3.0769099264644576e-05,0.05344710694289351,0.15019380899677315,0.2774919880204367,9.540491891336303e-05,0.35193968864530323,0.20184358239360153,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
16,0.09767937999832103,0.270508189674422,0.09767937999832103,2.9846360698264244e-05,0.051750849827705135,0.14360790907678356,0.270508189674422,9.179881765449758e-05,0.3319305287580937,0.2075364256966859,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
