epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_mixed_temp_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,2.373527442315528,1.8464949713663705,2.373527442315528,0.24809223219104434,0.0,2.4059159098318593e-06,9.49409829779481,6.084553891513242e-06,2.98099749968335e-06,1.8464949713663705,0.19352237780888876,0.0,7.385960995087945,4.1603072437330985e-06,5.036699474697128e-06,9.693370819114103e-06,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,2.368537360565014,1.8380259459647164,2.368537360565014,0.24307277669077335,0.0,5.566994084883267e-06,9.474118396795973,1.870631208881852e-05,6.772157910126297e-06,1.8380259459647164,0.19260871013005573,0.0,7.352037858375483,1.8863522622964977e-05,1.1469973692163948e-05,3.559198706793004e-05,-1.525808342689916,-0.23324378233301155,80.0,-27.076761447615745,-104.93274235474576,-27.076761447615745,-104.93274235474576,-1.277002341577436,-0.189073449904805,-1.9082276442349833,-104.93274235474576,-1.277002341577436,-0.189073449904805,-1.9082276442349833,-104.93274235474576,-1.525808342689916,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,2.3512724850757163,1.8104482664551793,2.3512724850757163,0.2364283683507339,0.0,4.416919087714776e-05,9.404924176245164,9.554238902182987e-05,2.6052477802069093e-05,1.8104482664551793,0.18963612020015716,0.0,7.241348079391265,0.00020235036620333273,5.410182396614896e-05,0.00018853423928272893,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,2.2991762646485605,1.733097861287581,2.2991762646485605,0.2383843615003254,0.0,0.0004416339329986242,9.195693597406152,0.0004288447372055727,0.0001409825178853658,1.733097861287581,0.18130438427130383,0.0,6.929578992343067,0.0017717763262982387,0.0003128575380809719,0.0007278189428784811,-0.379818500037016,-0.04920592751197433,80.0,-7.1623966663215635,-27.111697542472985,-7.1623966663215635,-27.111697542472985,0.01092197462789768,-0.16686899762281882,-1.3819420998183478,-27.111697542472985,0.01092197462789768,-0.16686899762281882,-1.3819420998183478,-27.111697542472985,-0.379818500037016,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,2.169324038575841,1.563528235940161,2.169324038575841,0.21903472037419028,0.0,0.003347091418501581,8.671862881212054,0.0013247240858350108,0.0007614575869746232,1.563528235940161,0.16295113762219746,0.0,6.23851661076858,0.012780982302189457,0.0014947755778375962,0.001320575112036558,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,1.9572616155912534,1.402186557081006,1.9572616155912534,0.20594826599825983,0.0,0.01783069391950656,7.807738838604643,0.0008838175487848207,0.002593112292078642,1.402186557081006,0.14503032515446346,0.0,5.5565084377628455,0.047802726980449066,0.004196444954249225,0.000238618626480653,0.09240628620645297,0.5164967670668057,80.0,-1.1107180514612736,-3.2920153855498393,-1.1107180514612736,-3.2920153855498393,-0.48674431839113375,0.04039080505522419,-0.7045033069593456,-3.2920153855498393,-0.48674431839113375,0.04039080505522419,-0.7045033069593456,-3.2920153855498393,0.09240628620645297,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,1.8198805356064942,1.3459553983974575,1.8198805356064942,0.1823031937946444,0.0,0.0326060118941636,7.242812953035943,0.00037297889624059524,0.0037301985996293953,1.3459553983974575,0.13860495537519454,0.0,5.337113699635129,0.042977668516351084,0.003481853521231887,0.00024837191711736973,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,1.761872352590797,1.2940828405711589,1.761872352590797,0.17432761419078577,0.0,0.025457406976971755,7.0187932347270285,0.0003459778022554753,0.0028927908569329973,1.2940828405711589,0.1329120874404907,0.0,5.141724646863463,0.031655605300239635,0.0026887686242119007,0.00026234149671986687,-0.012290659264053927,0.5260151969826274,80.0,-3.8718007977492213,-14.517379719192597,-3.8718007977492213,-14.517379719192597,-0.3459976175922641,0.10048188316345652,-0.7243077373754798,-14.517379719192597,-0.3459976175922641,0.10048188316345652,-0.7243077373754798,-14.517379719192597,-0.012290659264053927,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,1.7085585280990976,1.2497376416432602,1.7085585280990976,0.1692186286268027,0.0,0.017350103105680064,6.814325788016676,0.0003381029892126445,0.002220118284821215,1.2497376416432602,0.12800287455320358,0.0,4.96898018273482,0.027314346693023444,0.002353420926857612,0.000302616218339849,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,1.65988565908651,1.2072016762784505,1.65988565908651,0.16454015056724133,0.0,0.015305380374133197,6.6218850587651525,0.0003549233306679019,0.001997273876087699,1.2072016762784505,0.12328843772411346,0.0,4.802203397167798,0.02416566471653105,0.0021376100481024637,0.00030003318137175936,-0.16076878168706354,0.5926337390822313,80.0,-10.413457126378553,-41.21948257986688,-10.413457126378553,-41.21948257986688,-0.40131203777872226,0.13943633219599239,-0.1724702200646071,-41.21948257986688,-0.40131203777872226,0.13943633219599239,-0.1724702200646071,-41.21948257986688,-0.16076878168706354,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
