epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5674326576312173,1.0638842234027244,0.5641442978445018,0.23128520650174814,1.2406417892602,0.38025689836699605,0.41754674315845747,0.5674326593218504,1.2406417892602,1.222533525214365,0.4280678550068569,0.3747592522898917,0.6721858474400204,2.7805239332052087,1.0638842219854945,2.7805239332052087,shared4,2,normalized_delta,128
2,0.39702026384801536,1.2196878849753279,0.395953655321554,0.16561227737088002,1.0582427075796204,0.18247508108222704,0.18175099359574606,0.3970202649071184,1.0582427075796204,1.3915359849043987,0.48532339765620325,0.5543894335450862,0.6653523284632697,3.17368637973612,1.2196878848501698,3.17368637973612,shared4,2,normalized_delta,128
3,0.30040332203175585,1.65013002524734,0.30042418774640023,0.11142953718203982,0.8531761364446152,0.12594087853398675,0.11106673608433289,0.3004033220612437,0.8531761364446152,1.9057658606838332,0.5395519236625419,0.5587193196705679,0.6816806463679306,4.820568205104044,1.650130023701271,4.820568205104044,shared4,2,normalized_delta,128
4,0.2600996241091424,1.8064267663616436,0.2588641149702047,0.08833514667044844,0.7733864903764549,0.08663076117615115,0.09204610067574519,0.2600996247246999,0.7733864903764549,2.0863231894055847,0.6679612987126287,0.5797248192926641,0.6724567508450139,5.305564220008171,1.8064267722146194,5.305564220008171,shared4,2,normalized_delta,128
5,0.23663888203279954,1.9843992254008418,0.23503433372383067,0.0765805418866055,0.7233357967361611,0.06746526227620157,0.07917392746321758,0.23663888209054643,0.7233357967361611,2.305431360783784,0.7250221208061861,0.5716263446588761,0.6699007788430089,5.971047670709286,1.9843992287543393,5.971047670709286,shared4,2,normalized_delta,128
6,0.22052958965458783,1.9620099468193506,0.21909450387734536,0.06738314071380211,0.6896877940695015,0.057765089958355734,0.06728233260380247,0.22052958933636546,0.6896877940695015,2.278992530856679,0.7607318086645348,0.5673702249649485,0.658505837083334,5.861431917889787,1.962009947150651,5.861431917889787,shared4,2,normalized_delta,128
7,0.2092361408126071,2.0548491037410237,0.20799803749552503,0.05854338958446614,0.6689722553721204,0.051337168121951236,0.058091749238110786,0.20923614057916212,0.6689722553721204,2.4098153312215693,0.7483467887424433,0.5731962570265348,0.6634519134938952,6.234401453389481,2.0548491031630887,6.234401453389481,shared4,2,normalized_delta,128
8,0.2013418107517162,1.9857799257685544,0.2002295201010314,0.05272891763401141,0.6540919795514412,0.04676904133705319,0.05177730492913314,0.20134181086290973,0.6540919795514412,2.3268552014950235,0.743256210500426,0.5846893866896158,0.6700263333768242,5.945147794225941,1.9857799311982018,5.945147794225941,shared4,2,normalized_delta,128
9,0.19348532967957469,1.7404562397436663,0.19264697686506135,0.04722972412035852,0.6412918863321672,0.04226878384192103,0.043150925637765895,0.19348532998305315,0.6412918863321672,2.01585058214165,0.6983978046553408,0.6076012951995544,0.6834135593279548,4.972412270755164,1.7404562324845037,4.972412270755164,shared4,2,normalized_delta,128
