epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9550425171852112,1.0153177859187126,0.9550425171852112,0.0001423529878957197,1.1934891362190247,0.7165959033966064,1.0153177859187126,0.000146931486982794,0.6531897445046713,1.3773900503440508,0.28572608815132394,0.6556630095466525,40.0,0.2142344601818743,0.11710525305157404,0.2142344601818743,0.11710525305157404,0.11710525305157404,0.3113636673121746,0.11710525305157404,0.3113636673121746,0.28572608815132394,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.5742555422782898,0.5231633738055825,0.5742555422782898,7.718782569281756e-05,0.6193411269187927,0.5291699563264847,0.5231633738055825,6.353436195058748e-05,0.488497998624567,0.5585384135474525,0.839030898159718,0.9234478231990891,40.0,0.7231667307957816,0.5160814239833349,0.7231667307957816,0.5160814239833349,0.5160814239833349,0.9302520376082285,0.5160814239833349,0.9302520376082285,0.839030898159718,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.37447050344944,0.4125260835029185,0.37447050344944,4.5419124871841633e-05,0.3834478369951248,0.3654931717514992,0.4125260835029185,5.031386306382046e-05,0.3804368359140224,0.44607970904233674,0.8730208037987126,0.9379067158371469,40.0,0.7900617765936477,0.6423725493265234,0.7900617765936477,0.6423725493265234,0.6423725493265234,0.9377510038607721,0.6423725493265234,0.9377510038607721,0.8730208037987126,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.2729818801879883,0.3276524885911494,0.2729818801879883,3.357496480748523e-05,0.3021377964019775,0.24382596343755722,0.3276524885911494,4.112807594788137e-05,0.3066317123797027,0.35274006173546824,0.8728513744807943,0.9383823398123984,40.0,0.7891366898116247,0.6400529893696816,0.7891366898116247,0.6400529893696816,0.6400529893696816,0.9382203902535677,0.6400529893696816,0.9382203902535677,0.8728513744807943,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.22538455951213837,0.30292681717313824,0.22538455951213837,2.81773210153915e-05,0.25645017468929293,0.19431894618272783,0.30292681717313824,3.817026911019639e-05,0.2794850439661079,0.33326612583302434,0.882795728156951,0.9429177084319004,40.0,0.8122170015608066,0.6870252732800055,0.8122170015608066,0.6870252732800055,0.6870252732800055,0.9374087298416077,0.6870252732800055,0.9374087298416077,0.882795728156951,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.2090860686302185,0.2995302956011146,0.2090860686302185,2.6155471365200357e-05,0.2381913105249405,0.1799808265566826,0.2995302956011146,3.739403832196331e-05,0.2688357761307132,0.337855783479643,0.8898261360843064,0.9456120652464245,40.0,0.8273840111444155,0.7169479181520402,0.8273840111444155,0.7169479181520402,0.7169479181520402,0.9378201041367908,0.7169479181520402,0.9378201041367908,0.8898261360843064,06b 4D reconstruction,4,normalized_delta,96,delta,one_step,,final_horizon,1,zero
