epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6804706877328475,0.514741659930101,0.6775699285372581,0.28096480763917864,1.878958050682551,0.3309963756980556,0.23096351363846054,0.6804706869145615,1.878958050682551,0.6011073228869985,0.18312224111125874,0.2730779219345142,0.16719239799990485,1.4355740743899064,0.514741658858896,1.4355740743899064,shared4,2,normalized_delta,128
2,0.5764242560850913,0.5043371239080731,0.5741234323044251,0.18777748007612366,1.7799276500389885,0.1764067474723177,0.1615851498294946,0.5764242568542312,1.7799276500389885,0.5903779976217172,0.1776714138686657,0.2457286643504861,0.1703489794075607,1.4235994356423027,0.5043371233172538,1.4235994356423027,shared4,2,normalized_delta,128
3,0.5639778885960893,0.4955688023520081,0.5608493278004564,0.1772787336427178,1.758290211726619,0.17197881742211005,0.1483637937946653,0.563977889146528,1.758290211726619,0.579447545729607,0.1827573921060256,0.21830499194297395,0.18040079922735575,1.4008120284250132,0.4955688029253421,1.4008120284250132,shared4,2,normalized_delta,128
4,0.5507642509204417,0.4747878758332475,0.5460953540254708,0.1596558633159679,1.7315280442973868,0.1715548138691992,0.14031827979104342,0.5507642503183994,1.7315280442973868,0.5567044682889116,0.1768786210875973,0.1849391591760952,0.17369837106643576,1.3636353531845002,0.47478787612865714,1.3636353531845002,shared4,2,normalized_delta,128
5,0.5202854011886038,0.44954446959401306,0.5159203605161179,0.1274557647769558,1.6431170957934573,0.16910460125409205,0.14146414254656883,0.5202854010927686,1.6431170957934573,0.5323750061597748,0.17164253701893945,0.12021856071802939,0.16171223282254496,1.344604547198111,0.4495444694394062,1.344604547198111,shared4,2,normalized_delta,128
6,0.4696753864867077,0.41918223639839725,0.4641317708275249,0.07579170649571437,1.5055638720775342,0.1636706932809076,0.13367526851456837,0.4696753850921811,1.5055638720775342,0.4957754388157087,0.16946513113738756,0.07897417845844987,0.15905355641493213,1.2692360823804683,0.41918223709780944,1.2692360823804683,shared4,2,normalized_delta,128
7,0.44785402337762487,0.41098203409919626,0.4437028972092908,0.060066040371861654,1.4715524904017083,0.15947080979561112,0.1003267576397055,0.4478540245522217,1.4715524904017083,0.4906780914709031,0.16603620206797312,0.072623214187476,0.1107774166677427,1.2944912998808231,0.41098203320100374,1.2944912998808231,shared4,2,normalized_delta,128
8,0.43845378491526227,0.4019469464779371,0.43466341865094166,0.05748153003645289,1.4558975013626596,0.1556702274485125,0.08476587805140144,0.43845378422475656,1.4558975013626596,0.479549509881749,0.16353541494093157,0.06947576649682118,0.10928984357066188,1.2654867657559663,0.40194694769109524,1.2654867657559663,shared4,2,normalized_delta,128
9,0.4344090128165122,0.39678546315125324,0.4316331148147583,0.05672625426969695,1.4472223392891694,0.1524367904423252,0.0812506710786107,0.43440901376995056,1.4472223392891694,0.4730876296935345,0.16362961558367423,0.07429892821752801,0.10859818975606808,1.2406151218141022,0.39678546384284313,1.2406151218141022,shared4,2,normalized_delta,128
10,0.43196798361700256,0.39533086872030154,0.42921417051223465,0.055814757994757005,1.4425834139764782,0.15028657955867006,0.07918717839452868,0.43196798248110846,1.4425834139764782,0.471890741951852,0.16215678106389733,0.07175563026602443,0.10462260584571498,1.2427884553496547,0.39533086813132284,1.2427884553496547,shared4,2,normalized_delta,128
11,0.4300340145904974,0.3917818651663456,0.4276212747147341,0.055698294308046396,1.4371317630550162,0.14910949469054988,0.07819650978056375,0.43003401545854403,1.4371317630550162,0.4672600132203385,0.1612846309046736,0.06815223402266386,0.10362809307858524,1.2340625083964805,0.39178186660060077,1.2340625083964805,shared4,2,normalized_delta,128
12,0.42850023726281516,0.3902690164126426,0.42568013785618275,0.05542935199770182,1.4322090553891376,0.1485262366901287,0.07783629660713326,0.42850023517102537,1.4322090553891376,0.46572525304532336,0.15902083013722076,0.06974928242268534,0.10435164119797968,1.2279543125111123,0.39026901656724955,1.2279543125111123,shared4,2,normalized_delta,128
13,0.42623855480260775,0.3918211226877959,0.4240047599835257,0.055411737544909315,1.425034211068795,0.14716852258763086,0.07733974976361899,0.42623855524123855,1.425034211068795,0.4680971073597787,0.16043609106846948,0.06906776346280995,0.10287167625170451,1.234908956548442,0.39182112183285644,1.234908956548442,shared4,2,normalized_delta,128
14,0.4254524681058597,0.391751329241534,0.42384837593362323,0.05583968440606443,1.4218478886150119,0.14684080570385763,0.07728149467160174,0.42545246834913397,1.4218478886150119,0.4673540445243417,0.1611524745895575,0.07089721684421417,0.10309879896286213,1.2318568292107035,0.3917513299018343,1.2318568292107035,shared4,2,normalized_delta,128
15,0.42329061286902364,0.3954115207546313,0.4217616063309219,0.05631479336130666,1.4134100832851078,0.14657551635027247,0.07686206436959295,0.42329061434156995,1.4134100832851078,0.4718112290906812,0.16106300189237113,0.06903307455345223,0.10616417650663452,1.2453858335263173,0.3954115216196938,1.2453858335263173,shared4,2,normalized_delta,128
16,0.4222731012900146,0.39290789246794733,0.42072849539858054,0.056446114048794266,1.4093885430795852,0.14644191701132264,0.07681582647800878,0.4222731001544277,1.4093885430795852,0.46858186999210727,0.16381918375376656,0.07275733311583284,0.10420942855004972,1.23084562422023,0.39290789240996976,1.23084562422023,shared4,2,normalized_delta,128
17,0.4209555989047783,0.39588500724244025,0.42100590616857786,0.05611469295848957,1.4050511142194744,0.14666488553375243,0.07599170938733778,0.4209556005247635,1.4050511142194744,0.47089114311066543,0.1599908898190665,0.0744781258843633,0.10911275899192326,1.2399582488852527,0.39588500589515146,1.2399582488852527,shared4,2,normalized_delta,128
18,0.41932075262305607,0.3921603803695897,0.419214572511751,0.056828970187847404,1.3979015597252857,0.14611690598085406,0.07643557402076774,0.4193207524786888,1.3979015597252857,0.4675309651571771,0.16097227493558713,0.07029498633910192,0.10446506455400775,1.232909192857535,0.392160379671558,1.232909192857535,shared4,2,normalized_delta,128
19,0.41815758069932935,0.3952143863726982,0.4182418632397236,0.05630378289723223,1.3943756622972463,0.146111895873317,0.07583897816149965,0.41815757980732376,1.3943756622972463,0.4715874635654947,0.1619831605008233,0.06836390837644164,0.10476227313383177,1.2457482013188803,0.39521438583249424,1.2457482013188803,shared4,2,normalized_delta,128
20,0.4171929553465667,0.391299463602394,0.4171086549955496,0.05650282264895993,1.3907942494431556,0.14579487103467567,0.07567987878779858,0.41719295547864743,1.3907942494431556,0.4664261240085123,0.16152764751535395,0.07152754309487791,0.10268020617735127,1.2294624572686055,0.39129946351404715,1.2294624572686055,shared4,2,normalized_delta,128
