epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7857223649819692,0.9159735590219498,0.7857223649819692,0.00010865412574882309,0.0,0.9159735590219498,0.0001227709053637227,0.0,,,,,,,,,,,1,1,1,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.7731955448786417,0.91191466152668,0.7731955448786417,0.00010680855727211262,0.0,0.91191466152668,0.00012217410221637692,0.0,0.9395505431318677,0.9712104809967401,20.0,0.9395505431318677,0.9395505431318677,0.9395505431318677,0.9395505431318677,0.9395505431318677,0.9395505431318677,0.9395505431318677,1,1,2,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.7688740392525991,0.9068674296140671,0.7688740392525991,0.00010616065022380401,0.0,0.9068674296140671,0.00012142805462644901,0.0,,,,,,,,,,,1,1,3,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.7655203143755595,0.9003470540046692,0.7655203143755595,0.00010564254989731126,0.0,0.9003470540046692,0.00012046181109326426,0.0,0.9399121415731373,0.9712901342374717,20.0,0.9399121415731373,0.9399121415731373,0.9399121415731373,0.9399121415731373,0.9399121415731373,0.9399121415731373,0.9399121415731373,1,1,4,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.7587949434916178,0.8918326944112778,0.7587949434916178,0.00010469794627473068,0.0,0.8918326944112778,0.0001191966475744266,0.0,,,,,,,,,,,1,1,5,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.748693197965622,0.8806820660829544,0.748693197965622,0.00010320642953350519,0.0,0.8806820660829544,0.00011753681974369101,0.0,0.9405570004859093,0.9714373633810623,20.0,0.9405570004859093,0.9405570004859093,0.9405570004859093,0.9405570004859093,0.9405570004859093,0.9405570004859093,0.9405570004859093,1,1,6,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.743970513343811,0.8661569058895111,0.743970513343811,0.00010231163226611291,0.0,0.8661569058895111,0.00011537156206031796,0.0,,,,,,,,,,,1,1,7,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.7238650719324747,0.847305491566658,0.7238650719324747,9.929558412598756e-05,0.0,0.847305491566658,0.00011256257675995585,0.0,0.9416188387279946,0.9717092825314778,20.0,0.9416188387279946,0.9416188387279946,0.9416188387279946,0.9416188387279946,0.9416188387279946,0.9416188387279946,0.9416188387279946,1,1,8,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.7080196837584177,0.8232393711805344,0.7080196837584177,9.685811771002288e-05,0.0,0.8232393711805344,0.00010897548236243892,0.0,,,,,,,,,,,1,1,9,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.6773177782694498,0.7930060625076294,0.6773177782694498,9.222332300851122e-05,0.0,0.7930060625076294,0.00010447614295117091,0.0,0.9431452302226997,0.9721784607632591,20.0,0.9431452302226997,0.9431452302226997,0.9431452302226997,0.9431452302226997,0.9431452302226997,0.9431452302226997,0.9431452302226997,1,1,10,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.6480827033519745,0.7566341310739517,0.6480827033519745,8.794798122835346e-05,0.0,0.7566341310739517,9.90750704659149e-05,0.0,,,,,,,,,,,1,1,11,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.6150719126065572,0.7144121825695038,0.6150719126065572,8.273675969879453e-05,0.0,0.7144121825695038,9.283920189773198e-05,0.0,0.9448082608322863,0.972893755129752,20.0,0.9448082608322863,0.9448082608322863,0.9448082608322863,0.9448082608322863,0.9448082608322863,0.9448082608322863,0.9448082608322863,1,1,12,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.5708950261274973,0.6673961728811264,0.5708950261274973,7.616619041073136e-05,0.0,0.6673961728811264,8.594828068453353e-05,0.0,,,,,,,,,,,1,1,13,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.5302252570788065,0.617011547088623,0.5302252570788065,6.988973351932752e-05,0.0,0.617011547088623,7.86642158345785e-05,0.0,0.9454747672908317,0.9738125692693337,20.0,0.9454747672908317,0.9454747672908317,0.9454747672908317,0.9454747672908317,0.9454747672908317,0.9454747672908317,0.9454747672908317,1,1,14,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.48482420047124225,0.5663174986839294,0.48482420047124225,6.339132111558381e-05,0.0,0.5663174986839294,7.147088217607234e-05,0.0,,,,,,,,,,,1,1,15,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,0.4412299692630768,0.5189562737941742,0.4412299692630768,5.7089816740093134e-05,0.0,0.5189562737941742,6.494017816294217e-05,0.0,0.9433519868127629,0.9747533400096576,20.0,0.9433519868127629,0.9433519868127629,0.9433519868127629,0.9433519868127629,0.9433519868127629,0.9433519868127629,0.9433519868127629,1,1,16,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,0.40782945851484936,0.4777044728398323,0.40782945851484936,5.263702648032146e-05,0.0,0.4777044728398323,5.9478885304997675e-05,0.0,,,,,,,,,,,1,1,17,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,0.3735726128021876,0.4438209980726242,0.3735726128021876,4.8397878344985656e-05,0.0,0.4438209980726242,5.514793338079471e-05,0.0,0.9364433199289964,0.9753151106379776,20.0,0.9364433199289964,0.9364433199289964,0.9364433199289964,0.9364433199289964,0.9364433199289964,0.9364433199289964,0.9364433199289964,1,1,18,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,0.34129418929417926,0.41545890271663666,0.34129418929417926,4.4527299905894324e-05,0.0,0.41545890271663666,5.149237676960183e-05,0.0,,,,,,,,,,,1,1,19,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,0.31882765392462414,0.3898690193891525,0.31882765392462414,4.187021537897332e-05,0.0,0.3898690193891525,4.8003711526689585e-05,0.0,0.9301549350103546,0.9751847177478549,20.0,0.9301549350103546,0.9301549350103546,0.9301549350103546,0.9301549350103546,0.9301549350103546,0.9301549350103546,0.9301549350103546,1,1,20,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
