source,rollout_steps,used_excluded,total_excluded,p_ratio_r2_excluded,p_ratio_mae_excluded,target_variance_excluded,seed,condition_excluded,kind,used_included,total_included,p_ratio_r2_included,p_ratio_mae_included,target_variance_included,condition_included,r2_excluded_minus_included
depablo_mixed_temp,5,20,20,0.1773007747833892,0.3667930348002227,0.2267994575756468,456,exclude_mixed,ae,20,20,0.2328813269161366,0.338788037676143,0.2267994575756468,include_mixed,-0.0555805521327474
depablo_mixed_temp,10,20,20,0.2500450645168974,0.2588473763149191,0.1792210970466572,456,exclude_mixed,ae,20,20,0.3058421082133012,0.2522439957481744,0.1792210970466572,include_mixed,-0.055797043696403814
depablo_mixed_temp,25,20,20,0.4663736856193904,0.2183651324368468,0.1814265265332104,456,exclude_mixed,ae,20,20,0.0403684425069701,0.2769611860734558,0.1814265265332104,include_mixed,0.42600524311242033
depablo_mixed_temp,50,20,20,0.7744905158639082,0.1112003207232157,0.1290510646927359,456,exclude_mixed,ae,20,20,0.5366873744954603,0.1593025621163689,0.1290510646927359,include_mixed,0.23780314136844782
depablo_mixed_temp,75,20,20,0.7233252014407798,0.1322266849691487,0.1721180025747532,456,exclude_mixed,ae,20,20,0.797191267752409,0.1153103716548478,0.1721180025747532,include_mixed,-0.07386606631162917
depablo_mixed_temp,100,20,20,0.6115304926907845,0.1273275600256497,0.1264354805514444,456,exclude_mixed,ae,20,20,0.8516195752969389,0.1092847668119278,0.1264354805514444,include_mixed,-0.24008908260615436
reid,5,20,20,-1.899006529375042,0.215330441158971,0.0215407678341569,456,exclude_mixed,rollout,20,20,-0.6800361882340802,0.1663422892616387,0.0215407678341569,include_mixed,-1.2189703411409618
reid,10,20,20,-1.7283625380799816,0.2245330995630246,0.0283466184553629,456,exclude_mixed,rollout,20,20,-0.5238116765998242,0.1786907265688197,0.0283466184553629,include_mixed,-1.2045508614801574
reid,25,20,20,-0.2038899994114886,0.174130300077266,0.0340742914742546,456,exclude_mixed,rollout,20,20,-0.19209712564232,0.1709794664224481,0.0340742914742546,include_mixed,-0.0117928737691686
reid,50,20,20,0.3259406736522648,0.1299251010457559,0.03674579830514,456,exclude_mixed,rollout,20,20,0.4123039354122944,0.1295109251905891,0.03674579830514,include_mixed,-0.08636326176002956
reid,75,20,20,0.6055358935634811,0.0984418996082628,0.0381454871288846,456,exclude_mixed,rollout,20,20,0.6205142885055468,0.1065972100169593,0.0381454871288846,include_mixed,-0.014978394942065654
reid,100,20,20,0.7975204878518175,0.0684893466878879,0.0392619338029476,456,exclude_mixed,rollout,20,20,0.787200821802928,0.0779041022873208,0.0392619338029476,include_mixed,0.010319666048889453
depablo_low_temp,5,20,20,0.6302563085568207,0.1219834087853998,0.0635535199374179,456,exclude_mixed,rollout,20,20,0.8999333727820789,0.0652457696897333,0.0635535199374179,include_mixed,-0.26967706422525817
depablo_low_temp,10,20,20,0.6682877142457537,0.1419622141140089,0.0890919672458267,456,exclude_mixed,rollout,20,20,0.8741453069849291,0.0937487283816792,0.0890919672458267,include_mixed,-0.20585759273917537
depablo_low_temp,25,20,20,0.7445822028837952,0.1436260343631332,0.1113451632350467,456,exclude_mixed,rollout,20,20,0.8680727806931594,0.1015564778908379,0.1113451632350467,include_mixed,-0.12349057780936423
depablo_low_temp,50,20,20,0.7905195070109399,0.1372211609870995,0.121923909291221,456,exclude_mixed,rollout,20,20,0.9624010719546486,0.0566760640433225,0.121923909291221,include_mixed,-0.17188156494370876
depablo_low_temp,75,20,20,0.851307482945362,0.1207706276833059,0.1271388104990921,456,exclude_mixed,rollout,20,20,0.9624655822067688,0.0558635895341731,0.1271388104990921,include_mixed,-0.11115809926140685
depablo_low_temp,100,20,20,0.909713389543668,0.0957776765007596,0.1309363081666797,456,exclude_mixed,rollout,20,20,0.945680480234492,0.0684397654574189,0.1309363081666797,include_mixed,-0.035967090690824044
lj_noisy,5,20,20,-23.26646174350081,0.1539473164200919,0.0012192600578043,456,exclude_mixed,rollout,20,20,-35.483653215918814,0.1997050628071559,0.0012192600578043,include_mixed,12.217191472418005
