epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.6873298112823969,0.5316447625047134,0.6844116306242024,0.28940711892885707,1.8836097055186067,0.3328289816790017,0.24347344464511858,0.6873298126928961,1.8836097055186067,0.6122441930850975,0.20492476754980124,0.1756663146491343,0.2934365417557978,1.452551417906765,0.5316447604653746,1.452551417906765,shared4,6,normalized_delta,128
2,0.5747276347985683,0.49932482679606427,0.5735279285498848,0.1901473117633514,1.7752389803253565,0.17643468308024168,0.15708957211480606,0.574727636820939,1.7752389803253565,0.5814590140764893,0.176660681172852,0.16373762735368116,0.24231579172399204,1.4145852067018214,0.49932482673808665,1.4145852067018214,shared4,6,normalized_delta,128
3,0.5129350899942318,0.4313243618713537,0.5096435335939038,0.12404444058349548,1.6188235645007962,0.16682712557801785,0.14204523536452832,0.5129350915067095,1.6188235645007962,0.509780186791665,0.16971056866404333,0.16175256517859316,0.08720164113262072,1.3066326764379095,0.4313243628532917,1.3066326764379095,shared4,6,normalized_delta,128
4,0.46094124461462754,0.4129264711037926,0.45560677557947765,0.07193234129403386,1.4834995475010382,0.16147953877348384,0.1268535485751632,0.46094124403592973,1.4834995475010382,0.49077522633928555,0.16834605137703448,0.13485698510889008,0.0712914241131822,1.2772114179115521,0.4129264696276647,1.2772114179115521,shared4,6,normalized_delta,128
5,0.4436796841489294,0.40348985084431915,0.4399523513298236,0.06348431890825483,1.4558517643518372,0.15727097411347568,0.09811168251986711,0.4436796849733587,1.4558517643518372,0.47938100822829444,0.16648104384158674,0.11478271790717548,0.06888317328550128,1.2638124709897363,0.4034898515059999,1.2638124709897363,shared4,6,normalized_delta,128
6,0.4350670072247611,0.401501598918862,0.4328714754226025,0.0617222011035264,1.4402155513263315,0.15423032821286323,0.08409994074185244,0.43506700534614334,1.4402155513263315,0.47673815394578717,0.1689840350778619,0.11170221074841356,0.0711030437879765,1.2542171040071328,0.40150159840534616,1.2542171040071328,shared4,6,normalized_delta,128
7,0.431590592562366,0.3968204435977069,0.42965296079898574,0.060964786007725154,1.4321576238150333,0.15308079303372504,0.0801591625643555,0.4315905913552097,1.4321576238150333,0.47153987494028604,0.16451455405710833,0.10568912310724556,0.07032747414301742,1.2467506232233387,0.39682044363267754,1.2467506232233387,shared4,6,normalized_delta,128
8,0.4293139732214266,0.3983246384873221,0.4279775198224667,0.059889790928851334,1.4256405714398008,0.1525413860815103,0.07918414304961786,0.4293139728749451,1.4256405714398008,0.474392710054816,0.16283479709502147,0.105175242181352,0.07133324026487207,1.2539552648076897,0.3983246360872338,1.2539552648076897,shared4,6,normalized_delta,128
9,0.42703654725193035,0.39786769231788727,0.4255104281971511,0.05916919492278494,1.4190167913257603,0.15172773623706326,0.07823246209034426,0.4270365461439882,1.4190167913257603,0.4737639422473229,0.16613537022335964,0.10336418600068262,0.07189166711886293,1.250079550879746,0.39786769355566276,1.250079550879746,shared4,6,normalized_delta,128
10,0.4256637353145353,0.39656885557259497,0.4247174953014681,0.058951369228731045,1.4145384947904496,0.15128060408172475,0.07788447365361342,0.42566373543862973,1.4145384947904496,0.4711607099462875,0.16282765256248327,0.10501487901721429,0.07237892881359743,1.246053956831868,0.39656885430629074,1.246053956831868,shared4,6,normalized_delta,128
