model,dimension,seed,source,coordinate,n,pearson,spearman,coordinate_std
shared3,2,123,depablo_low_temp,z0,20,-0.04126649628762159,0.03609022556390977,0.3698614282842284
shared3,2,123,depablo_low_temp,z1,20,0.006810955715712989,-0.08872180451127819,0.7461468851001588
shared3,2,123,depablo_low_temp,pc1,20,0.021748522170739328,0.20300751879699244,0.4127070433915716
shared3,2,123,depablo_low_temp,pc2,20,0.018456070979087313,-0.08571428571428572,0.7233294817567191
shared3,2,123,depablo_mixed_temp,z0,20,0.08439187987121502,0.04661654135338346,0.4957470678796972
shared3,2,123,depablo_mixed_temp,z1,20,-0.053129166926435906,-0.09924812030075188,0.7002417238119251
shared3,2,123,depablo_mixed_temp,pc1,20,-0.024116074320327113,0.09473684210526315,0.4304689011376355
shared3,2,123,depablo_mixed_temp,pc2,20,-0.07412830131636892,-0.1819548872180451,0.7421591098557021
shared3,2,123,reid,z0,20,0.4201372926442949,0.19999999999999998,0.2772068683854871
shared3,2,123,reid,z1,20,-0.08915869502370455,-0.14887218045112782,0.48175124603647873
shared3,2,123,reid,pc1,20,-0.1969335904431489,-0.12330827067669171,0.334832949343134
shared3,2,123,reid,pc2,20,-0.23706461528669104,-0.24661654135338343,0.4436381449567973
shared3,2,456,depablo_low_temp,z0,20,0.492876972944461,0.3233082706766917,0.2470574613594653
shared3,2,456,depablo_low_temp,z1,20,-0.02734550035963473,0.03308270676691729,0.6328375375615484
shared3,2,456,depablo_low_temp,pc1,20,0.4245445643347542,0.4421052631578947,0.2562191014540946
shared3,2,456,depablo_low_temp,pc2,20,0.09123030621128342,-0.016541353383458645,0.6291840151806027
shared3,2,456,depablo_mixed_temp,z0,20,0.19355153917472873,0.030075187969924807,0.2147492735304712
shared3,2,456,depablo_mixed_temp,z1,20,0.21316059326514794,0.24360902255639094,0.6432405410558116
shared3,2,456,depablo_mixed_temp,pc1,20,0.3097491193392216,0.24511278195488717,0.2757606141236055
shared3,2,456,depablo_mixed_temp,pc2,20,-0.18566869095249217,-0.2150375939849624,0.6195415583587759
shared3,2,456,reid,z0,20,-0.3681058811867242,-0.306766917293233,0.08351793671274908
shared3,2,456,reid,z1,20,0.42816251595360416,0.39999999999999997,0.40517088616112046
shared3,2,456,reid,pc1,20,0.21466720789758206,0.29323308270676685,0.13803471130735323
shared3,2,456,reid,pc2,20,-0.4453355543724214,-0.4015037593984962,0.38998091836467463
shared3,2,786,depablo_low_temp,z0,20,-0.5060864744631622,-0.5849624060150376,0.1825308781605002
shared3,2,786,depablo_low_temp,z1,20,-0.11233996343173411,0.03609022556390977,0.32363027883024353
shared3,2,786,depablo_low_temp,pc1,20,-0.22770139346087695,-0.3157894736842105,0.27026870967665967
shared3,2,786,depablo_low_temp,pc2,20,0.30551677608610334,0.09022556390977443,0.25496842707838113
shared3,2,786,depablo_mixed_temp,z0,20,-0.6758783937548813,-0.5969924812030075,0.1815748324797158
shared3,2,786,depablo_mixed_temp,z1,20,-0.032420067181050234,0.05714285714285714,0.3270672462727283
shared3,2,786,depablo_mixed_temp,pc1,20,-0.38045629431128414,-0.38796992481203,0.26474296947125464
shared3,2,786,depablo_mixed_temp,pc2,20,0.2682919595701782,0.1789473684210526,0.26429823837121624
shared3,2,786,reid,z0,20,-0.19697989328198376,-0.09624060150375939,0.09169014554057409
shared3,2,786,reid,z1,20,0.3350749730510153,0.27669172932330827,0.2148476871202369
