epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9949109133552102,1.0517562826474507,0.9949109133552102,0.0014766767442993382,1.1076536669450647,1.3460749247494865,0.531004118568757,1.0517562826474507,0.0015849825964930158,0.411841740210851,1.414330820242564,1.3290962775548298,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9787556529045105,1.0324322283267975,0.9787556529045105,0.001454636310775052,1.0946698679643518,1.3140202129588407,0.527576918111128,1.0324322283267975,0.0015574376254032056,0.4067828332384427,1.3974051872889202,1.2931086520353954,0.25529042112923706,0.7424579899821717,60.0,-2.4077131727428154,-6.955568861656707,-2.4077131727428154,-6.955568861656707,-0.10785637702404349,-0.15971427954769624,-6.955568861656707,-0.10785637702404349,-0.15971427954769624,-6.955568861656707,0.25529042112923706,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9552440257633433,1.0000774214665096,0.9552440257633433,0.0014205963542575344,1.07601495700724,1.2730916458017685,0.5166254709748661,1.0000774214665096,0.0015102448620988678,0.39874616513649624,1.3696995476881664,1.2317865590254466,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9142449463115019,0.9476404835780462,0.9142449463115019,0.0013608638101312168,1.0414532317834742,1.1965265484417187,0.5047551007831798,0.9476404835780462,0.0014317068950428318,0.3866511657834053,1.3248103559017181,1.1314599215984344,0.2859084182818632,0.7401909335560964,60.0,-1.8850516977713958,-5.404657654822371,-1.8850516977713958,-5.404657654822371,-0.10019128988750703,-0.15030614860430935,-5.404657654822371,-0.10019128988750703,-0.15030614860430935,-5.404657654822371,0.2859084182818632,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8499694782144883,0.8677416692177454,0.8499694782144883,0.0012657360365504727,0.990553336984971,1.0688829457058626,0.49047212390338674,0.8677416692177454,0.0013092025086128463,0.36886413643757504,1.2557166516780853,0.9786441574494044,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.7531647261451272,0.7597989787658056,0.7531647261451272,0.0011216467040974427,0.910862196894253,0.8875166353057412,0.4611153409761541,0.7597989787658056,0.0011407799999384831,0.3447842076420784,1.1568798124790192,0.7777329087257385,0.3776980184885993,0.7303976710445349,60.0,-0.5675338980863018,-1.551485367090827,-0.5675338980863018,-1.551485367090827,-0.05449731824108306,-0.09661900892699538,-1.551485367090827,-0.05449731824108306,-0.09661900892699538,-1.551485367090827,0.3776980184885993,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.6392131973715389,0.6447879622379938,0.6392131973715389,0.0009487441343748394,0.7971590722308439,0.6869974066229427,0.4334831097546746,0.6447879622379938,0.0009594770963303745,0.31551235914230347,1.0338208973407745,0.5850306202967962,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.532165560652228,0.5472020109494528,0.532165560652228,0.000789590340847259,0.6749941601472742,0.5229738477398368,0.39852867056341734,0.5472020109494528,0.0008091546430174882,0.2847059592604637,0.9116403808196386,0.4452596853176753,0.48483435159057287,0.7334402330025999,60.0,-0.07395828330431091,-0.3788743692950869,-0.07395828330431091,-0.3788743692950869,0.08065214902523599,0.07634737035691819,-0.3788743692950869,0.08065214902523599,0.07634737035691819,-0.3788743692950869,0.48483435159057287,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.4464868955752429,0.4656429688135783,0.4464868955752429,0.0006685005946030073,0.5748043551164514,0.40124713322695565,0.3634092053946327,0.4656429688135783,0.0006908468397644659,0.2573479066292445,0.8129135916630427,0.3266674056649208,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.37856054306030273,0.39246926705042523,0.37856054306030273,0.000576708561686032,0.5032216906547546,0.3024358670501148,0.33002406008103313,0.39246926705042523,0.0005903573813460147,0.23570874581734338,0.7109308689832687,0.23076820373535156,0.5642312440627619,0.7583446789719732,60.0,-0.019701444733700724,-0.49367874895253205,-0.019701444733700724,-0.49367874895253205,0.19414573671720736,0.24042867803422252,-0.49367874895253205,0.19414573671720736,0.24042867803422252,-0.49367874895253205,0.5642312440627619,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
11,0.3230551849393284,0.33082139988740283,0.3230551849393284,0.000500107033397345,0.43566996560377236,0.2313497864148196,0.3021457975401598,0.33082139988740283,0.0005038979385669032,0.21660944198568663,0.6040686393777529,0.17178612078229585,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
12,0.2803812035742928,0.2832657570640246,0.2803812035742928,0.0004367179576280143,0.3693032229647917,0.19703169167041779,0.27480871098883014,0.2832657570640246,0.00043300371908117086,0.19826571146647134,0.5064074272910754,0.1451241330554088,0.6018130196827467,0.7788299443563076,60.0,-0.03192087399298993,-0.6543844895156408,-0.03192087399298993,-0.6543844895156408,0.23122231906994506,0.3273995484667259,-0.6543844895156408,0.23122231906994506,0.3273995484667259,-0.6543844895156408,0.6018130196827467,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
13,0.24898408090367036,0.2480777824918429,0.24898408090367036,0.00038630640312262317,0.30813829513157115,0.18763415471595876,0.251179774017895,0.2480777824918429,0.00037765348921918,0.1828515666226546,0.42366192986567813,0.1377198634048303,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
14,0.22444330594118903,0.22110536197821298,0.22444330594118903,0.0003448484263465028,0.258231578504338,0.18492629072245428,0.23017205823870265,0.22110536197821298,0.0003341024712426588,0.1711137816309929,0.3568936288356781,0.13530867484708628,0.6501647444802732,0.8092344426008982,60.0,0.006321382575578534,-0.6751569235376031,0.006321382575578534,-0.6751569235376031,0.2552799259036559,0.43884114536068286,-0.6751569235376031,0.2552799259036559,0.43884114536068286,-0.6751569235376031,0.6501647444802732,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
