epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9962844988879036,1.1271572311719258,0.9962844988879036,0.001691206865122213,1.1705142119351555,1.2796564663157743,0.5386828534743365,1.1271572311719258,0.0019232402749670048,1.1642584602038066,0.4544704680641492,1.7627428074677784,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9852030557744643,1.11156564950943,0.9852030557744643,0.0016716797151328886,1.1617695023031795,1.2589406195808859,0.5348990191431606,1.11156564950943,0.001894439405684049,1.1369481980800629,0.44979870816071826,1.7479500671227772,0.3532806279504622,0.7505893986562215,60.0,-1.2324681794103327,-3.5120565858029513,-1.2324681794103327,-3.5120565858029513,-0.13197701552770136,-0.05337093690034522,-3.5120565858029513,-0.13197701552770136,-0.05337093690034522,-3.5120565858029513,0.3532806279504622,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9630449484376347,1.081739827990532,0.9630449484376347,0.0016315688159974182,1.1501282453536987,1.2134338406955494,0.525572797831367,1.081739827990532,0.001836206055789565,1.0804848670959473,0.4418163349231084,1.722918301820755,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9249331425218021,1.0291649997234344,0.9249331425218021,0.001554828794563518,1.1222117192604963,1.1343453982297111,0.5182422942974988,1.0291649997234344,0.0017292020687212546,0.9772310306628545,0.4289740224679311,1.6812899708747864,0.38418696006120345,0.7448912460271495,60.0,-0.8337504895785969,-2.367281784302438,-0.8337504895785969,-2.367281784302438,-0.09984304839236158,-0.03412663604099109,-2.367281784302438,-0.09984304839236158,-0.03412663604099109,-2.367281784302438,0.38418696006120345,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8596357773332035,0.9557041029135386,0.8596357773332035,0.0014244406963424647,1.0767280739896439,1.0006602967486662,0.5015189717797672,0.9557041029135386,0.0015749704907648265,0.8382401615381241,0.4102267225583394,1.6186454395453136,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.7836576034041012,0.8793110152085623,0.7836576034041012,0.0012657224638935398,1.0109952688217163,0.8563824681674733,0.48359505218618054,0.8793110152085623,0.0014114602042051654,0.721912274758021,0.3843602438767751,1.531660536924998,0.4543181079911429,0.7270060225316355,60.0,-0.08579468581630396,-0.27454267882344774,-0.08579468581630396,-0.27454267882344774,-0.006836049837488201,0.023994671212024032,-0.27454267882344774,-0.006836049837488201,0.023994671212024032,-0.27454267882344774,0.4543181079911429,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.7113417702562669,0.8075113693873087,0.7113417702562669,0.001117325504310429,0.9223704653627732,0.7563997366849113,0.45525509294341593,0.8075113693873087,0.0012692243908531964,0.6595862756172816,0.34828391671180725,1.4146639207998912,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.6468500950757194,0.7354390174150467,0.6468500950757194,0.000999312152784756,0.8237328143680797,0.6968562708181494,0.41996117549784046,0.7354390174150467,0.0011463625608788182,0.5981077402830124,0.3082608754436175,1.2999484340349834,0.5007217479321587,0.7193973545371332,60.0,-0.2603198137105475,-1.0742901183288875,-0.2603198137105475,-1.0742901183288875,0.17979996571247703,0.1135307114847679,-1.0742901183288875,0.17979996571247703,0.1135307114847679,-1.0742901183288875,0.5007217479321587,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.5880771524765912,0.6715016514062881,0.5880771524765912,0.0009083738550543785,0.7523155177340788,0.6267493717810687,0.3851665661615484,0.6715016514062881,0.001052884224918671,0.52299581716458,0.2757678342362245,1.2157412668069203,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.5271815990700441,0.5980084637800852,0.5271815990700441,0.0008271452012088369,0.6956131773836473,0.5347736092174754,0.3511579983374652,0.5980084637800852,0.0009568568833249932,0.42709541072448093,0.24895386149485907,1.1179761091868083,0.5270821051549817,0.7295216840316561,60.0,-0.17923002813856934,-0.9537009656608646,-0.17923002813856934,-0.9537009656608646,0.2702690674035313,0.14574181384162532,-0.9537009656608646,0.2702690674035313,0.14574181384162532,-0.9537009656608646,0.5270821051549817,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
11,0.4594673952635597,0.5179086526234945,0.4594673952635597,0.0007401631823193063,0.6348114048733431,0.42725119695943947,0.316339571686352,0.5179086526234945,0.0008543025566420207,0.32289493829011917,0.2228760284682115,1.0079549898703892,,,,,,,,,,,,,,,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
12,0.38817275271696206,0.43668528894583386,0.38817275271696206,0.0006493125727181049,0.5700970397276037,0.317114218192942,0.2773069879587959,0.43668528894583386,0.0007505457955024516,0.22191049655278525,0.19261055067181587,0.8955348233381907,0.5492025407178139,0.744346125649872,60.0,-0.15722953929972158,-0.9767815365483916,-0.15722953929972158,-0.9767815365483916,0.31918429428059847,0.18590862436862843,-0.9767815365483916,0.31918429428059847,0.18590862436862843,-0.9767815365483916,0.5492025407178139,shared4,2,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
