epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
11,0.0003856546213561766,0.0003470079767975084,0.0003856546213561766,1.3105678759222215e-07,0.0,0.00013659493463425757,0.0008964994615680772,0.00012386946786619503,0.0003470079767975084,1.1091412114675829e-07,0.0,0.0007463013814124584,0.0001341625921132187,0.0001605599568668481,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.00038524850048811025,0.00034682982636893123,0.00038524850048811025,1.3106534921422174e-07,0.0,0.00013619737607614338,0.0008960689889977303,0.00012347913639045697,0.00034682982636893123,1.1090904668738706e-07,0.0,0.0007462061850229044,0.0001336454825134955,0.00016063781157039388,0.9799378407140245,0.9908394281740684,60.0,0.7633105130071911,0.34521052656095963,0.7633105130071911,0.34521052656095963,0.952937354177023,0.9917836582835906,0.34521052656095963,0.952937354177023,0.9917836582835906,0.34521052656095963,0.9799378407140245,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,0.00038508976542741934,0.0003466344198427388,0.00038508976542741934,1.315762478317511e-07,0.0,0.00013604301022717048,0.0008957527172726275,0.00012347356878246018,0.0003466344198427388,1.108007049073952e-07,0.0,0.0007462268042376769,0.00013289150712433927,0.0001607849481662003,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
14,0.00038512864310042517,0.0003466465489869532,0.00038512864310042517,1.3106438454796637e-07,0.0,0.0001359445943299819,0.0008961057216926225,0.0001233356132786711,0.0003466465489869532,1.1080233205026009e-07,0.0,0.0007464725329186338,0.00013280869788106107,0.0001606584161611648,0.9794369085716663,0.9911026330697091,60.0,0.7719638673241312,0.3715379801373646,0.7719638673241312,0.3715379801373646,0.9556808922217176,0.9886727296133115,0.3715379801373646,0.9556808922217176,0.9886727296133115,0.3715379801373646,0.9794369085716663,1,1,14,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
15,0.00038549789033934587,0.00034663227873447033,0.00038549789033934587,1.318221558054735e-07,0.0,0.00013575847421216187,0.0008976651982132167,0.00012306999859265888,0.00034663227873447033,1.10845702394613e-07,0.0,0.0007462377115627598,0.00013380130108880682,0.00015985782355184446,,,,,,,,,,,,,,,1,1,15,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
16,0.000384594957898938,0.00034679379823641834,0.000384594957898938,1.3023747037684243e-07,0.0,0.00013564461019998083,0.0008949760831648602,0.00012316418033197295,0.00034679379823641834,1.1090670189635905e-07,0.0,0.0007458977394292644,0.0001339089751290825,0.0001605746801509081,0.9774832306983867,0.9904772941318116,60.0,0.7495174680802031,0.31617334126717267,0.7495174680802031,0.31617334126717267,0.9421700335514516,0.9902090294219852,0.31617334126717267,0.9421700335514516,0.9902090294219852,0.31617334126717267,0.9774832306983867,1,1,16,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
17,0.00038424550098483724,0.00034606920991910083,0.00038424550098483724,1.3060571583711114e-07,0.0,0.0001354069330622515,0.0008944443976778622,0.000122885172214398,0.00034606920991910083,1.1060415872066187e-07,0.0,0.0007457276957160873,0.00013320830089361677,0.00015927163314759845,,,,,,,,,,,,,,,1,1,17,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
18,0.00038382982726071466,0.00034588012968612747,0.00038382982726071466,1.3015025794348892e-07,0.0,0.00013510770429214764,0.000893867722925249,0.00012251405456474752,0.00034588012968612747,1.1053793791404587e-07,0.0,0.0007456487918787053,0.00013247063763042446,0.00015952095954925257,0.9788228009832447,0.990864742346986,60.0,0.765003393841447,0.3520196632148139,0.765003393841447,0.3520196632148139,0.9547406023735542,0.9882499159359727,0.3520196632148139,0.9547406023735542,0.9882499159359727,0.3520196632148139,0.9788228009832447,1,1,18,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
19,0.0003838355201215412,0.0003458680471844114,0.0003838355201215412,1.3072942801486802e-07,0.0,0.00013523022898816474,0.0008935142618004752,0.00012276206957598365,0.0003458680471844114,1.1048089850381378e-07,0.0,0.000745736079295272,0.00013293822997121352,0.0001589298322867487,,,,,,,,,,,,,,,1,1,19,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
20,0.0003835316047579124,0.00034563497259599267,0.0003835316047579124,1.3049500700938497e-07,0.0,0.00013493145111825918,0.0008933063756732632,0.00012235698748221487,0.00034563497259599267,1.1042515050500394e-07,0.0,0.0007455054902794999,0.0001322936220648598,0.0001591058054436183,0.9780854483016738,0.9907689302825048,60.0,0.7594587043872293,0.337711908665292,0.7594587043872293,0.337711908665292,0.9531553021633816,0.9875089023330142,0.337711908665292,0.9531553021633816,0.9875089023330142,0.337711908665292,0.9780854483016738,1,1,20,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
