variant,seed,completed
dimension6,3456456,True
dimension6,123,True
dimension6,456,True
dimension6,786,True
dimension6,2026,True
dimension8,3456456,True
dimension8,123,True
dimension8,456,True
dimension8,786,True
dimension8,2026,True
