variant,source,seeds,position_mse,position_mse_sd,r2,r2_sd,valid,total
dimension4,depablo_low_temp,5,3.1577005668737005e-06,3.003758072641954e-07,0.9667395268805749,0.011356189927188202,20,20
dimension4,depablo_mixed_temp,5,4.6499458170501386e-05,5.560386617317746e-06,0.8503285779103245,0.07569023605224845,20,20
dimension4,lj_noisy,5,8.49364167152089e-06,1.6103017449774446e-07,0.09164970959278504,0.2353154312465522,20,20
dimension4,reid,5,7.079289151761259e-06,3.120421661235381e-07,0.9409907840419057,0.021340572530875044,20,20
dimension6,depablo_low_temp,5,3.49203527264308e-06,4.1116364483285485e-07,0.9493646955608804,0.017249159963499332,20,20
dimension6,depablo_mixed_temp,5,5.5468140218391875e-05,2.9751464382076687e-05,0.40870742320806475,0.3676969193201602,20,20
dimension6,lj_noisy,5,8.949229168138119e-06,5.267209289821286e-07,-0.08856476442507032,0.391250677246045,20,20
dimension6,reid,5,9.056258666078065e-06,3.2391068140409625e-06,0.7432324340507013,0.28886726280609604,20,20
dimension8,depablo_low_temp,5,3.620096206873313e-06,4.3881692931772935e-07,0.9432918074156385,0.04123729072333891,20,20
dimension8,depablo_mixed_temp,5,4.85982123609574e-05,1.1149056699696412e-05,0.457005746635567,0.3737056660705622,20,20
dimension8,lj_noisy,5,8.89921188900189e-06,2.2399436650037065e-07,-0.17045197843999343,0.6203256331920792,20,20
dimension8,reid,5,7.693835553368444e-06,1.0162805259684686e-06,0.9154732820717493,0.08346096411434725,20,20
equal_source,depablo_low_temp,5,3.465847725863114e-06,5.598821023181248e-07,0.9500651340499575,0.040030997108820826,20,20
equal_source,depablo_mixed_temp,5,4.904358163344113e-05,1.7799213350007525e-05,0.6819797846043334,0.1449553989691672,20,20
equal_source,lj_noisy,5,8.73436389156268e-06,3.505023351219572e-07,-0.2021067014667537,1.4352004112771952,20,20
equal_source,reid,5,7.543325655774424e-06,9.527317427871458e-07,0.88432186571511,0.13045887194318453,20,20
