epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5582674480843962,0.4694942304178288,0.5667268450845752,0.6102144098512723,0.6438016867428495,0.422143941307277,0.5587200126337996,0.6438016867428495,0.48125613347480173,0.6985202275608715,0.3136720608723791,0.3962903997223628,0.46949422938520446,0.6985202275608715,shared_no_mixed,2,normalized_delta,128
2,0.36265797599365834,0.38144376779857436,0.3697176664544825,0.42474265860944566,0.385646979432357,0.27820429192823276,0.3628646433233451,0.42474265860944566,0.37246706242624084,0.42531560667251284,0.3052070026727099,0.41380869275645205,0.3814437673672249,0.42531560667251284,shared_no_mixed,2,normalized_delta,128
3,0.2791506300892746,0.26884962500710236,0.26911421334534363,0.2367235780234488,0.3766103826332511,0.22355675181014495,0.27896357082228157,0.3766103826332511,0.2507316719544561,0.17761551090761235,0.23925554122971862,0.38967782329571876,0.2688496251443499,0.38967782329571876,shared_no_mixed,2,normalized_delta,128
4,0.21202485595355955,0.24587578287250117,0.19820702088375886,0.12796216780765796,0.34890048650926664,0.15960154788274514,0.21215473406655658,0.34890048650926664,0.22894352870552162,0.14962740556189888,0.21749766814081292,0.3705022762088399,0.2458757833038506,0.3705022762088399,shared_no_mixed,2,normalized_delta,128
5,0.20107144336951407,0.24239217858565482,0.1880937609756202,0.12078801612697647,0.333778607479313,0.14831495751022247,0.2009605270388373,0.333778607479313,0.225496614410689,0.1491582507757764,0.21323168652230187,0.36478659996860907,0.2423921790888958,0.36478659996860907,shared_no_mixed,2,normalized_delta,128
6,0.19764000023143333,0.23730818405747414,0.18456863857675018,0.11837194090656622,0.32793785592443064,0.14498168467952494,0.19709716050350726,0.32793785592443064,0.2210812863942824,0.14518242480331345,0.20728513429823675,0.35945699344340126,0.23730818418165048,0.35945699344340126,shared_no_mixed,2,normalized_delta,128
7,0.193024161092022,0.24125780235779912,0.18037027656509166,0.11650327913804163,0.3207215835389338,0.14213501845012633,0.1931199603757006,0.3207215835389338,0.2237680590466449,0.14980870985278957,0.20719168746941968,0.3667730102413579,0.24125780252118903,0.3667730102413579,shared_no_mixed,2,normalized_delta,128
8,0.19051077696576454,0.23603807930883608,0.17770712564519622,0.1137678241160449,0.3176556041889023,0.14040771794685147,0.19061038208393288,0.3176556041889023,0.21831967164027063,0.13934061161585545,0.2092043905666,0.35956923600874446,0.23603807939706664,0.35956923600874446,shared_no_mixed,2,normalized_delta,128
9,0.19018102667310782,0.2323351533397248,0.1775296083929246,0.11227426411662723,0.31772339568849195,0.13953509230101319,0.18984425070204414,0.31772339568849195,0.21566252335906028,0.13966002181956644,0.20224428365105077,0.3551011534897905,0.2323351529868026,0.3551011534897905,shared_no_mixed,2,normalized_delta,128
10,0.18671677378578144,0.2336640820299324,0.17416651987454349,0.11037886189624772,0.31237672386168125,0.13773004732241756,0.1868285443601155,0.31237672386168125,0.21565809481238063,0.13638884315365238,0.20141501171808493,0.36318839251210816,0.2336640824612818,0.36318839251210816,shared_no_mixed,2,normalized_delta,128
