epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.4860039880752796,0.4851342070417249,0.4860039880752796,3.7752716881888255,0.0,0.002958399262785282,1.9316371546437343,0.006274179964952275,0.003146218429646703,0.4851342070417249,2.857139757701329,0.0,0.0022196856912428714,1.9298244639215145,0.0035706010517287724,0.004922077502413396,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.48494560289719346,0.4846925095210529,0.48494560289719346,3.7710616020929244,0.0,0.002074611943977068,1.9300553078114084,0.005489105782803425,0.00216338605058478,0.4846925095210529,2.848067045211792,0.0,0.0026990859319084848,1.9272755142470652,0.0034635816631345567,0.005331856242103392,0.21443999748411413,0.616161068151332,80.0,0.07030346751382235,-1.8173581492385296,0.07030346751382235,-1.8173581492385296,0.9223778925141697,0.984875298377409,-1.8173581492385296,0.19131882840224035,0.9223778925141697,0.984875298377409,-1.8173581492385296,0.19131882840224035,0.21443999748411413,1,8,2,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.48448257368942144,0.484641030178133,0.48448257368942144,3.7337906530925205,0.0,0.002553506356365219,1.9271693981055058,0.00579582882150355,0.002411561474310943,0.484641030178133,2.8280546835490634,0.0,0.004441351565688737,1.9223334280435334,0.004519299419832185,0.007270041683477757,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.4837940814657118,0.4830373128703968,0.4837940814657118,3.7440610840207054,0.0,0.004117972444464613,1.921022126112472,0.0068502827003543865,0.003185944605556043,0.4830373128703968,2.7925130469458446,0.0,0.005979655891980491,1.9141608648510142,0.004955891085373051,0.007052839653219549,0.2605042032464163,0.6271029263614094,80.0,0.03710055494033582,-1.5930457410595338,0.03710055494033582,-1.5930457410595338,0.8684108310402411,0.9594200454269866,-1.5930457410595338,-0.0863829156463507,0.8684108310402411,0.9594200454269866,-1.5930457410595338,-0.0863829156463507,0.2605042032464163,1,8,4,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.4822488684833421,0.4809405439868633,0.4822488684833421,3.6660790670485723,0.0,0.006401587568177891,1.9105845916564717,0.007874611601041717,0.004134683107676982,0.4809405439868633,2.726181694439479,0.0,0.010257304916579167,1.899096694910391,0.007019752198458594,0.007388423922024726,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.4790603779084208,0.477097508457936,0.4790603779084208,3.5889893032255626,0.0,0.011576962403882769,1.889059644948804,0.009300525723190758,0.0063043785578057315,0.477097508457936,2.5789112533841814,0.0,0.018417421464488888,1.8698528676547788,0.010918855061843466,0.00920088965063273,0.21592001481198975,0.6312829862321172,80.0,0.029454681940633443,-1.7196006073896632,0.029454681940633443,-1.7196006073896632,0.8042764651616374,0.9349268352633875,-1.7196006073896632,0.09821603472717211,0.8042764651616374,0.9349268352633875,-1.7196006073896632,0.09821603472717211,0.21592001481198975,1,8,6,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.4740841605115751,0.4732105366182896,0.4740841605115751,3.369162990933373,0.0,0.022089917113629724,1.850061082930276,0.013859455961700764,0.01032618604069395,0.4732105366182896,2.3716599345207214,0.0,0.033289699021613404,1.8210626296699046,0.01850516376301915,0.019984654018621355,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.46745988960232726,0.4677595656927203,0.46745988960232726,3.108412016005743,0.0,0.035522891568060995,1.7989565027595469,0.02014899304708086,0.015211171034620333,0.4677595656927203,2.1021912353379384,0.0,0.05830007979600189,1.7646716981787574,0.03034096550198187,0.017725519294140214,0.4033495564960883,0.6779161484193058,80.0,0.09809802005527907,-0.9979798139255296,0.09809802005527907,-0.9979798139255296,0.7151446903083882,0.9458810961165554,-0.9979798139255296,-0.2706538922782977,0.7151446903083882,0.9458810961165554,-0.9979798139255296,-0.2706538922782977,0.4033495564960883,1,8,8,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.45971822106182814,0.46381464115613247,0.45971822106182814,2.771047450247265,0.0,0.05366139127298525,1.736271900232091,0.028604802525147865,0.020334790217088304,0.46381464115613247,1.8125419616699219,0.0,0.07645658956602842,1.7109565660188144,0.038132465799125465,0.029712943240561302,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.45227737644781363,0.4638776459358941,0.45227737644781363,2.483714608919053,0.0,0.06734161908651996,1.6811596987035238,0.03544018090578902,0.02516800709542181,0.4638776459358941,1.5562323927879333,0.0,0.10167737905338237,1.664466133442792,0.049992679314639396,0.039374391932762424,0.2974990606622836,0.6345107880479073,80.0,0.046657579630377366,-1.3806637064569571,0.046657579630377366,-1.3806637064569571,0.7230655683513083,0.9293411813016561,-1.3806637064569571,-0.08511272467449782,0.7230655683513083,0.9293411813016561,-1.3806637064569571,-0.08511272467449782,0.2974990606622836,1,8,10,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
