epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4376092475853847,0.3786333264214984,0.4376092475853847,0.48929249151191323,0.44642931524644314,0.3303747217023669,0.4220321761535744,0.48929249151191323,0.3786333264214984,0.29412994757690963,0.48282835916861105,0.35550002908628237,0.37748611194393433,0.48282835916861105,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.25123782907190795,0.23410348217944277,0.25123782907190795,0.3548843692690399,0.16616397496266538,0.1814848098136339,0.23417771801511308,0.3548843692690399,0.23410348217944277,0.20957983166296432,0.154454669650448,0.3344998244196177,0.23284477524434333,0.3344998244196177,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.21634969270091708,0.22341799291621905,0.21634969270091708,0.3358861437434625,0.10839155608817909,0.1449679407435031,0.19641521352504823,0.3358861437434625,0.22341799291621905,0.1930521457366883,0.14089370504217713,0.33252482952697104,0.2221568934352788,0.33252482952697104,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.21354863595475523,0.22216631279530083,0.21354863595475523,0.3327753342436643,0.10641947811135284,0.14215295274657583,0.19378258836719767,0.3327753342436643,0.22216631279530083,0.19532267309408238,0.13824039636498414,0.3293660949989173,0.22097638815266127,0.3293660949989173,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.2118413447936729,0.21953082061042442,0.2118413447936729,0.3310033404011921,0.10471676504255982,0.14035405598077957,0.19202472047484384,0.3310033404011921,0.21953082061042442,0.192843220776264,0.13270075205272358,0.32926668383328145,0.21827021888742304,0.32926668383328145,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.21072124288835914,0.22047487576739824,0.21072124288835914,0.32948926582164917,0.10437424194570598,0.13966157188602651,0.19117502655112725,0.32948926582164917,0.22047487576739824,0.19470278188546605,0.13470417357687103,0.3286093513775421,0.2193387689466264,0.3286093513775421,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.2094959243338019,0.2233696103811013,0.2094959243338019,0.32811738413032376,0.10331997664092807,0.13801061591467625,0.18981599222864268,0.32811738413032376,0.2233696103811013,0.20199759742938617,0.1341587682279121,0.3306883085102431,0.22228155805584712,0.3306883085102431,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.20785367482244227,0.22237000919478872,0.20785367482244227,0.3262031474953011,0.10172915486966261,0.13678854868166665,0.18824028368221013,0.3262031474953011,0.22237000919478872,0.1990938245348553,0.13288369151322466,0.3321049941188999,0.22136083672232662,0.3321049941188999,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.20699198972797733,0.2205395801574923,0.20699198972797733,0.3246959504898022,0.10139710804510392,0.1361523406269098,0.18741513305393864,0.3246959504898022,0.2205395801574923,0.194582070417187,0.13153200318399622,0.3320552605988556,0.21938977806667959,0.3320552605988556,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.20585159830365257,0.22696400439971068,0.20585159830365257,0.322892254387189,0.1008561519181379,0.13528418248158683,0.18634419626230458,0.322892254387189,0.22696400439971068,0.20049937999252468,0.14008660946335447,0.33712304090884954,0.2259030101215762,0.33712304090884954,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.20439817397780782,0.2231274159180978,0.20439817397780782,0.3208947763852709,0.09983223017973439,0.13441143458507307,0.18504614705002612,0.3208947763852709,0.2231274159180978,0.1971651561548339,0.1332331839115604,0.3357074277107849,0.22203525592572637,0.3357074277107849,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.2030379304771525,0.2230814744855429,0.2030379304771525,0.3185115068833316,0.09942900553861796,0.13309021363097703,0.18367690868430886,0.3185115068833316,0.2230814744855429,0.19630637179386426,0.1297796534006729,0.33977619394365893,0.22195407304606538,0.33977619394365893,2D AE mixed-T exclusion,6,normalized_delta,192
13,0.20117159669500898,0.2262059168193278,0.20117159669500898,0.316034669946502,0.09822511202184282,0.1312444089278314,0.1818347302987254,0.316034669946502,0.2262059168193278,0.2031463405483977,0.13485027495771645,0.337473294972197,0.22515663682610373,0.337473294972197,2D AE mixed-T exclusion,6,normalized_delta,192
