epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.0913298324398373,1.077886990706126,1.0913298324398373,0.11324864010448041,0.0,1.077886990706126,0.1151429533958435,0.0,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.104486144107321,1.0739041447639466,1.104486144107321,0.11461444361054379,0.0,1.0739041447639466,0.11469960908095042,0.0,0.5381292443346413,0.8121647666941674,80.0,0.33861037971695407,-0.5813350301189253,0.33861037971695407,-0.5813350301189253,0.8804317575962678,0.9580517169155901,-0.5813350301189253,0.09729307447488356,0.8804317575962678,0.9580517169155901,-0.5813350301189253,0.09729307447488356,0.5381292443346413,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1216822085173235,1.0630293051401773,1.1216822085173235,0.116414707639943,0.0,1.0630293051401773,0.11349387665589651,0.0,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.1292736504388892,1.039329985777537,1.1292736504388892,0.11648756168458772,0.0,1.039329985777537,0.11087359984715779,0.0,0.547644803809441,0.808635077892226,80.0,0.2793821920717292,-0.30645334578442474,0.2793821920717292,-0.30645334578442474,0.5746711148738218,0.8209130376138197,-0.30645334578442474,0.028397961583700004,0.5746711148738218,0.8209130376138197,-0.30645334578442474,0.028397961583700004,0.547644803809441,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.0773027565168298,0.988210932413737,1.0773027565168298,0.11172185514284216,0.0,0.988210932413737,0.10522608856360118,0.0,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.0525611353957134,0.9147623300552368,1.0525611353957134,0.10902002712954646,0.0,0.9147623300552368,0.09708871891101202,0.0,0.35894163080054253,0.6980272004539765,80.0,-0.08817720960336473,-0.8583864562342831,-0.08817720960336473,-0.8583864562342831,0.6638190265560926,0.4748012244142966,-0.6329426331495651,-0.8583864562342831,0.6638190265560926,0.4748012244142966,-0.6329426331495651,-0.8583864562342831,0.35894163080054253,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0462059922840283,0.8438781857490539,1.0462059922840283,0.10817373641159224,0.0,0.8438781857490539,0.08919616043567657,0.0,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.0280671352925508,0.8027479569117228,1.0280671352925508,0.10612748644274214,0.0,0.8027479569117228,0.08460242797931035,0.0,0.2676215264587394,0.7025048080208437,80.0,-0.8008910026685869,-2.3378210849158476,-0.8008910026685869,-2.3378210849158476,-0.9224298868670535,0.5814910115577125,-0.5248040504491593,-2.3378210849158476,-0.9224298868670535,0.5814910115577125,-0.5248040504491593,-2.3378210849158476,0.2676215264587394,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.0177760435187297,0.7967529654502868,1.0177760435187297,0.10499794748814209,0.0,0.7967529654502868,0.0839219848314921,0.0,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.033282168533491,0.7887865304946899,1.033282168533491,0.1063938045307346,0.0,0.7887865304946899,0.08302632843454678,0.0,0.09664521025544748,0.7113439614557812,80.0,-0.9570172836525768,-2.2187624770035974,-0.9570172836525768,-2.2187624770035974,-2.2187624770035974,0.3168051963070162,-0.5163666759416456,-1.4097451779720802,-2.2187624770035974,0.3168051963070162,-0.5163666759416456,-1.4097451779720802,0.09664521025544748,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
