split,source,sim_idx,frame,z0,z1,z2,z3
train,depablo_mixed_temp,0,0,-0.5248770117759705,1.2082695960998535,-1.8092255592346191,-1.1229972839355469
train,depablo_mixed_temp,0,10,-0.40449410676956177,1.0526677370071411,-1.8440351486206055,-1.4774702787399292
train,depablo_mixed_temp,0,20,-0.36978816986083984,0.9971746206283569,-1.7955920696258545,-1.494681477546692
train,depablo_mixed_temp,0,30,-0.2645586431026459,0.8887326717376709,-2.1420679092407227,-2.352628707885742
train,depablo_mixed_temp,0,40,-0.1488720178604126,0.7439115047454834,-2.2015063762664795,-2.751209259033203
train,depablo_mixed_temp,0,50,-0.046230923384428024,0.6358169317245483,-2.4743552207946777,-3.4892640113830566
train,depablo_mixed_temp,0,60,-0.02493397146463394,0.611620306968689,-2.467694044113159,-3.5306975841522217
train,depablo_mixed_temp,0,70,0.14054465293884277,0.42934709787368774,-2.813713312149048,-4.538589000701904
train,depablo_mixed_temp,0,80,0.16392479836940765,0.4105357527732849,-2.915825605392456,-4.7754716873168945
train,depablo_mixed_temp,0,90,0.49719491600990295,-0.01212972030043602,-2.881348133087158,-5.571814060211182
train,depablo_mixed_temp,0,100,0.7395284175872803,-0.3002161979675293,-3.158656597137451,-6.666869640350342
train,depablo_mixed_temp,1,0,0.30243945121765137,-0.1868221014738083,0.09996921569108963,-0.14472639560699463
train,depablo_mixed_temp,1,10,1.0052894353866577,-1.211047887802124,0.8615836501121521,-0.6436376571655273
train,depablo_mixed_temp,1,20,0.6772967576980591,-0.6486614346504211,-0.01589900255203247,-1.2665499448776245
train,depablo_mixed_temp,1,30,0.834916889667511,-0.8829730153083801,0.035560037940740585,-1.5929851531982422
train,depablo_mixed_temp,1,40,1.1705278158187866,-1.3643447160720825,0.23435622453689575,-2.1084818840026855
train,depablo_mixed_temp,1,50,1.4728809595108032,-1.805713176727295,0.494840145111084,-2.4582605361938477
train,depablo_mixed_temp,1,60,1.4939067363739014,-1.7791141271591187,0.06028521806001663,-3.261122226715088
train,depablo_mixed_temp,1,70,1.72942054271698,-2.0752511024475098,0.14741550385951996,-3.7054872512817383
train,depablo_mixed_temp,1,80,1.7293120622634888,-1.9945347309112549,-0.3816594183444977,-4.622190475463867
train,depablo_mixed_temp,1,90,1.6739451885223389,-1.9524492025375366,-0.3054013252258301,-4.347187042236328
train,depablo_mixed_temp,1,100,2.2376818656921387,-2.7019946575164795,-0.16618841886520386,-5.544543266296387
train,depablo_mixed_temp,2,0,1.071810245513916,-1.4863996505737305,1.6725318431854248,0.42047417163848877
train,depablo_mixed_temp,2,10,1.5121524333953857,-2.148163080215454,2.384739637374878,0.5008544325828552
train,depablo_mixed_temp,2,20,1.5129714012145996,-2.13312029838562,2.137155294418335,0.06615803390741348
train,depablo_mixed_temp,2,30,1.9409990310668945,-2.7596614360809326,2.519871950149536,-0.37893831729888916
train,depablo_mixed_temp,2,40,2.0368452072143555,-2.877345561981201,2.321167230606079,-0.9777885675430298
train,depablo_mixed_temp,2,50,2.2398459911346436,-3.1548657417297363,2.4534974098205566,-1.2797741889953613
train,depablo_mixed_temp,2,60,2.6704468727111816,-3.7307326793670654,2.4311041831970215,-2.4357380867004395
train,depablo_mixed_temp,2,70,2.8636388778686523,-3.9365289211273193,2.25648832321167,-3.2203850746154785
train,depablo_mixed_temp,2,80,2.953209400177002,-4.097833156585693,2.3587753772735596,-3.2838845252990723
train,depablo_mixed_temp,2,90,3.1597542762756348,-4.32048225402832,2.3150627613067627,-3.89465069770813
train,depablo_mixed_temp,2,100,3.515235424041748,-4.813675880432129,2.411269426345825,-4.639443397521973
train,depablo_mixed_temp,3,0,0.9145506620407104,-1.2090880870819092,1.102653980255127,-0.10798928886651993
train,depablo_mixed_temp,3,10,2.22786283493042,-3.149723529815674,3.0655791759490967,-0.092477947473526
train,depablo_mixed_temp,3,20,2.0046498775482178,-2.7718496322631836,2.745927333831787,-0.03234640881419182
train,depablo_mixed_temp,3,30,2.445258140563965,-3.3300695419311523,2.4365234375,-1.658471941947937
train,depablo_mixed_temp,3,40,2.0308997631073,-2.856724500656128,2.731170892715454,-0.17965379357337952
train,depablo_mixed_temp,3,50,2.98063325881958,-4.071810245513916,2.4493911266326904,-2.9749226570129395
train,depablo_mixed_temp,3,60,3.1258583068847656,-4.414046287536621,3.239133358001709,-2.075143814086914
train,depablo_mixed_temp,3,70,3.8116114139556885,-5.296779632568359,3.2250874042510986,-3.8820576667785645
train,depablo_mixed_temp,3,80,2.754492998123169,-3.7527246475219727,2.0457417964935303,-3.147576332092285
train,depablo_mixed_temp,3,90,3.887010097503662,-5.353998184204102,2.7748637199401855,-4.772308349609375
train,depablo_mixed_temp,3,100,3.7534499168395996,-5.161539077758789,2.756241798400879,-4.523234844207764
train,depablo_mixed_temp,4,0,-0.44302159547805786,1.0114836692810059,-0.8654826879501343,0.23797808587551117
train,depablo_mixed_temp,4,10,-0.3866475820541382,0.9470278024673462,-0.7142947316169739,0.378379762172699
train,depablo_mixed_temp,4,20,-0.19591441750526428,0.711174488067627,-1.0029754638671875,-0.6237408518791199
train,depablo_mixed_temp,4,30,-0.2737361788749695,0.8151013255119324,-1.0235220193862915,-0.43346118927001953
train,depablo_mixed_temp,4,40,0.08559378981590271,0.3377605974674225,-1.2486711740493774,-1.752548336982727
train,depablo_mixed_temp,4,50,0.07020599395036697,0.37667983770370483,-1.235044002532959,-1.70198655128479
train,depablo_mixed_temp,4,60,0.3372940719127655,0.047537077218294144,-1.6393094062805176,-3.0619540214538574
train,depablo_mixed_temp,4,70,0.35682448744773865,0.06094764173030853,-1.7393041849136353,-3.315098524093628
train,depablo_mixed_temp,4,80,0.5954612493515015,-0.2832810580730438,-1.7216740846633911,-3.8978004455566406
train,depablo_mixed_temp,4,90,0.37305861711502075,0.036455847322940826,-1.978295087814331,-3.739227294921875
train,depablo_mixed_temp,4,100,0.8116804957389832,-0.5471070408821106,-1.9249322414398193,-4.823681831359863
train,depablo_mixed_temp,5,0,0.627981960773468,-0.7238790988922119,0.5537442564964294,-0.26401466131210327
train,depablo_mixed_temp,5,10,1.0267611742019653,-1.2404037714004517,0.8465353846549988,-0.7451506853103638
train,depablo_mixed_temp,5,20,1.1250452995300293,-1.3814263343811035,0.8736568093299866,-0.9718924760818481
train,depablo_mixed_temp,5,30,1.202980399131775,-1.4764273166656494,0.6012589335441589,-1.6410317420959473
train,depablo_mixed_temp,5,40,1.6145151853561401,-2.0572073459625244,1.0025577545166016,-2.020092248916626
train,depablo_mixed_temp,5,50,1.4098048210144043,-1.6930630207061768,0.30958133935928345,-2.6539180278778076
train,depablo_mixed_temp,5,60,1.7793028354644775,-2.2835693359375,0.934902012348175,-2.532463312149048
train,depablo_mixed_temp,5,70,2.000030279159546,-2.5237560272216797,0.8066620826721191,-3.282339334487915
train,depablo_mixed_temp,5,80,2.108379602432251,-2.6207497119903564,0.5973348021507263,-3.9598300457000732
train,depablo_mixed_temp,5,90,1.814826488494873,-2.263213872909546,0.3082514703273773,-3.690901279449463
train,depablo_mixed_temp,5,100,2.878408193588257,-3.5822205543518066,0.20637165009975433,-6.537533760070801
train,depablo_mixed_temp,6,0,-0.4447198212146759,1.0807240009307861,-1.6334248781204224,-1.03955078125
train,depablo_mixed_temp,6,10,0.32421571016311646,0.040804896503686905,-1.0939265489578247,-2.0590007305145264
train,depablo_mixed_temp,6,20,-0.027694018557667732,0.4900115430355072,-1.2439439296722412,-1.4611504077911377
train,depablo_mixed_temp,6,30,0.34725797176361084,-0.006561622954905033,-1.1865191459655762,-2.2833333015441895
train,depablo_mixed_temp,6,40,0.46034565567970276,-0.10640905052423477,-1.7375068664550781,-3.541222095489502
train,depablo_mixed_temp,6,50,0.4077241122722626,-0.03133603185415268,-1.8235218524932861,-3.540069818496704
train,depablo_mixed_temp,6,60,0.798496425151825,-0.5200552344322205,-1.9572441577911377,-4.798887252807617
train,depablo_mixed_temp,6,70,0.8753498792648315,-0.5880770683288574,-2.2677102088928223,-5.497551441192627
train,depablo_mixed_temp,6,80,0.5241820812225342,-0.10454084724187851,-2.2954912185668945,-4.660863399505615
train,depablo_mixed_temp,6,90,1.0143741369247437,-0.7465184926986694,-2.1798744201660156,-5.730762004852295
train,depablo_mixed_temp,6,100,1.1781038045883179,-0.9297722578048706,-2.1865408420562744,-6.17968225479126
train,depablo_mixed_temp,7,0,-0.7834771275520325,1.5867419242858887,-1.5866433382034302,-0.049298256635665894
train,depablo_mixed_temp,7,10,-0.6475264430046082,1.4102495908737183,-1.7523446083068848,-0.6875446438789368
train,depablo_mixed_temp,7,20,-0.5872175693511963,1.3334977626800537,-1.923050045967102,-1.1376397609710693
train,depablo_mixed_temp,7,30,-0.4894011914730072,1.2170617580413818,-2.041593313217163,-1.5904576778411865
train,depablo_mixed_temp,7,40,-0.3445410132408142,1.0440682172775269,-2.1775319576263428,-2.207005262374878
train,depablo_mixed_temp,7,50,-0.27940165996551514,0.9697120785713196,-2.3901166915893555,-2.7401669025421143
train,depablo_mixed_temp,7,60,-0.1273195594549179,0.7805484533309937,-2.506359338760376,-3.3330559730529785
train,depablo_mixed_temp,7,70,0.08746024966239929,0.5217834711074829,-2.6244688034057617,-4.096231937408447
train,depablo_mixed_temp,7,80,0.09216845035552979,0.5255300402641296,-2.8042449951171875,-4.421485900878906
train,depablo_mixed_temp,7,90,0.17032259702682495,0.447448194026947,-2.906210422515869,-4.798622131347656
train,depablo_mixed_temp,7,100,0.4195154309272766,0.12958255410194397,-3.0116989612579346,-5.630450248718262
train,depablo_mixed_temp,8,0,0.8491122126579285,-1.101986050605774,1.0921651124954224,0.04350898787379265
train,depablo_mixed_temp,8,10,1.1444623470306396,-1.5152333974838257,1.01175057888031,-0.841358482837677
train,depablo_mixed_temp,8,20,1.3321613073349,-1.7803846597671509,1.2649762630462646,-0.8981474041938782
train,depablo_mixed_temp,8,30,1.6977360248565674,-2.2411954402923584,1.1066646575927734,-2.1094632148742676
train,depablo_mixed_temp,8,40,1.518632173538208,-1.9922782182693481,0.9165180325508118,-1.9700347185134888
train,depablo_mixed_temp,8,50,1.6425126791000366,-2.1465396881103516,0.7185457944869995,-2.6393826007843018
train,depablo_mixed_temp,8,60,1.895113229751587,-2.4529671669006348,0.6089769601821899,-3.4739902019500732
train,depablo_mixed_temp,8,70,2.1896305084228516,-2.836646318435669,0.4990387558937073,-4.421450614929199
train,depablo_mixed_temp,8,80,2.3924102783203125,-3.079937696456909,0.44262513518333435,-5.036265850067139
train,depablo_mixed_temp,8,90,2.84696626663208,-3.693331480026245,0.6265812516212463,-5.885998249053955
train,depablo_mixed_temp,8,100,2.9189419746398926,-3.808809757232666,0.8204041123390198,-5.752530097961426
train,depablo_mixed_temp,9,0,-0.4917222261428833,1.1959011554718018,-2.133513927459717,-1.7424230575561523
train,depablo_mixed_temp,9,10,-0.42596113681793213,1.118861436843872,-2.258930206298828,-2.125553846359253
train,depablo_mixed_temp,9,20,-0.36555224657058716,1.055181622505188,-2.4166178703308105,-2.550222635269165
train,depablo_mixed_temp,9,30,-0.28973597288131714,0.9655164480209351,-2.5295450687408447,-2.938389778137207
train,depablo_mixed_temp,9,40,-0.20935243368148804,0.8743916749954224,-2.668125629425049,-3.381171464920044
train,depablo_mixed_temp,9,50,-0.11216557025909424,0.7630777955055237,-2.804381847381592,-3.8628242015838623
train,depablo_mixed_temp,9,60,-0.0003618285118136555,0.6318559646606445,-2.9292514324188232,-4.3631463050842285
train,depablo_mixed_temp,9,70,0.10547275841236115,0.5088694095611572,-3.0473875999450684,-4.837212085723877
train,depablo_mixed_temp,9,80,0.20141014456748962,0.3986368775367737,-3.1728553771972656,-5.297032356262207
train,depablo_mixed_temp,9,90,0.34399136900901794,0.2323000133037567,-3.2846262454986572,-5.855666637420654
train,depablo_mixed_temp,9,100,0.47260206937789917,0.08076359331607819,-3.3989334106445312,-6.377374172210693
train,depablo_mixed_temp,10,0,0.2233283668756485,-0.10944180935621262,0.44978469610214233,0.6384857892990112
train,depablo_mixed_temp,10,10,0.3385442793369293,-0.25903600454330444,0.342338889837265,0.1530703604221344
train,depablo_mixed_temp,10,20,0.44250965118408203,-0.3869786262512207,0.2107667624950409,-0.3438557982444763
train,depablo_mixed_temp,10,30,0.5791447758674622,-0.5620631575584412,0.09284181147813797,-0.9028663635253906
train,depablo_mixed_temp,10,40,0.7203423976898193,-0.7413156628608704,-0.00901250634342432,-1.444334864616394
train,depablo_mixed_temp,10,50,0.8684530854225159,-0.9280701875686646,-0.12134969234466553,-2.0226798057556152
train,depablo_mixed_temp,10,60,1.012532114982605,-1.106959581375122,-0.24089032411575317,-2.600433588027954
train,depablo_mixed_temp,10,70,1.2006585597991943,-1.3477203845977783,-0.314752995967865,-3.2146170139312744
train,depablo_mixed_temp,10,80,1.3658167123794556,-1.552411437034607,-0.42674919962882996,-3.83478045463562
train,depablo_mixed_temp,10,90,1.5483129024505615,-1.7843431234359741,-0.5057268142700195,-4.4412736892700195
train,depablo_mixed_temp,10,100,1.7155287265777588,-1.9945448637008667,-0.5804887413978577,-5.001668453216553
train,depablo_mixed_temp,11,0,1.1529978513717651,-1.6692419052124023,2.409738540649414,1.4114105701446533
train,depablo_mixed_temp,11,10,1.525770664215088,-2.169598340988159,2.3521807193756104,0.34772905707359314
train,depablo_mixed_temp,11,20,1.68411386013031,-2.4280855655670166,2.667107582092285,0.47170084714889526
train,depablo_mixed_temp,11,30,1.9566967487335205,-2.792416572570801,2.501537561416626,-0.5157327651977539
train,depablo_mixed_temp,11,40,1.9580888748168945,-2.7874085903167725,2.444700241088867,-0.6112287044525146
train,depablo_mixed_temp,11,50,2.2232654094696045,-3.133725881576538,2.4169435501098633,-1.3571799993515015
train,depablo_mixed_temp,11,60,2.3978097438812256,-3.3629984855651855,2.3276374340057373,-1.965004324913025
train,depablo_mixed_temp,11,70,2.45841121673584,-3.4042916297912598,2.0004141330718994,-2.670264720916748
train,depablo_mixed_temp,11,80,2.8741455078125,-3.989513635635376,2.193723440170288,-3.4269087314605713
train,depablo_mixed_temp,11,90,3.112197160720825,-4.301130294799805,2.194347381591797,-4.045890808105469
train,depablo_mixed_temp,11,100,3.0831735134124756,-4.2202324867248535,1.977175235748291,-4.33854866027832
train,depablo_mixed_temp,12,0,-0.21995839476585388,0.6036858558654785,-0.1220996081829071,0.8772939443588257
train,depablo_mixed_temp,12,10,-0.13816168904304504,0.5072070360183716,-0.3020828366279602,0.3537466824054718
train,depablo_mixed_temp,12,20,-0.015098333358764648,0.3489459753036499,-0.42332640290260315,-0.17433637380599976
train,depablo_mixed_temp,12,30,0.12371639162302017,0.17112821340560913,-0.5563306212425232,-0.764289915561676
train,depablo_mixed_temp,12,40,0.2400110810995102,0.02703576534986496,-0.6863596439361572,-1.2907315492630005
train,depablo_mixed_temp,12,50,0.3787803649902344,-0.1491580754518509,-0.8201586008071899,-1.8794867992401123
train,depablo_mixed_temp,12,60,0.5201100707054138,-0.32564106583595276,-0.9580745100975037,-2.4839022159576416
train,depablo_mixed_temp,12,70,0.6804599761962891,-0.5239974856376648,-1.0925965309143066,-3.1311020851135254
train,depablo_mixed_temp,12,80,0.8365008234977722,-0.7194316387176514,-1.1881695985794067,-3.7009449005126953
train,depablo_mixed_temp,12,90,1.0202196836471558,-0.9513674378395081,-1.290753960609436,-4.3524932861328125
train,depablo_mixed_temp,12,100,1.1838089227676392,-1.1558763980865479,-1.3785407543182373,-4.927053451538086
train,depablo_mixed_temp,13,0,-0.4089530408382416,0.9566838145256042,-0.8765250444412231,0.1309497207403183
train,depablo_mixed_temp,13,10,-0.3427281081676483,0.8822379112243652,-1.0756956338882446,-0.37851589918136597
train,depablo_mixed_temp,13,20,-0.24633944034576416,0.7632032632827759,-1.2453045845031738,-0.9239470958709717
train,depablo_mixed_temp,13,30,-0.10865293443202972,0.5881333947181702,-1.3286323547363281,-1.4247395992279053
train,depablo_mixed_temp,13,40,0.05274225026369095,0.38242998719215393,-1.4426484107971191,-2.0418145656585693
train,depablo_mixed_temp,13,50,0.14402608573436737,0.2871055603027344,-1.6780424118041992,-2.676629066467285
train,depablo_mixed_temp,13,60,0.2570033371448517,0.15129907429218292,-1.8184020519256592,-3.208817481994629
train,depablo_mixed_temp,13,70,0.46583062410354614,-0.12378256022930145,-1.8373026847839355,-3.7832541465759277
train,depablo_mixed_temp,13,80,0.6009001135826111,-0.2770098149776459,-2.0487401485443115,-4.496703147888184
train,depablo_mixed_temp,13,90,0.6718442440032959,-0.3575991094112396,-2.194643259048462,-4.926584243774414
