epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.7046500894584153,0.617364476199605,0.7158856517390201,0.6983824206025977,0.8788841799685829,0.5366836718038509,0.7046500907916772,0.8788841799685829,0.6104865410022046,0.4042107339191716,0.729401383548975,0.7233980597229674,0.619003392397038,0.729401383548975,2D AE mixed-T exclusion,8,normalized_delta,96
2,0.5201256351251351,0.5772637034423257,0.5402823242701982,0.5632029347121715,0.6592532322594994,0.3379207316589983,0.5201256328768897,0.6592532322594994,0.5699720472146413,0.34334727193345316,0.7226642843161244,0.667646894347854,0.5778861501991438,0.7226642843161244,2D AE mixed-T exclusion,8,normalized_delta,96
3,0.48443543448259957,0.5217744006628269,0.5071927835282527,0.5515332800777335,0.5841885263982572,0.31758449783450676,0.4844354347701658,0.5841885263982572,0.5168358121949591,0.36300110101001337,0.6429364477226045,0.5597186636878178,0.5218854041401452,0.6429364477226045,2D AE mixed-T exclusion,8,normalized_delta,96
4,0.4196367544563193,0.43074349288485553,0.4314669980814582,0.46450143691740536,0.47110017663554143,0.32330864754162336,0.41963675369819003,0.47110017663554143,0.4270960187245356,0.32685824955115095,0.48925560095813125,0.4768157759681344,0.4309765421591389,0.48925560095813125,2D AE mixed-T exclusion,8,normalized_delta,96
5,0.36657670501031375,0.3984849417288052,0.3718952204051771,0.38233445545560435,0.41957463371126275,0.29782102151136647,0.3665767035594112,0.41957463371126275,0.3947808266127188,0.34893074160208926,0.4206220036139712,0.42879119713325053,0.3994479807831037,0.42879119713325053,2D AE mixed-T exclusion,8,normalized_delta,96
6,0.34438004948590933,0.36803421408526205,0.3472488870746211,0.348694574950557,0.3938986700616385,0.29054690411216333,0.3443800497081196,0.3938986700616385,0.3656921069088735,0.31942717236233875,0.37854118770337664,0.4071932272054255,0.368387195757047,0.4071932272054255,2D AE mixed-T exclusion,8,normalized_delta,96
7,0.32257376728873505,0.34131657762550993,0.32085104372940565,0.31055644213369016,0.3728395742021109,0.28432528619703495,0.3225737675109453,0.3728395742021109,0.3378317467525209,0.3150166366540361,0.2938641263754107,0.4167974308365956,0.3418927312886808,0.4167974308365956,2D AE mixed-T exclusion,8,normalized_delta,96
8,0.281834714114666,0.28419182565749473,0.2710196478586448,0.21861246851714033,0.35733003922198947,0.26956163503621755,0.28183471425844914,0.35733003922198947,0.28145350885920617,0.2946706551447278,0.18594101784401573,0.3745374835561961,0.2850497188483132,0.3745374835561961,2D AE mixed-T exclusion,8,normalized_delta,96
9,0.2396614615854464,0.25550942936618076,0.22514441593697196,0.15315036716821948,0.34257785932798135,0.22325615997573262,0.23966146215731113,0.34257785932798135,0.2530679072449474,0.2548478788085049,0.14992922426608857,0.36388142756186426,0.25621951021215256,0.36388142756186426,2D AE mixed-T exclusion,8,normalized_delta,96
10,0.21135586555066863,0.24260638490270234,0.19587988684836186,0.11297198196775035,0.3301336774700566,0.19096194146887252,0.21135586696889316,0.3301336774700566,0.2395665484235475,0.24494294120086124,0.13927242638601456,0.3461637271975633,0.2434596982614797,0.3461637271975633,2D AE mixed-T exclusion,8,normalized_delta,96
