epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.8482742484913294,0.4954189291414636,0.8482742484913294,0.00039210854649069683,0.605398364754087,1.0911501341435803,0.4954189291414636,0.00023197753696157483,0.5002970603331923,0.4986733294092119,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
2,0.44105979881013735,0.2620573621991289,0.44105979881013735,0.0002024531867241732,0.15835049999765602,0.7237690966950363,0.2620573621991289,0.00012060912334448633,0.26994914999604225,0.25338690470159053,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
3,0.2287142979631941,0.20312904050091216,0.2287142979631941,0.00010340170488362275,0.08095162162878906,0.3764769751503764,0.20312904050091216,9.335494298891875e-05,0.21922078430000694,0.18581366455648093,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
4,0.189133529652314,0.186166906647055,0.189133529652314,8.542074239637467e-05,0.06869354387034614,0.3095735151724643,0.186166906647055,8.560678178259494e-05,0.19450812749005855,0.1769511496927589,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
5,0.172852979785946,0.1799614913574603,0.172852979785946,7.810804331474134e-05,0.06376582257689004,0.2819401364489253,0.1799614913574603,8.277807015806923e-05,0.17799992052093147,0.1810567445345223,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
6,0.16176403357262115,0.17451205724524427,0.16176403357262115,7.31009878514472e-05,0.059849847100645184,0.26367822029145366,0.17451205724524427,8.01639681093407e-05,0.16810854665748776,0.1800105842181947,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
7,0.15430427091308388,0.1754500605645178,0.15430427091308388,6.971166841691616e-05,0.05625033570849991,0.2523582058558502,0.1754500605645178,8.042732718648032e-05,0.16721535593876616,0.18290622156858444,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
8,0.1482912425595115,0.1789832304687198,0.1482912425595115,6.696432516095462e-05,0.05417858415758275,0.2424039005574931,0.1789832304687198,8.18176864272235e-05,0.17233231148216874,0.1851757790055126,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
9,0.14403150933813377,0.17210317228946004,0.14403150933813377,6.501398160888853e-05,0.05251203686836733,0.23555098120946003,0.17210317228946004,7.867025418700433e-05,0.1599878789447248,0.18345710823638364,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
10,0.13950038131281553,0.17228972658128797,0.13950038131281553,6.294316730907806e-05,0.051367702388978864,0.22763306001223713,0.17228972658128797,7.871404043833053e-05,0.15315337379230187,0.19057324395887554,Reid + low-T 2D AE,2,normalized_delta,96,delta,one_step,,final_horizon,1,zero
